requestedCustomerNum,customerRequestedBillingNumber,customerRequestedLineNumber,customerRequestedServiceNumber,requestTimestamp
24,168,6754,13574,2018-10-24 19:09:05.190
24,228,6761,14527,2018-08-14 05:36:01.290
25,168,10038,8422,2018-01-11 07:27:58.480
25,436,21748,11019,2018-03-15 00:45:46.740
25,84,76936,11577,2018-03-03 13:09:32.800
25,256,18376,12028,2018-09-16 23:40:28.390
25,2,17030,12359,2018-11-29 11:07:56.350
25,366,101633,13431,2018-03-21 08:11:14.010
26,84,84931,7574,2018-04-09 01:20:18.460
26,168,14132,9855,2018-06-24 11:42:50.160
26,351,7126,11956,2018-07-02 13:17:06.660
26,2,20874,12437,2018-08-02 18:08:56.040
26,256,21201,12838,2018-06-06 18:37:52.710
27,168,17325,8645,2018-08-19 13:53:22.170
27,256,28148,9028,2018-11-06 01:49:48.940
27,84,101892,10491,2018-12-23 00:28:47.580
27,323,3482,12970,2018-03-31 19:55:06.080
27,351,11055,13535,2018-09-05 23:01:58.600
27,2,21244,14519,2018-12-16 00:28:44.220
28,168,22757,10661,2018-03-17 23:59:26.740
28,84,105931,10703,2018-10-01 03:10:31.880
28,349,14358,11079,2018-03-12 20:55:36.370
28,396,78737,12321,2018-05-27 03:40:22.300
28,2,27583,12587,2018-05-07 16:17:35.150
29,351,19411,9249,2018-08-02 13:49:48.240
29,84,126931,11045,2018-11-26 21:06:44.140
29,2,35614,12315,2018-08-27 06:33:08.120
29,168,27754,12432,2018-03-16 23:00:41.430
29,256,42201,13966,2018-03-26 22:27:24.240
30,84,127931,7999,2018-03-26 02:55:42.860
30,2,41874,8737,2018-07-16 14:21:42.750
30,256,52301,11912,2018-12-18 20:17:01.330
30,351,21661,12418,2018-09-19 06:02:11.310
30,168,35132,12433,2018-12-12 18:21:47.660
31,84,128931,7491,2018-10-18 22:42:37.630
31,256,63201,9958,2018-09-18 19:09:35.670
31,351,17273,10079,2018-02-12 21:15:04.190
31,168,43757,12821,2018-10-21 12:34:43.810
31,2,42244,13847,2018-05-29 08:22:24.450
32,168,52038,7524,2018-07-15 01:44:29.540
32,2,52986,11633,2018-04-29 00:58:46.840
32,327,10312,11713,2018-07-28 10:44:50.550
32,351,38273,11980,2018-08-02 13:18:04.020
32,85,1608,12001,2018-10-03 04:36:54.020
32,256,77369,12016,2018-06-22 11:45:50.630
33,2,62874,8007,2018-08-14 21:45:19.150
33,426,63916,8664,2018-11-25 21:26:50.560
33,256,84201,12849,2018-07-20 09:51:59.370
33,85,2720,13128,2018-06-15 06:27:00.550
33,168,64757,13380,2018-09-18 09:43:08.880
34,331,17658,8298,2018-03-30 22:41:05.410
34,85,6490,10849,2018-11-18 16:08:28.190
34,2,63244,11731,2018-05-06 00:14:53.580
34,256,102376,12808,2018-04-24 00:31:55.660
34,168,77132,13613,2018-07-09 17:38:48.800
35,168,85757,9856,2018-01-10 09:46:32.040
35,2,77614,11259,2018-02-09 15:20:42.680
35,256,105201,12010,2018-05-26 19:58:10.170
35,85,9967,13347,2018-04-25 21:07:00.370
36,85,14028,10294,2018-01-19 21:52:38.450
36,351,80273,11058,2018-09-04 03:36:27.740
36,256,126201,12621,2018-02-13 05:17:50.380
36,2,84244,13308,2018-10-19 02:54:33.630
36,168,101325,13404,2018-07-01 02:00:36.470
37,85,17414,8182,2018-03-26 03:03:19.820
37,168,106757,9062,2018-03-26 16:40:34.610
37,255,77145,9334,2018-05-31 16:18:28.900
37,351,103411,11020,2018-02-21 00:08:10.350
37,2,101030,14558,2018-09-25 07:10:52.170
38,85,20895,9287,2018-10-08 15:21:17.200
38,256,128201,9592,2018-12-07 00:46:48.910
38,168,129757,12804,2018-11-25 16:19:37.540
38,2,105244,14111,2018-05-25 10:32:40.420
39,85,22608,8196,2018-05-13 19:09:37.060
39,169,531,8749,2018-05-23 01:00:57.270
39,351,126661,10870,2018-02-16 12:09:56.650
39,257,1335,13197,2018-12-23 16:14:37.490
39,2,125874,14184,2018-12-16 00:00:43.050
40,257,4438,7501,2018-06-06 10:07:47.240
40,351,127661,8701,2018-11-26 19:27:16.810
40,2,126244,11212,2018-04-09 02:14:43.300
40,85,27490,12586,2018-04-28 08:24:03.950
40,169,3735,12638,2018-02-23 14:43:34.570
41,85,35028,8851,2018-11-08 02:53:22.950
41,340,64445,10654,2018-07-30 22:17:25.970
41,257,9125,11336,2018-03-26 09:45:57.890
41,2,127244,13146,2018-09-14 18:11:16.180
41,169,9633,13939,2018-08-19 02:01:53.310
42,352,5526,10350,2018-03-21 04:20:29.190
42,2,128244,10935,2018-11-06 20:10:47.660
42,169,10115,12160,2018-09-14 22:40:35.600
42,85,41895,13491,2018-03-26 03:45:07.800
42,257,11419,14492,2018-01-24 06:06:10.450
43,257,13849,7555,2018-05-22 11:44:51.790
43,85,43608,8554,2018-10-02 04:12:24.920
43,352,6922,11008,2018-02-23 18:28:59.360
43,3,2114,12856,2018-01-17 11:47:16.970
43,169,15783,13034,2018-01-28 18:09:52.700
44,257,22335,8511,2018-01-26 17:54:02.510
44,85,51967,11737,2018-01-12 19:31:45.720
44,3,2681,12441,2018-08-21 03:15:34.500
44,352,10426,12467,2018-04-09 23:40:06.250
44,169,17521,14615,2018-08-04 19:05:41.400
45,85,62895,8224,2018-06-09 14:57:59.750
45,257,30125,11172,2018-10-21 01:03:50.250
45,352,14093,13242,2018-12-17 07:36:04.080
45,169,21531,13360,2018-01-23 15:53:09.250
45,3,6270,13539,2018-04-20 06:46:49.560
46,257,34849,9397,2018-07-17 11:45:57.340
46,169,30633,9689,2018-01-31 23:37:00.480
46,3,10318,9812,2018-03-14 15:41:29.030
46,85,64608,11710,2018-01-27 05:25:04.520
46,352,17730,13294,2018-03-22 22:00:44.770
47,387,106434,8229,2018-10-19 07:22:33.830
47,169,36783,10277,2018-02-05 04:53:54.590
47,257,43335,10556,2018-10-29 20:00:06.880
47,3,13626,10963,2018-01-22 06:30:48.740
47,352,21659,11136,2018-05-22 22:15:13.580
47,85,77028,11186,2018-08-05 18:42:25.630
48,169,42531,10990,2018-12-18 23:17:17.290
48,257,53419,11184,2018-12-15 05:47:24.130
48,417,63737,11831,2018-07-03 16:45:33.350
48,85,85608,13649,2018-08-23 16:12:21.770
48,3,17052,14385,2018-08-25 06:56:48.290
49,169,52115,9268,2018-01-13 19:35:47.700
49,85,101414,9810,2018-10-11 12:36:53.100
49,3,23114,12280,2018-10-16 19:21:33.560
49,257,64335,12715,2018-06-25 08:27:18.410
50,169,63531,9064,2018-01-22 14:51:57.940
50,3,27270,11429,2018-09-14 16:13:20.690
50,352,63659,11883,2018-10-22 08:26:54.360
50,410,21434,12874,2018-04-27 15:13:18.470
50,85,106608,14074,2018-07-13 18:42:00.790
51,257,85335,9143,2018-12-08 01:18:31.910
51,169,78783,10076,2018-08-30 19:15:25.860
51,85,125895,13228,2018-04-23 07:33:47.410
51,3,34626,13286,2018-09-25 00:43:11.330
52,85,129608,8460,2018-10-06 14:37:30.020
52,169,84531,8790,2018-10-02 11:47:15.870
52,3,44114,9119,2018-11-25 02:09:29.930
52,257,101395,10514,2018-03-23 09:52:50.820
53,86,422,7833,2018-06-30 03:40:21.130
53,3,52318,9671,2018-03-06 11:24:52.710
53,169,101521,10256,2018-09-20 19:00:49.870
53,352,101730,11469,2018-04-26 08:55:28.460
53,257,106335,13185,2018-10-22 12:46:50.610
54,169,105531,7557,2018-07-19 21:04:56.300
54,3,65114,7563,2018-10-01 11:32:31.290
54,86,3188,12044,2018-12-10 12:20:28.900
54,393,127843,13108,2018-04-12 15:29:27.860
54,257,129335,13823,2018-09-09 19:10:17.570
54,317,84670,14512,2018-03-29 01:07:23.300
55,3,76626,8964,2018-03-29 01:40:33.150
55,258,505,9431,2018-11-21 20:08:48.020
55,352,126659,9814,2018-08-13 05:35:49.700
55,86,8157,10222,2018-05-29 07:31:23.830
55,169,126531,14178,2018-04-22 17:09:56.700
56,86,10246,7811,2018-02-22 10:29:01.250
56,169,127531,8180,2018-02-13 01:38:44.610
56,352,127659,10980,2018-03-18 22:06:38.140
56,3,86114,11421,2018-09-24 02:04:56.380
56,258,3612,13137,2018-01-24 18:42:30.430
57,3,101052,7645,2018-03-30 04:42:04.410
57,258,7090,10045,2018-11-13 08:09:20.480
57,169,128531,13180,2018-09-07 20:44:29.450
57,337,43406,13914,2018-11-06 16:59:50.070
57,86,15036,14072,2018-05-02 17:15:38.920
57,411,127051,14556,2018-06-18 14:22:13.750
58,170,1394,9471,2018-10-27 21:19:07.410
58,3,107114,11676,2018-11-25 04:52:31.830
58,86,18464,13116,2018-03-31 04:25:49.800
58,258,10414,13196,2018-04-06 18:26:13.530
58,296,41902,13583,2018-05-02 15:49:14.660
59,3,130114,8601,2018-04-12 04:12:27.400
59,258,13687,9946,2018-04-06 05:55:30.980
59,86,21422,10243,2018-08-26 02:44:39.130
59,170,5651,11565,2018-11-02 06:41:52.590
60,4,3251,7460,2018-03-25 11:35:13.810
60,348,43091,10994,2018-01-11 23:24:55.790
60,170,8824,11352,2018-01-27 10:19:36.850
60,353,8907,11619,2018-09-12 18:05:50.990
60,86,29157,11882,2018-11-26 03:04:54.470
60,258,19990,14635,2018-02-07 06:18:39.210
61,170,12371,7683,2018-12-09 15:03:09.790
61,86,36036,10447,2018-11-08 15:46:26.250
61,258,21505,12847,2018-11-24 06:30:31.290
61,4,3881,13538,2018-11-05 06:45:31.030
62,4,7377,8068,2018-08-25 18:30:00.580
62,258,28090,11147,2018-10-23 03:06:41.400
62,170,13980,11730,2018-09-25 13:05:40.980
62,86,42422,13398,2018-11-12 19:59:10.960
62,353,13848,14060,2018-05-26 18:43:08.600
63,86,52246,9320,2018-05-19 09:13:14.540
63,353,18736,9866,2018-06-19 03:01:11.620
63,170,18095,12904,2018-02-08 19:29:31.980
63,258,34687,13558,2018-10-09 13:00:09.340
63,4,9818,14302,2018-05-17 16:22:59.630
64,170,22394,7440,2018-10-02 17:42:28.060
64,86,63422,8370,2018-08-13 03:44:56.560
64,258,42505,10576,2018-11-07 12:21:20.940
64,353,21209,11120,2018-04-27 01:52:39.060
64,4,13481,11780,2018-06-11 12:23:20.810
65,170,29824,8211,2018-09-06 06:42:06.400
65,258,52414,8431,2018-11-18 09:23:46.380
65,4,18312,9656,2018-09-01 18:04:00.210
65,86,78036,10407,2018-02-25 02:53:40.080
65,353,34848,13899,2018-06-06 19:36:27.820
66,258,63505,8775,2018-11-27 17:03:55.960
66,86,84422,9306,2018-08-08 18:25:32.780
66,170,34980,10573,2018-07-14 15:24:57.560
66,240,52489,11315,2018-11-23 11:05:31.570
66,4,24251,12401,2018-07-08 08:24:05.270
67,4,28377,8567,2018-02-05 07:53:07.740
67,353,53930,10656,2018-12-22 07:23:21.030
67,86,102464,10943,2018-02-17 08:32:58.260
67,258,76687,12318,2018-11-18 03:12:16.170
67,170,43394,12659,2018-11-07 22:59:26.070
68,353,63209,8724,2018-03-16 10:57:42.360
68,86,105422,9153,2018-05-15 23:57:15.280
68,4,34481,11920,2018-06-10 18:38:45.320
68,170,54371,11966,2018-09-18 13:30:55.180
68,362,17712,13247,2018-08-10 21:24:03.520
68,258,84505,14627,2018-05-28 19:36:13.200
69,4,45251,8884,2018-02-03 14:40:23.810
69,258,103990,9712,2018-07-09 01:43:13.350
69,86,126422,13586,2018-12-24 14:50:50.490
69,170,64394,14221,2018-06-23 19:59:19.830
70,170,76980,8545,2018-11-13 03:36:16.890
70,4,51818,9734,2018-03-29 16:54:42.760
70,258,105505,12141,2018-10-03 10:38:13.880
70,353,102736,14278,2018-04-16 05:39:30.190
70,86,127422,14669,2018-07-14 04:53:24.120
71,310,35011,9663,2018-06-03 10:06:23.040
71,170,85394,10473,2018-08-06 09:51:11.850
71,258,126505,11323,2018-11-14 12:09:37.600
71,86,128422,14295,2018-10-02 21:22:14.180
71,4,66251,14322,2018-10-09 00:48:44.870
72,353,126209,8767,2018-06-24 16:20:19.390
72,4,76481,9281,2018-01-23 16:35:04.140
72,170,102095,11631,2018-02-07 23:30:55.350
72,87,65,13104,2018-01-10 15:14:39.390
72,258,127505,14311,2018-10-17 18:41:26.250
73,87,3371,7806,2018-06-06 21:10:59.020
73,353,127209,9885,2018-10-12 06:21:06.200
73,4,87251,10736,2018-07-01 02:38:07.710
73,258,128505,11503,2018-12-11 13:04:15.880
73,170,106394,13883,2018-05-20 09:49:36.330
74,4,102312,9000,2018-11-13 22:45:43.190
74,87,6682,9563,2018-12-08 05:35:51.640
74,170,129394,10008,2018-05-01 05:33:15.160
74,353,128209,11034,2018-10-31 01:44:33.490
75,4,108251,10288,2018-04-06 23:02:32.400
75,87,10043,11775,2018-02-06 15:44:34.010
75,259,3121,12122,2018-04-03 01:45:04.220
75,171,67,13745,2018-06-23 00:20:43.120
76,87,13648,8811,2018-03-26 04:40:56.860
76,354,3671,12383,2018-11-02 08:26:28.340
76,259,7998,12682,2018-08-12 17:15:03.410
76,171,4515,14217,2018-04-15 23:39:48.210
76,4,131251,14386,2018-06-06 03:07:04.560
77,259,10980,7888,2018-05-04 18:14:02.380
77,354,7359,9316,2018-06-30 17:13:15.110
77,87,17380,9911,2018-03-02 16:20:58.470
77,171,6715,13368,2018-08-13 23:23:30.260
77,5,2186,13900,2018-10-05 05:11:08.500
78,171,13856,8153,2018-05-21 12:52:18.080
78,259,14466,8968,2018-09-15 02:49:58.570
78,354,10860,11572,2018-07-13 01:07:21.390
78,336,44104,11856,2018-04-21 06:19:24.990
78,5,3563,13720,2018-06-08 00:46:14.380
78,87,21065,13724,2018-10-06 18:25:52.020
79,87,27682,7818,2018-03-27 00:49:23.910
79,5,6460,9321,2018-10-06 19:09:23.280
79,171,14846,9603,2018-07-01 00:43:53.480
79,259,17558,10477,2018-10-30 13:57:37.350
79,417,128737,10996,2018-09-07 20:38:15.920
80,5,10956,8726,2018-07-30 13:55:46.680
80,391,27849,9442,2018-05-05 06:51:42.030
80,171,21067,10006,2018-03-20 21:58:26.110
80,329,35118,10779,2018-07-25 14:07:47.510
80,407,106133,11000,2018-11-03 17:38:12.860
80,87,34648,12570,2018-07-05 21:51:38.100
81,5,13724,7492,2018-05-26 08:52:01.260
81,259,28998,9346,2018-06-27 14:18:53.000
81,171,27715,9578,2018-12-10 19:44:03.280
81,87,42065,12888,2018-06-17 20:14:49.560
82,262,128217,7373,2018-02-10 11:34:42.310
82,259,42784,8843,2018-09-20 20:24:50.960
82,87,52043,9859,2018-10-04 18:48:30.910
82,5,18614,10015,2018-11-06 16:02:55.330
82,354,52860,10516,2018-05-28 20:31:02.040
82,171,35846,12674,2018-12-11 10:39:03.460
83,171,42067,8614,2018-01-19 05:04:49.470
83,259,52980,10613,2018-02-06 22:21:55.290
83,5,20668,11314,2018-09-24 20:41:45.160
83,87,63065,14223,2018-11-17 15:40:27.400
84,5,23186,7437,2018-09-11 06:20:53.760
84,171,63067,7634,2018-06-23 16:25:24.350
84,87,76648,10328,2018-11-12 12:27:56.220
84,259,63784,14677,2018-03-15 00:00:45.170
85,87,84065,7666,2018-03-28 13:30:11.220
85,259,77466,10254,2018-06-29 16:11:54.950
85,354,84626,11044,2018-09-24 22:54:43.870
85,171,77846,11258,2018-09-11 07:16:25.440
85,5,27460,12680,2018-09-25 00:59:11.330
86,87,101380,7526,2018-08-22 08:06:19.360
86,259,84784,10423,2018-06-12 18:10:51.710
86,5,34724,12020,2018-10-10 21:46:21.360
86,354,102361,14202,2018-04-12 05:24:18.760
87,5,41668,7419,2018-05-31 01:19:54.230
87,87,105065,7655,2018-02-15 10:05:07.120
87,171,105067,8478,2018-11-14 23:03:15.230
87,299,43862,9324,2018-07-11 20:57:24.440
87,259,101558,10954,2018-07-29 12:53:36.470
88,5,44186,11129,2018-06-04 03:55:36.200
88,87,126065,11159,2018-01-17 00:12:58.370
88,259,105784,13248,2018-05-03 22:37:53.550
88,354,126626,14236,2018-07-15 19:17:17.900
88,171,126067,14253,2018-10-05 11:43:02.690
89,87,127065,9479,2018-11-12 23:55:29.110
89,171,127067,10171,2018-11-25 10:30:20.000
89,5,52956,11887,2018-02-15 12:58:59.670
89,259,126784,12067,2018-09-28 23:01:57.500
89,354,127626,12986,2018-06-01 03:28:16.300
90,171,128067,8126,2018-03-02 23:22:13.130
90,87,128065,8891,2018-01-28 05:39:56.570
90,5,62668,9411,2018-03-11 11:39:35.540
90,354,128626,11827,2018-06-20 15:52:06.720
90,259,127784,13718,2018-12-21 10:24:15.210
91,5,65186,11995,2018-05-06 00:04:50.180
91,355,3274,12294,2018-09-20 13:43:13.190
91,88,781,13179,2018-05-30 22:03:43.480
91,172,1309,13204,2018-06-28 15:38:00.010
91,259,128784,13400,2018-03-13 09:41:25.560
92,355,8959,8491,2018-09-15 04:42:55.220
92,260,773,10217,2018-05-03 06:57:37.310
92,5,76724,11080,2018-03-31 22:21:53.360
92,88,2727,11709,2018-07-22 14:42:21.860
92,172,2775,13971,2018-04-07 16:44:43.600
93,424,126432,8482,2018-09-17 10:19:01.380
93,172,8134,8613,2018-05-27 07:03:18.830
93,88,6674,9730,2018-08-09 09:06:08.630
93,5,86186,12014,2018-05-13 14:56:10.840
93,260,4910,12059,2018-05-18 13:17:22.800
93,298,127033,14043,2018-03-01 02:36:11.440
94,260,6810,7857,2018-11-07 19:24:40.750
94,397,126613,8916,2018-08-18 18:48:40.320
94,5,102614,9998,2018-04-03 15:33:55.260
94,88,13146,11582,2018-11-21 08:09:52.180
94,355,15868,12594,2018-10-12 22:23:20.600
94,172,11554,14387,2018-11-25 16:18:35.500
95,88,13569,10486,2018-04-21 11:47:10.050
95,5,107186,11670,2018-01-17 04:31:16.380
95,260,10388,13441,2018-03-03 14:55:24.150
95,172,14926,14589,2018-06-30 16:31:10.410
96,172,19058,7938,2018-08-02 08:35:38.370
96,5,125668,10932,2018-11-21 12:02:00.030
96,383,101622,11580,2018-01-24 15:26:07.090
96,260,13864,11741,2018-06-23 02:49:07.410
96,411,101751,13750,2018-11-21 09:58:30.860
97,88,21781,7495,2018-04-22 17:47:14.770
97,345,107674,9372,2018-06-08 20:08:31.830
97,172,22309,10766,2018-11-06 16:21:45.550
97,5,130186,11574,2018-12-20 05:50:26.870
97,260,17977,13747,2018-03-17 16:27:41.210
98,6,121,8560,2018-02-15 19:13:18.440
98,88,27674,9909,2018-09-09 02:54:05.070
98,260,21773,11181,2018-01-19 07:09:44.040
98,311,19775,11537,2018-11-26 17:27:35.730
98,436,101637,11794,2018-09-05 09:31:44.480
98,385,11533,13851,2018-03-31 18:36:31.970
99,6,2866,7625,2018-09-15 16:44:46.120
99,355,52340,11182,2018-11-03 02:24:12.430
99,88,34569,11788,2018-11-08 19:18:31.800
99,260,27810,12316,2018-10-18 09:18:29.110
99,172,35926,14462,2018-04-07 16:22:36.840
100,88,42781,8621,2018-07-20 11:08:12.780
100,355,64006,8682,2018-07-05 12:10:26.410
100,6,6474,9369,2018-08-16 10:32:36.110
100,260,34864,11496,2018-08-05 01:41:35.800
100,172,43309,13692,2018-09-02 00:58:46.430
101,6,10662,9275,2018-08-12 01:12:53.060
101,88,55146,10859,2018-02-03 07:35:15.700
101,172,53554,12392,2018-04-23 06:07:02.150
101,381,13919,13178,2018-01-30 00:09:44.490
101,397,42613,13910,2018-10-10 10:23:07.490
102,286,107045,8259,2018-05-05 08:40:00.050
102,6,15061,8941,2018-12-13 19:17:16.440
102,374,29389,11567,2018-01-24 03:25:59.980
102,260,52388,12099,2018-03-16 12:17:11.890
102,172,64309,12713,2018-04-16 13:36:31.730
102,88,63781,14658,2018-07-17 00:25:06.330
103,355,101598,9591,2018-09-07 01:48:44.940
103,260,63773,11006,2018-05-06 07:44:03.920
103,88,76569,12725,2018-03-27 22:52:24.000
103,6,19597,13283,2018-07-11 07:09:38.240
103,172,77926,14000,2018-05-14 13:51:14.750
104,88,84781,8390,2018-03-31 17:47:16.860
104,172,85309,9751,2018-05-25 22:11:00.340
104,252,130828,13201,2018-06-05 02:49:51.540
104,260,76864,13863,2018-09-10 06:28:55.810
104,6,21121,14597,2018-07-17 16:35:32.980
105,6,27474,8864,2018-08-28 02:25:29.280
105,356,4888,9218,2018-09-07 02:43:53.620
105,172,103058,10584,2018-11-24 04:15:34.940
105,260,84773,12819,2018-07-02 21:57:33.590
105,88,101532,14344,2018-11-08 03:37:33.880
106,172,106309,10422,2018-07-13 04:45:41.110
106,88,105781,10579,2018-02-17 12:08:29.500
106,6,36061,12188,2018-09-11 22:57:38.450
106,260,101977,12211,2018-05-04 10:54:44.940
106,356,7591,13253,2018-09-24 12:21:57.060
107,172,129309,9778,2018-07-09 12:37:55.970
107,260,105773,10835,2018-04-06 13:16:53.350
107,88,126781,11138,2018-08-10 15:58:02.790
107,6,42121,11387,2018-05-14 08:12:19.130
107,331,43651,13779,2018-09-16 13:22:52.440
108,88,127781,9110,2018-11-07 05:33:42.290
108,173,149,10165,2018-04-29 15:00:43.110
108,260,126773,13014,2018-02-06 06:23:13.270
108,356,18229,14169,2018-07-18 21:48:12.590
108,6,52662,14499,2018-07-07 18:54:51.900
109,260,127773,8408,2018-04-12 09:56:23.910
109,88,128781,11564,2018-09-20 15:45:04.890
109,6,63121,11773,2018-07-13 21:35:52.300
109,173,4698,11808,2018-10-09 03:59:15.580
109,371,11268,14554,2018-09-09 06:15:41.280
110,173,7043,7687,2018-10-27 07:02:54.520
110,89,2055,7867,2018-12-25 01:42:04.740
110,260,128773,7985,2018-11-27 19:37:23.380
110,6,78061,8863,2018-09-01 17:50:09.200
110,256,201,10442,2018-07-04 11:56:51.860
111,173,13950,9610,2018-03-18 00:37:23.210
111,261,632,10430,2018-10-07 02:07:09.420
111,6,84121,12953,2018-11-05 05:59:34.110
