actionFeedbackNumber,actionEmployeeNum,progressStartTime,progressFinishTime
102,6,2019-10-26 23:55:16.720,2019-12-12 16:26:47.680
103,6,2017-12-30 01:00:23.980,2018-01-09 18:21:47.410
104,6,2018-10-31 03:59:57.970,
105,6,2019-05-15 14:04:40.730,2019-06-24 01:32:15.360
106,6,2017-05-26 13:29:32.140,2017-07-05 10:53:08.750
107,6,2017-01-16 05:09:26.190,2017-02-14 14:32:52.860
108,6,2018-01-28 15:21:21.470,2018-02-02 04:06:54.390
109,6,2017-06-09 19:35:52.660,
110,6,2019-03-07 12:43:03.610,2019-03-25 02:02:53.020
111,6,2018-02-16 17:38:54.110,
112,6,2018-08-04 02:30:09.780,
113,6,2018-10-07 09:29:57.370,2018-10-28 09:21:15.130
114,6,2017-03-18 00:15:22.530,2017-04-28 16:20:23.900
115,6,2017-03-06 20:15:37.760,2017-03-07 19:07:10.050
116,6,2018-06-12 20:15:34.870,2018-07-28 03:50:59.460
117,6,2017-07-19 21:33:32.340,2017-07-21 21:35:54.150
118,6,2017-01-25 10:57:43.810,
119,6,2017-03-31 02:45:23.950,2017-05-06 14:17:11.290
120,6,2017-07-06 17:50:30.540,2017-08-10 05:20:24.570
121,7,2017-10-10 18:45:42.400,2017-11-24 13:39:15.240
122,7,2018-10-07 23:48:08.740,2018-10-22 18:58:17.620
123,7,2017-09-19 03:42:53.170,
124,7,2019-11-09 23:36:28.060,
125,7,2018-02-06 15:15:57.700,2018-02-15 16:02:39.270
126,7,2017-07-24 15:25:35.140,2017-09-02 00:23:49.860
127,7,2018-02-15 13:50:57.240,
128,7,2017-04-25 21:37:18.360,2017-05-01 07:58:06.990
129,7,2018-01-20 12:15:47.450,2018-02-11 01:39:14.940
130,7,2018-04-04 02:30:56.850,2018-05-17 01:36:40.570
131,7,2019-03-08 15:11:34.920,2019-03-11 09:27:34.550
132,7,2018-02-02 19:13:51.760,
133,7,2017-08-18 16:12:54.520,
134,7,2018-12-25 00:18:17.130,
135,7,2017-03-30 22:39:28.250,2017-05-01 11:02:19.560
136,7,2018-02-24 10:48:43.130,
137,7,2019-07-30 06:25:55.160,
138,7,2017-08-08 20:30:26.300,
139,7,2018-01-25 05:03:01.770,2018-01-31 18:40:19.520
140,7,2017-10-07 14:28:22.590,2017-10-08 18:57:47.540
141,8,2017-05-07 02:28:37.260,2017-05-20 09:26:02.780
142,8,2019-03-04 16:32:55.630,
143,8,2018-06-07 01:33:45.030,2018-06-26 19:22:45.880
144,8,2017-08-15 13:07:10.080,2017-08-16 21:52:25.960
145,8,2019-04-29 20:43:07.050,
146,8,2017-04-19 01:09:50.580,2017-06-07 19:25:06.670
147,8,2018-06-24 17:17:33.480,2018-08-12 02:58:55.310
148,8,2019-02-23 00:36:48.420,2019-04-08 07:57:58.580
149,8,2019-03-27 18:08:33.260,2019-05-02 20:07:07.850
150,8,2018-10-03 03:04:20.170,2018-11-06 08:03:50.670
151,8,2018-12-05 00:12:23.860,2019-01-09 03:32:49.450
152,8,2017-07-22 23:49:28.430,2017-08-10 13:57:55.950
153,8,2019-05-29 22:04:21.020,2019-07-05 03:14:54.720
154,8,2019-05-24 15:25:46.460,2019-06-29 18:21:52.400
155,8,2018-05-01 14:56:02.800,2018-05-23 16:19:38.550
156,8,,
157,8,2017-04-01 19:53:26.630,2017-05-12 17:26:38.930
158,8,2019-11-25 05:57:32.190,2019-12-20 06:55:45.740
159,8,2019-10-28 09:37:14.630,2019-11-15 14:12:03.130
160,8,2019-10-23 17:18:29.470,2019-12-07 08:22:58.290
161,9,2017-04-18 18:35:12.020,2017-04-29 07:35:55.400
162,9,2017-03-12 09:12:16.830,
163,9,2019-01-05 09:07:18.790,2019-01-29 11:13:54.520
164,9,2017-02-19 16:41:09.680,2017-04-03 03:49:35.350
165,9,2018-12-12 16:52:39.340,2019-01-29 15:51:48.940
166,9,2019-01-19 21:33:06.090,2019-01-29 12:45:33.230
167,9,2018-04-16 01:27:45.510,2018-05-15 07:44:13.690
168,9,2017-05-09 03:14:20.370,2017-05-27 22:52:04.320
169,9,2018-08-21 08:25:11.890,2018-09-14 07:17:13.260
170,9,2019-10-27 03:03:30.360,
171,9,2017-08-04 02:41:53.730,2017-09-02 18:26:57.810
172,9,2017-06-04 11:38:34.680,2017-07-08 12:28:56.540
173,9,2018-12-23 01:13:41.630,2019-01-10 17:05:43.300
174,9,2018-07-02 20:47:45.440,2018-08-06 00:07:17.390
175,9,2018-04-09 11:36:13.920,2018-04-12 23:07:43.020
176,9,2017-11-21 04:27:45.400,2017-12-15 21:48:30.470
177,9,2019-08-01 01:55:36.200,
178,9,2017-12-21 23:20:00.100,2018-01-27 16:18:19.580
179,9,2018-11-20 08:05:59.530,2018-11-23 02:10:28.690
180,9,2019-07-09 15:11:42.350,2019-07-10 11:18:05.240
181,10,2019-10-20 02:40:05.590,2019-11-16 16:22:48.720
182,10,2019-10-12 02:42:23.550,2019-10-16 04:49:39.100
183,10,2018-05-10 04:22:17.370,2018-05-28 10:41:27.800
184,10,2018-02-13 02:28:19.240,
185,10,2018-04-20 02:13:04.620,2018-05-17 17:38:13.950
186,10,2017-04-15 16:28:51.820,2017-05-13 19:17:37.610
187,10,2018-08-11 16:59:37.870,2018-09-01 10:59:15.880
188,10,2019-06-25 23:39:42.780,2019-07-26 05:39:14.230
189,10,2019-01-13 06:30:39.480,2019-01-23 11:08:02.490
190,10,2017-12-23 06:56:47.360,2018-01-21 17:33:49.470
191,10,2019-04-28 11:50:30.420,2019-05-03 05:56:58.570
192,10,2017-06-03 00:41:53.510,2017-07-01 17:19:52.720
193,10,2018-03-18 06:31:21.800,
194,10,2017-03-14 00:30:45.510,
195,10,2019-01-17 16:37:46.170,2019-02-04 02:19:19.660
196,10,2018-04-09 12:24:31.910,
197,10,2019-04-11 11:16:27.730,
198,10,2018-12-29 18:31:33.370,2019-02-16 01:38:25.400
199,10,2017-01-29 00:12:36.980,2017-02-18 01:53:09.440
200,10,2017-05-05 06:01:07.970,2017-05-23 06:16:15.820
201,11,2017-12-14 03:07:08.270,2018-01-15 21:04:22.840
202,11,2017-01-22 23:03:45.680,2017-03-09 19:36:33.750
203,11,2017-06-05 10:04:47.200,2017-06-22 09:40:04.520
204,11,2019-10-09 16:25:13.500,2019-10-22 12:16:10.070
205,11,2018-05-13 23:32:20.410,2018-06-10 22:22:14.770
206,11,2018-08-17 07:58:22.280,
207,11,2019-06-09 21:33:35.660,
208,11,2017-02-01 11:52:38.210,2017-03-04 08:22:19.640
209,11,2018-12-31 06:31:00.360,2019-02-06 14:34:00.040
210,11,2017-10-17 08:55:18.570,2017-11-25 23:04:23.180
211,11,2019-03-28 14:39:26.870,2019-04-07 08:53:56.150
212,11,2017-07-23 17:24:57.000,
213,11,2018-03-05 19:06:01.770,
214,11,2018-01-07 07:20:27.530,2018-02-17 15:13:49.890
215,11,2017-02-13 21:44:28.970,
216,11,2017-02-10 00:51:41.530,
217,11,2017-03-07 22:55:44.660,2017-04-18 03:23:14.980
218,11,2018-08-21 07:05:50.830,2018-09-24 01:32:11.310
219,11,2019-11-26 12:03:25.800,2019-12-14 12:39:45.640
220,11,2018-08-22 07:23:39.750,2018-09-23 07:09:21.230
221,12,2017-10-05 22:11:55.410,2017-10-11 16:48:53.160
222,12,2017-10-22 02:01:25.520,2017-10-23 11:36:45.910
223,12,2017-05-06 16:02:12.730,2017-06-22 01:02:32.170
224,12,2017-11-28 16:01:10.970,
225,12,2017-07-13 02:01:04.160,2017-07-16 11:58:17.730
226,12,2019-01-11 13:16:40.400,2019-01-22 01:45:49.410
227,12,2019-03-07 01:44:02.250,
228,12,2019-11-28 15:44:11.120,
229,12,2018-11-04 21:53:03.340,
230,12,2018-09-01 10:25:55.680,2018-09-25 02:48:25.400
231,12,2019-06-17 16:57:23.600,2019-07-21 11:53:36.750
232,12,2019-10-21 04:25:46.710,2019-11-09 09:46:36.850
233,12,2018-03-09 09:10:30.990,2018-04-15 00:52:46.140
234,12,2018-10-20 07:20:08.450,2018-10-23 13:26:17.570
235,12,2017-02-27 16:12:21.960,
236,12,2019-04-16 06:15:06.030,2019-05-06 10:32:19.810
237,12,2018-12-09 22:58:56.910,2018-12-20 02:47:04.370
238,12,2017-09-13 17:20:30.490,2017-10-31 14:00:12.640
239,12,2017-12-21 20:53:57.370,2018-01-31 22:54:45.070
240,12,2017-06-28 18:10:19.920,2017-08-07 13:34:56.800
241,13,2018-10-27 12:46:36.500,2018-12-11 12:13:22.510
242,13,2018-01-19 14:08:56.540,
243,13,2018-10-25 19:05:14.300,2018-11-19 14:41:31.270
244,13,2017-04-04 18:13:17.690,2017-04-14 04:25:55.040
245,13,2018-08-22 08:08:31.690,
246,13,2019-01-09 02:44:19.390,2019-02-23 19:26:59.080
247,13,2017-11-19 17:31:39.140,2018-01-06 22:22:30.080
248,13,2019-09-20 08:24:30.440,2019-09-28 18:44:05.230
249,13,2018-04-22 02:30:02.680,2018-05-12 03:32:58.380
250,13,2017-12-12 07:17:27.060,2017-12-12 21:57:47.890
251,13,2017-08-17 19:27:21.430,
252,13,2018-04-23 21:11:39.570,2018-05-23 13:58:14.080
253,13,2017-07-21 18:09:06.900,2017-08-30 03:52:10.310
254,13,2019-11-17 07:32:09.200,2019-12-30 07:35:56.670
255,13,2019-11-11 04:54:34.730,
256,13,2018-03-22 00:22:50.030,
257,13,2019-01-20 03:13:50.430,2019-02-05 22:51:02.360
258,13,2018-05-09 22:02:08.020,2018-06-05 17:37:01.780
259,13,2019-07-07 18:54:36.430,2019-08-13 03:14:20.630
260,13,2018-04-04 11:10:47.600,2018-04-24 17:15:11.420
261,14,2019-10-30 12:25:47.110,2019-11-27 22:44:45.380
262,14,2017-10-31 16:40:31.880,2017-11-13 00:27:05.550
263,14,2019-05-12 16:21:17.630,2019-05-23 19:14:15.880
264,14,2017-09-06 22:07:49.930,
265,14,2018-11-16 14:02:35.500,2018-11-27 22:26:31.030
266,14,2019-08-25 21:46:11.620,2019-09-21 04:33:40.750
267,14,2019-02-20 20:34:27.720,2019-03-04 16:36:32.260
268,14,2017-07-16 15:15:21.400,
269,14,2018-06-26 02:04:30.670,2018-08-01 00:47:47.980
270,14,2017-08-04 16:29:13.880,
271,14,2017-01-18 02:34:10.300,
272,14,2019-08-24 14:50:00.840,
273,14,2018-05-02 03:06:01.880,2018-05-04 00:45:10.060
274,14,2018-04-26 18:14:36.370,2018-05-13 21:58:52.700
275,14,2018-07-17 11:37:28.270,2018-08-24 17:14:13.870
276,14,2018-12-28 01:16:41.960,2019-02-04 16:36:27.960
277,14,2017-09-08 10:47:22.310,
278,14,2017-03-25 04:54:28.610,2017-04-24 02:34:32.800
279,14,2019-05-18 17:27:41.480,2019-05-20 15:24:22.360
280,14,2019-12-15 03:19:56.180,
281,15,2017-06-26 02:28:30.290,2017-07-25 15:40:59.090
282,15,2019-08-26 18:24:16.360,2019-09-17 17:22:35.650
283,15,2019-12-06 16:46:10.290,2019-12-13 22:47:18.140
284,15,2018-06-01 11:44:15.600,
285,15,2019-04-18 01:13:08.830,2019-05-01 21:37:35.420
286,15,2017-02-16 01:22:43.840,2017-02-23 13:07:29.130
287,15,2017-09-15 09:09:22.420,2017-10-16 12:14:02.460
288,15,2018-04-03 22:51:50.610,2018-05-22 12:35:22.620
289,15,2018-06-15 04:05:46.170,2018-07-25 10:53:42.330
290,15,2018-06-17 08:51:24.630,2018-07-03 16:59:32.090
291,15,2018-10-02 15:58:10.030,2018-10-28 17:06:54.280
292,15,2018-12-13 08:44:18.280,
293,15,2019-08-22 20:03:23.400,
294,15,2018-08-09 16:21:04.350,2018-08-28 13:11:45.990
295,15,2018-10-08 05:36:51.630,2018-11-04 12:14:17.900
296,15,2017-02-25 09:59:03.160,2017-03-23 05:44:10.630
297,15,2017-06-22 20:34:49.030,2017-07-14 22:22:17.800
298,15,2019-01-30 11:23:13.490,2019-02-15 13:11:07.320
299,15,2018-08-14 11:41:01.490,2018-09-18 21:12:17.150
300,15,2017-09-24 15:06:31.470,
301,16,2017-03-12 16:24:56.240,2017-04-09 05:23:23.060
302,16,2017-09-27 05:45:45.390,2017-10-19 08:07:18.320
303,16,2019-01-04 16:54:32.740,2019-02-06 06:07:29.590
304,16,2017-09-21 02:56:16.930,2017-10-26 20:58:10.910
305,16,2017-06-01 01:58:26.800,2017-06-15 21:16:36.200
306,16,2019-04-21 03:40:31.090,
307,16,2018-11-23 19:22:16.310,2018-12-05 09:15:31.080
308,16,2019-09-23 17:18:53.350,2019-09-25 23:36:00.780
309,16,2017-02-22 01:39:36.220,2017-03-14 15:04:41.600
310,16,2019-11-26 13:45:04.500,2019-12-03 05:30:36.240
311,16,2017-05-12 21:46:19.340,2017-06-06 03:22:41.630
312,16,2019-12-09 21:44:55.060,
313,16,2018-01-06 08:57:36.550,2018-02-17 04:43:18.740
314,16,2019-12-07 07:00:12.920,
315,16,2017-02-22 20:35:03.790,2017-03-24 09:21:04.650
316,16,2017-06-03 21:51:08.320,2017-06-22 02:01:23.070
317,16,2019-10-08 06:24:39.190,2019-10-28 03:08:49.980
318,16,2017-09-17 07:58:27.210,
319,16,2018-09-15 01:16:30.450,2018-10-25 23:59:43.570
320,16,2019-08-30 08:57:55.780,2019-10-10 02:01:29.940
321,17,2019-02-18 13:11:10.850,2019-03-03 19:07:13.660
322,17,2018-10-24 23:27:29.890,2018-10-30 20:10:11.970
323,17,2017-11-16 03:46:01.260,2017-12-24 17:22:03.010
324,17,2017-10-25 04:08:23.890,
325,17,2019-10-16 17:25:55.490,
326,17,2017-06-23 04:42:44.670,2017-08-09 19:45:06.110
327,17,2019-08-25 16:06:31.900,2019-09-22 15:14:52.600
328,17,2019-09-13 08:15:58.600,2019-10-27 03:01:35.750
329,17,2017-11-12 12:36:53.960,2018-01-01 11:04:13.490
330,17,2019-02-28 19:40:14.230,2019-04-16 18:36:13.200
331,17,2019-11-11 19:30:49.050,2019-11-17 02:14:42.320
332,17,2017-07-15 16:33:58.770,2017-07-31 17:25:22.180
333,17,2017-07-31 01:21:37.880,2017-09-05 00:59:14.440
334,17,2019-09-15 17:16:39.700,2019-09-21 06:13:11.960
335,17,2017-10-07 15:34:10.630,2017-10-17 12:38:35.370
336,17,2017-09-13 20:57:46.060,2017-11-02 20:09:32.170
337,17,2017-11-25 00:24:25.480,2017-11-26 08:19:33.420
338,17,2017-07-07 23:11:49.030,
339,17,2017-06-26 08:55:58.440,
340,17,2019-01-31 10:48:11.410,2019-02-21 07:10:23.930
341,18,2017-03-20 05:56:09.210,
342,18,2017-07-17 17:36:06.590,2017-08-09 05:03:48.820
343,18,2019-11-30 03:31:26.200,2019-12-29 02:24:18.470
344,18,2017-10-17 23:26:58.500,2017-10-18 16:50:16.130
345,18,2018-07-05 04:29:48.390,2018-08-06 09:59:48.230
346,18,2019-08-10 18:14:59.420,2019-08-25 06:48:13.150
347,18,2018-07-29 04:12:33.540,2018-08-08 22:30:41.160
348,18,2019-11-30 23:44:46.190,2019-12-21 22:39:20.550
349,18,2019-03-13 05:15:47.850,
350,18,2018-04-01 01:04:59.040,2018-04-23 19:38:51.160
351,18,2017-05-14 02:15:01.140,
352,18,2017-06-05 15:43:28.720,2017-07-11 07:19:10.010
353,18,2017-08-01 01:46:45.600,
354,18,2017-11-17 08:32:10.420,2017-11-19 20:47:42.490
355,18,2019-07-05 14:54:06.490,2019-07-31 15:26:23.890
356,18,2017-02-17 05:39:23.530,2017-02-21 06:12:31.060
357,18,2017-04-10 15:17:02.760,2017-04-18 09:52:00.910
358,18,2019-08-08 19:20:48.680,2019-08-18 09:30:22.470
359,18,2018-06-22 18:19:52.070,2018-08-08 19:30:16.390
360,18,2017-09-12 18:47:47.510,2017-10-02 03:55:51.960
361,19,2019-05-14 02:00:48.560,2019-06-16 07:45:26.740
362,19,2019-06-16 09:25:11.330,2019-07-10 03:23:53.330
363,19,2019-09-07 08:21:11.740,2019-09-28 18:24:24.090
364,19,2018-06-07 03:49:03.570,
365,19,2017-10-23 16:46:45.250,2017-11-14 17:20:35.670
366,19,2017-12-01 13:54:55.090,2017-12-05 08:22:52.110
367,19,2019-01-15 03:03:35.880,2019-02-22 12:33:23.360
368,19,2017-11-18 08:10:45.890,
369,19,2018-07-31 23:37:34.630,2018-08-03 08:19:17.370
370,19,2019-11-17 12:19:13.540,2019-12-11 14:10:43.100
371,19,2018-03-03 07:22:44.700,2018-03-12 14:45:42.430
372,19,2019-10-07 01:01:54.790,2019-10-08 01:08:03.580
373,19,2019-11-27 10:08:17.770,2019-12-31 03:07:54.760
374,19,2018-03-14 21:23:03.220,2018-03-18 01:52:37.600
375,19,2017-03-19 05:27:13.360,
376,19,2017-08-15 21:26:26.530,2017-09-14 10:32:59.020
377,19,2017-05-08 21:08:01.810,2017-05-26 14:13:59.740
378,19,2018-04-09 18:17:21.130,2018-05-18 11:47:51.080
379,19,2018-01-16 08:36:01.790,2018-02-14 04:44:30.280
380,19,2019-11-28 16:02:08.550,
381,20,2017-07-26 14:08:07.810,2017-08-20 16:34:11.090
382,20,2017-08-15 20:14:10.170,
383,20,2017-09-17 20:24:57.080,
384,20,2018-08-11 01:54:37.170,2018-09-19 22:04:26.900
385,20,2018-09-08 01:04:35.790,
386,20,2018-07-20 01:27:25.800,
387,20,2018-11-12 21:38:08.980,2018-12-20 23:29:32.140
388,20,2017-01-19 09:55:41.240,2017-03-10 01:54:11.560
389,20,2019-03-04 06:05:56.020,2019-03-06 06:32:59.930
390,20,2018-08-21 16:50:57.930,2018-09-06 13:03:04.020
391,20,2018-02-27 21:50:19.350,2018-04-01 20:59:59.150
392,20,2017-01-19 13:06:44.230,2017-02-02 05:12:57.090
393,20,2018-10-08 03:02:54.290,
394,20,2017-07-14 04:30:59.930,2017-08-07 23:42:05.340
395,20,2017-10-07 11:45:30.310,2017-11-11 11:12:02.280
396,20,,
397,20,2018-05-22 18:04:03.650,
398,20,2018-03-30 10:20:03.760,2018-04-03 11:26:07.810
399,20,2019-02-13 05:03:12.360,2019-04-04 00:45:08.390
400,20,2019-01-14 06:10:08.100,2019-02-12 05:07:37.730
401,21,2017-05-30 18:42:33.580,2017-05-31 19:00:23.640
402,21,2017-10-13 16:14:40.140,
403,21,2019-03-22 00:49:33.950,2019-03-31 23:44:01.500
404,21,2018-03-28 09:36:28.150,
405,21,2018-01-11 16:07:30.330,
406,21,2018-10-22 09:46:56.740,
407,21,2018-09-16 22:35:54.780,
408,21,2017-06-22 15:38:19.980,
409,21,2019-08-23 23:25:08.110,2019-09-23 23:46:53.630
410,21,2017-06-06 18:43:42.340,2017-06-17 11:58:17.020
411,21,2019-01-09 06:56:39.540,2019-02-25 07:29:08.560
412,21,2019-07-24 22:48:31.310,
413,21,2017-10-09 12:43:12.950,2017-10-10 12:17:34.710
414,21,2017-09-24 12:08:26.990,
415,21,2018-08-07 12:19:59.250,2018-08-11 13:50:32.580
416,21,2017-07-20 15:40:38.460,2017-08-29 21:03:01.780
417,21,2019-10-10 20:43:11.700,2019-11-22 12:31:45.820
418,21,2017-05-26 15:04:39.710,2017-05-31 06:10:03.160
419,21,2017-12-19 01:33:55.670,
420,21,2019-11-16 03:47:19.350,2019-12-10 07:16:39.940
421,22,2019-05-27 05:57:35.120,2019-06-27 00:04:37.280
422,22,2018-03-26 09:56:26.320,2018-03-31 06:45:01.920
423,22,2019-12-05 00:18:58.750,2019-12-21 03:16:45.610
424,22,2018-03-31 17:21:29.010,2018-05-07 00:55:07.240
425,22,2018-12-17 05:58:57.750,
426,22,2018-02-06 17:52:07.580,2018-02-09 17:59:11.880
427,22,2017-06-05 07:24:35.310,2017-06-10 18:53:30.740
428,22,2017-12-26 19:07:28.160,2018-01-07 15:09:33.680
429,22,2019-07-30 09:58:51.760,2019-08-13 03:31:53.620
430,22,2019-01-02 11:52:55.180,2019-01-31 04:57:27.500
431,22,2019-01-06 06:43:33.850,
432,22,2019-01-15 21:32:54.810,2019-03-04 11:34:16.330
433,22,2018-08-23 15:30:13.900,2018-08-28 06:22:00.150
434,22,2019-03-09 22:36:24.410,2019-03-13 03:24:13.840
435,22,2017-12-04 12:14:18.440,2017-12-15 14:10:39.850
436,22,2019-03-27 14:23:39.450,2019-04-17 17:34:59.570
437,22,2018-09-03 13:07:18.100,2018-09-06 23:45:43.890
438,22,2018-12-16 20:20:41.950,2019-01-20 07:34:00.820
439,22,2019-05-17 11:20:16.010,2019-07-01 18:21:41.280
440,22,2019-02-26 12:32:41.720,2019-03-17 00:34:18.230
441,23,2018-01-16 01:12:54.460,2018-02-17 11:54:35.650
442,23,2017-06-03 09:57:22.160,2017-06-26 00:30:31.060
443,23,2019-06-30 00:01:07.720,2019-07-04 15:42:33.780
444,23,2017-03-31 02:41:52.260,2017-04-15 16:56:51.930
445,23,2018-12-03 19:41:36.030,2018-12-12 04:41:48.550
446,23,2017-02-07 14:15:42.060,
447,23,2018-05-30 20:39:17.070,2018-07-17 07:45:32.280
448,23,2019-05-12 09:33:26.530,2019-06-13 06:14:59.410
449,23,2017-06-18 17:14:28.780,2017-07-18 23:24:17.930
450,23,2019-04-08 15:30:04.110,2019-05-15 23:28:11.130
451,23,2017-04-10 05:14:41.860,2017-05-15 14:37:59.640
452,23,2017-03-22 18:49:13.640,2017-03-27 22:46:41.740
453,23,2019-01-01 17:59:27.000,2019-02-10 23:15:45.840
454,23,2018-05-26 14:02:24.540,2018-06-24 16:53:18.990
