requestedBillingNumber,requestedLineNumber,requestedServiceChargeAmount,requestedServiceNumber
9,18398,3672.4693,7899
9,20911,674.2535,12460
9,21575,4703.1105,12266
9,28793,2790.8811,10964
9,34688,3098.2098,9120
9,41911,2178.4603,14013
9,42575,4473.1639,8599
9,52554,1869.6912,11060
9,62911,1178.4820,8245
9,63575,3294.5269,12013
9,76688,4067.8962,7584
9,84575,1310.7096,13272
9,102398,3392.7700,10043
9,105575,3491.6460,10232
9,125911,4590.4252,9451
9,126575,2494.7659,11851
9,127575,1182.9271,13604
9,128575,2587.6514,9820
10,1363,2237.1428,13817
10,3001,2670.9598,12681
10,6248,2709.5671,8731
10,13414,1521.0496,7575
10,16722,1368.2481,9038
10,17094,4274.4943,12785
10,20811,1716.6709,7725
10,22363,4633.9079,11853
10,27248,1114.9858,11396
10,37722,1694.3433,9117
10,41811,2602.9070,9238
10,43363,1660.6643,8549
10,55414,4613.5968,14135
10,62811,2614.5356,9559
10,64363,549.7521,8268
10,79722,4556.7950,13429
10,85363,295.4231,8816
10,101094,2130.1842,8961
10,106363,3291.4857,8689
10,125811,818.6617,10789
10,129363,3267.9840,9112
11,929,3298.0746,12456
11,2944,3629.8005,10961
11,6223,3531.9564,12550
11,10467,3617.6178,14651
11,13514,1323.4837,12356
11,17679,2866.9842,12721
11,21929,2492.5388,8063
11,27223,308.1714,9936
11,34514,4724.0578,13578
11,42929,863.2406,10484
11,52467,1117.9433,12962
11,63929,3976.1542,8125
11,76514,2600.7917,11110
11,84929,2488.5493,14516
11,101679,4411.0441,10434
11,105929,2616.9588,14252
11,126929,4074.2182,11237
11,127929,3900.0918,7632
11,128929,1648.0753,10239
12,610,3931.8316,14293
12,3267,4863.5769,13915
12,6325,369.1084,12687
12,10231,1829.5383,12264
12,14884,1065.6583,14044
12,17593,2882.7924,12603
12,21610,3901.8027,11368
12,27325,4643.6173,9679
12,35884,4718.8215,8185
12,42610,3179.1197,11911
12,52231,2025.2860,13374
12,63610,2791.5058,13994
12,77884,2628.3286,13906
12,84610,3158.4635,10117
12,101593,1701.7294,12614
12,105610,2829.3125,13835
12,126610,3207.7458,8744
12,127610,2179.2556,12878
12,128610,4950.8475,11790
13,323,1862.5929,7546
13,3049,1635.0446,12015
13,6494,4557.6499,9350
13,9880,2968.5079,13056
13,17754,2225.6502,11926
13,18634,3191.9339,9012
13,21323,3358.6661,10691
13,27494,3228.7978,11878
13,39634,2382.0232,10894
13,42323,3580.9065,14498
13,51880,257.6528,9126
13,63323,4004.0948,10910
13,81634,4883.9059,14050
13,84323,2704.6405,13268
13,101754,4456.2220,14290
13,105323,1534.8482,13446
13,126323,3222.2175,10201
13,127323,2358.2228,11907
13,128323,2544.2462,8955
14,879,4369.8938,8395
14,2906,1100.3419,14524
14,6830,3734.0812,7794
14,10851,979.8043,10230
14,13772,2171.1902,11849
14,17113,3237.0178,13596
14,20772,2841.8909,11353
14,21879,2522.5891,11627
14,27830,464.4549,12304
14,34772,2541.9711,12094
14,41772,3107.9861,11246
14,42879,4346.1851,12156
14,52851,1655.4093,7736
14,62772,2133.5208,11451
14,63879,4159.7108,7681
14,76772,717.2162,12162
14,84879,2555.7773,13654
14,101113,3397.0665,9775
14,105879,4661.4480,11487
14,125772,3186.6180,7624
14,126879,2917.9912,12605
14,127879,2957.5049,12503
14,128879,1232.5453,10958
15,2003,1722.1219,11868
15,2619,4238.7474,13017
15,6723,4290.8954,8818
15,11541,4675.7037,12348
15,14207,4202.0017,10066
15,17078,4789.6066,12982
15,23003,963.2890,8663
15,27723,1724.7409,11525
15,35207,2162.3233,12640
15,44003,1653.0904,8195
15,53541,3467.4417,14619
15,65003,3786.7671,12793
15,77207,4801.7304,7379
15,86003,268.4358,11666
15,101078,1202.7919,7615
15,107003,1573.5442,11409
15,130003,202.7499,9257
16,312,304.5736,7931
16,3144,3560.3485,11969
16,6258,1730.6759,12271
16,11957,4606.0081,10513
16,14940,4917.9906,8750
16,17196,2442.0380,12502
16,21312,331.3791,14264
16,27258,3027.2665,10948
16,35940,712.3999,13357
16,42312,4713.6142,13918
16,53957,4070.5057,11416
16,63312,2554.1817,10270
16,77940,4340.8021,13855
16,84312,487.1872,13575
16,101196,2521.7493,12950
16,105312,4386.7027,13609
16,126312,4521.5780,12135
16,127312,714.4576,9211
16,128312,4729.2461,10094
17,190,3228.8481,8212
17,3607,3948.5643,12534
17,7892,2982.1176,14142
17,11818,4175.4527,10642
17,14095,1453.8175,8444
17,17090,4577.0946,7733
17,20982,557.3846,14421
17,21190,454.0260,7626
17,28892,3043.1660,14224
17,35095,4992.4996,9707
17,41982,1813.2644,11420
17,42190,2482.8086,12105
17,53818,4779.7687,12483
17,62982,1101.9985,9544
17,63190,2522.5037,8881
17,77095,4678.3315,12809
17,84190,651.5728,12174
17,101090,4459.7183,9772
17,105190,1584.9194,13924
17,125982,3233.4562,11587
17,126190,3204.2354,11084
17,127190,1655.2558,10109
17,128190,3265.9250,9338
18,506,2251.7656,13505
18,4469,4566.4327,9735
18,6775,823.4705,11494
18,12684,650.3596,8120
18,14260,576.5546,12807
18,17188,1111.2150,13267
18,20844,1713.6044,14504
18,21506,4708.5172,8309
18,27775,861.7810,13007
18,35260,4328.9595,11927
18,41844,2249.6393,10756
18,42506,409.3280,12396
18,54684,4932.0513,10780
18,62844,3057.1250,14430
18,63506,4521.0549,13304
18,77260,338.5310,10823
18,84506,1609.9550,12647
18,101188,877.8514,14414
18,105506,4989.6266,10234
18,125844,4902.2628,10850
18,126506,4712.9427,13732
18,127506,4126.3598,11052
18,128506,4973.4140,10796
19,1001,2991.0899,13215
19,2667,4848.3556,14048
19,6773,1113.0194,13680
19,15287,1711.2781,12212
19,17107,2145.6792,13379
19,17465,1137.3467,7830
19,22001,1289.5284,13322
19,27773,2217.2220,11910
19,36287,3069.0767,14073
19,43001,2759.5497,11665
19,59465,1443.3449,9765
19,64001,4403.8102,13999
19,78287,434.1951,9116
19,85001,3593.8864,9399
19,101107,3943.0043,8752
19,106001,1417.0212,12449
19,129001,3464.3897,12671
20,181,3152.3824,13483
20,2648,1295.3764,9894
20,6575,4128.5857,9973
20,10094,410.3193,12151
20,14253,1005.5295,10853
20,17053,343.4502,9824
20,20760,297.1616,9899
20,21181,2938.5288,9437
20,27575,2806.4507,9003
20,35253,3181.2591,7972
20,41760,2844.8249,10389
20,42181,431.9519,13332
20,52094,3675.0345,10249
20,62760,4145.4232,8754
20,63181,2206.3935,11892
20,77253,4538.2714,14054
20,84181,2842.2818,7644
20,101053,598.9352,11965
20,105181,4982.3363,9130
20,125760,796.9072,8827
20,126181,3270.8020,10075
20,127181,4242.7271,10130
20,128181,3628.3465,13369
21,546,3729.2336,14440
21,3654,4973.8049,11715
21,6444,4306.5229,13221
21,10590,1595.7849,9315
21,14784,788.8217,11943
21,17766,762.1373,10346
21,20867,3303.4121,11500
21,21546,2300.1843,10979
21,27444,853.3999,9448
21,35784,4995.1414,11968
21,41867,3054.9341,11143
21,42546,963.8754,9577
21,52590,1163.4967,14690
21,62867,3165.2437,11875
21,63546,1842.6049,12175
21,77784,4075.5816,13516
21,84546,2918.8804,14120
21,101766,4304.0988,10241
21,105546,492.0857,13152
21,125867,4728.1239,12012
21,126546,1542.6318,13820
21,127546,3397.3563,13031
21,128546,2470.5142,9302
22,662,4282.0323,11486
22,2776,3105.9104,7781
22,6611,1059.3905,13723
22,9869,2221.4775,10793
22,13582,3478.9666,8778
22,18642,639.1578,14164
22,21662,2478.8377,12213
22,27611,4285.5739,13798
22,34582,4290.5197,8261
22,42662,4497.1255,8939
22,51869,4702.5215,10012
22,63662,4774.8270,10416
22,76582,4917.3207,11103
22,84662,4927.1245,13385
22,102642,602.5754,9613
22,105662,1424.1593,10681
22,126662,4743.4583,11613
22,127662,735.1377,11150
22,128662,2941.6150,13049
23,1478,1341.4050,12289
23,3686,2756.8685,9438
23,7326,1419.7905,8366
23,12830,2962.1887,13492
23,13473,4473.9994,11612
23,19279,2017.1449,12393
23,22478,2782.0499,10523
23,28326,2453.6459,11908
23,34473,300.4211,11754
23,43478,420.4417,12017
23,54830,2574.7637,10986
23,64478,2558.6537,10373
23,76473,660.3528,11962
23,85478,1513.0716,9895
23,103279,1848.0838,9529
23,106478,3210.7142,8404
23,129478,2026.0728,11168
24,226,4340.4815,9243
24,2631,4107.6013,10773
24,6443,1767.8990,7819
24,11138,4447.5238,9879
24,13459,1604.3558,8337
24,17307,4405.9561,10938
24,21226,3399.1006,11272
24,27443,3938.2269,10837
24,34459,4374.9593,11523
24,42226,2486.5440,14149
24,53138,4085.6484,8473
24,63226,2410.0278,11601
24,76459,3432.9023,7444
24,84226,2213.0025,8606
24,101307,1412.7669,7463
24,105226,3517.3404,14403
24,126226,2724.0473,11571
24,127226,1835.9113,14488
24,128226,1321.2416,11367
25,1402,1432.3337,13409
25,4358,3631.2820,11771
25,7243,580.9330,10549
25,9998,4273.4761,8947
25,14048,3663.4835,12639
25,17860,1964.1754,14675
25,22402,2506.5946,8073
25,28243,1136.4065,9227
25,35048,796.4008,12893
25,43402,4132.0524,9198
25,51998,1031.4690,13494
25,64402,1972.6026,13637
25,77048,3016.0888,9737
25,85402,3818.8237,9333
25,101860,4319.2816,9297
25,106402,498.1671,12412
25,129402,2308.4108,10348
26,1962,2839.6937,8216
26,4718,3690.5977,10760
26,6763,3189.0252,14319
26,11197,2873.9921,9816
26,14089,3740.5569,13993
26,17635,2054.4679,11841
26,22962,2544.0253,9332
26,27763,218.3735,11474
26,35089,2411.3644,8027
26,43962,4831.1804,13866
26,53197,744.7534,7560
26,64962,2074.0870,10905
26,77089,2103.4447,9593
26,85962,1149.9197,13243
26,101635,3532.0900,10663
26,106962,3819.1437,12686
26,129962,4918.0772,7651
27,1899,3654.2596,12702
27,4315,3837.0587,10335
27,8006,3065.3338,7391
27,12225,2504.7297,7971
27,13872,4063.6006,7691
27,17792,1358.9458,14086
27,20891,4226.5226,8009
27,22899,3247.5669,9393
27,29006,4583.6246,7520
27,34872,258.4898,13663
27,41891,299.7013,14107
27,43899,1296.7542,7802
27,54225,4058.1628,8730
27,62891,4110.8882,11192
27,64899,689.2152,8297
27,76872,4354.2850,9725
27,85899,4332.3000,9247
27,101792,3281.1041,11095
27,106899,3579.4131,12505
27,125891,239.1740,13881
27,129899,4565.1778,8720
28,2230,4131.8588,10065
28,3547,2684.8680,13758
28,7500,4220.3478,9325
28,10221,1710.7433,9019
28,16639,1250.7328,13665
28,17562,4956.7317,9831
28,20630,3621.2877,10455
28,23230,1033.6065,13255
28,28500,3442.4494,7462
28,37639,2178.3304,10931
28,41630,1562.8826,9040
28,44230,361.6079,14490
28,52221,241.0858,9189
28,62630,4521.3741,13075
28,65230,3449.0954,11038
28,79639,4103.3090,7610
28,86230,365.6009,12154
28,101562,1795.5170,9113
28,107230,1414.3179,13589
28,125630,803.1133,11012
28,130230,4351.3022,11325
29,3032,2011.3048,11778
29,4041,2818.7333,13258
29,8693,635.4735,9621
29,9972,3210.8157,9849
29,15014,2543.9190,8905
29,17488,3905.0806,13521
29,20664,997.6027,14360
29,24032,967.0954,13484
29,29693,927.6628,8878
29,36014,1578.1950,13317
29,41664,4902.2068,12415
29,45032,763.5194,10212
29,51972,2131.3431,10953
29,62664,581.0302,8678
29,66032,2591.3096,10403
29,78014,4228.4588,12865
29,87032,4105.3501,10989
29,101488,1653.6838,7573
29,108032,2847.9236,10751
29,125664,4626.8786,11914
29,131032,502.7773,11805
30,186,2018.9155,11529
30,4826,4401.0510,12110
30,8931,3521.0849,12814
30,10155,1993.5167,12526
30,15276,4993.2016,12073
30,17798,337.7209,10178
30,21186,4294.4798,13149
30,29931,842.0787,9786
30,36276,3984.8819,10937
30,42186,705.7544,12489
30,52155,1111.3406,12624
30,63186,4560.8640,12469
30,78276,1237.9253,8097
30,84186,947.7482,13785
30,101798,573.8387,9182
30,105186,1310.8643,8576
30,126186,3642.9119,11923
30,127186,2645.7984,8374
30,128186,1319.9083,13746
31,16,4267.0119,9953
31,5934,1552.9470,10334
31,6465,1053.0308,9214
31,10126,2532.4733,12251
31,14673,4676.6509,10291
31,18008,3181.7177,14548
31,20663,3486.1779,13169
31,21016,4507.1388,11706
31,27465,1386.6119,12783
31,35673,4670.0410,9398
31,41663,606.9771,12737
31,42016,4178.5148,8965
31,52126,1903.8824,13095
31,62663,2291.1091,11698
31,63016,3292.6360,10114
31,77673,2052.2595,14424
31,84016,3477.1177,12262
31,102008,4397.7288,10898
31,105016,359.1149,8713
31,125663,2536.8788,10689
31,126016,4498.6796,12645
31,127016,1497.9690,7616
31,128016,2702.5647,10058
32,2440,4683.6180,13008
32,3595,880.0795,8854
32,7584,2101.6191,9595
32,10122,3088.6105,10290
32,13690,1144.8513,13769
32,17355,4694.4190,9137
32,23440,2476.7998,9862
32,28584,1907.2568,13449
32,34690,1427.7447,10174
32,44440,2205.8111,11817
32,52122,1986.1304,10769
32,65440,2258.2524,14138
32,76690,645.4243,11141
32,86440,992.6410,9555
32,101355,385.1491,13507
32,107440,4232.8608,8168
32,130440,4388.8939,7865
33,24,3606.0500,13878
33,2662,1226.3388,13157
33,7288,4721.0878,11349
33,10499,236.0663,13770
33,13623,3696.6235,10672
33,18714,2650.7671,7398
33,21024,320.1399,12054
33,28288,1712.3422,13055
33,34623,1360.7596,12622
33,42024,1520.2555,12329
33,52499,2824.9443,13858
33,63024,268.7901,8571
33,76623,2865.4753,13300
33,84024,3994.1436,13281
33,102714,706.2187,13580
33,105024,3626.1862,8398
33,126024,1866.8786,8012
33,127024,3099.5877,12855
33,128024,3721.5805,9780
34,211,3440.1485,10345
34,3427,3757.0762,12509
34,8513,4535.5018,7643
34,11415,1430.5689,14024
34,13749,1596.6999,9600
34,17746,4445.7188,7430
34,21211,1025.6497,10216
34,29513,4654.8936,11620
34,34749,2142.1787,8019
34,42211,4588.5898,7886
34,53415,3091.3837,14600
34,63211,2478.6369,10050
34,76749,483.3054,8327
34,84211,2030.2482,8809
34,101746,4646.0654,8031
34,105211,2137.8315,10085
34,126211,1850.4445,14595
34,127211,4657.7420,12288
34,128211,3336.9705,10386
35,388,2932.2499,9925
35,2773,1236.1836,13845
35,6909,678.8589,9487
35,12066,3404.0154,12244
35,16007,2833.3133,8503
35,18720,3434.3760,13060
35,21388,3308.5271,10168
35,27909,1893.5965,14445
35,37007,1352.6638,12777
35,42388,1578.2595,13412
35,54066,2726.5850,11454
35,63388,3911.6828,14154
35,79007,4440.1274,8064
35,84388,4447.5662,14218
35,102720,1654.8558,7851
35,105388,2424.7665,9383
35,126388,701.7315,8021
35,127388,628.4995,8426
35,128388,1874.8237,11932
36,1292,494.4961,7458
36,3763,3223.3812,11886
36,6709,3274.6365,7635
36,9952,2628.8663,10467
36,13829,4847.7112,10720
36,18144,608.8893,13077
36,22292,1090.5124,8849
36,27709,4024.5815,9979
36,34829,3882.8512,10856
36,43292,202.6806,10240
36,51952,634.4665,8590
36,64292,3150.4914,9546
36,76829,4169.6847,13794
36,85292,4373.3715,13219
36,102144,3261.5042,9345
36,106292,1648.4920,9473
36,129292,1265.9931,9205
37,386,2819.6102,10014
37,3141,4889.1178,14569
37,7153,3046.7404,9986
37,11242,1737.0520,10508
37,14142,305.5515,14187
37,17425,838.4657,11491
37,21386,4923.3435,11642
37,28153,2083.0727,12114
37,35142,2176.7589,8697
37,42386,3258.0236,9427
37,53242,2215.6614,13945
37,63386,662.5823,7996
37,77142,4328.2065,8683
37,84386,3561.1165,9167
37,101425,3650.7242,11298
37,105386,2839.3731,13313
37,126386,3464.4942,10363
37,127386,4580.1480,8680
37,128386,773.5765,7994
38,860,1660.7187,9331
38,3175,4737.4898,9282
38,7484,3684.0830,10626
38,10442,4015.6946,12400
38,14109,4669.6627,9077
38,17247,716.0516,11526
38,21860,2727.0935,8400
38,28484,1037.3903,14244
38,35109,2852.7751,12353
38,42860,2282.0071,9051
38,52442,3806.7817,7642
38,63860,913.3319,13453
38,77109,1268.8079,12430
38,84860,4628.3266,13712
38,101247,2795.5580,11576
38,105860,3447.2317,12634
38,126860,1592.2905,9309
38,127860,4265.0322,13428
38,128860,3026.0078,8206
39,2946,3589.3673,11361
39,3081,1184.7580,13925
39,7448,4536.3925,10822
39,10200,1206.5679,8213
39,14980,2245.3835,11208
39,17477,4261.6249,8517
39,24081,4384.1028,12357
39,28448,3232.4379,12215
39,35980,4639.7551,14683
39,45081,2977.2657,13984
39,52200,4396.7958,7399
39,66081,4217.1234,12201
39,77980,545.8712,7664
39,87081,3558.1105,12826
39,101477,516.0786,10209
39,108081,1270.7207,12598
39,131081,698.1500,12328
40,1482,3743.5266,11598
40,3588,2555.5329,7955
40,6589,1963.0035,7529
40,10161,1669.7954,10074
40,13887,1150.1964,7784
40,19257,2620.7254,12104
40,22482,1738.6001,11548
40,27589,1653.8659,14565
40,34887,239.6771,10891
40,43482,744.3990,8285
40,52161,2187.5208,13200
40,64482,3223.6520,14657
40,76887,4326.5344,8319
40,85482,3500.2242,9204
40,103257,2079.7947,12074
40,106482,956.6210,12889
40,129482,1694.0106,7561
41,424,3594.9735,12360
41,4450,4819.7472,11756
41,7068,4409.3990,12438
41,10095,3479.5501,14484
41,15274,3408.1996,13674
41,17375,1419.2312,8208
41,21424,4778.7049,12023
41,28068,2720.6801,10800
41,36274,4592.1164,8501
41,42424,4067.3963,13699
41,52095,3610.7425,12075
41,63424,275.0865,11023
41,78274,262.7775,14629
41,84424,3142.1738,8725
41,101375,2756.5606,10355
41,105424,3760.8881,13298
41,126424,2400.9175,9623
41,127424,1145.1450,8415
41,128424,4262.1581,12189
42,494,4358.8878,10632
42,5397,4661.8826,12898
42,7430,1034.6494,7827
42,15066,3050.8129,9277
42,15568,4333.2033,10623
42,17326,2026.7463,10547
42,21494,1458.5468,9698
42,28430,861.2123,10207
42,36066,3303.0932,13951
42,42494,4147.9691,10967
42,57568,2526.4441,14691
42,63494,4744.5368,7650
42,78066,1247.6150,12760
42,84494,2092.8748,8748
42,101326,318.7710,11735
42,105494,2625.5237,7807
42,126494,4612.7058,12132
42,127494,2107.9490,7592
42,128494,3471.6732,7924
43,1444,464.9360,7967
43,3553,861.1619,12851
43,6437,857.4840,9132
43,11739,1882.6933,12978
43,13462,1618.8723,11173
43,20856,822.9945,11312
43,22444,4254.8193,8335
43,27437,2341.1658,12330
43,34462,4978.8493,10882
43,43444,359.0763,10752
43,53739,1985.1014,8222
43,64444,1339.8035,13165
43,76462,367.2598,10233
43,85444,736.8238,8635
43,104856,2521.0288,14537
43,106444,4107.3045,8789
43,129444,1717.6461,13986
44,650,1964.1808,13161
44,3181,3566.3253,11205
44,6886,2980.1418,13664
44,10283,1930.8026,14208
44,13891,2149.8705,7423
44,17436,4208.8231,12426
44,21650,3800.2846,13252
44,27886,3587.2047,11938
44,34891,2278.6230,12080
44,42650,1459.0880,7983
44,52283,3012.2783,14231
44,63650,3842.5043,8526
44,76891,4472.8319,12564
44,84650,1285.6731,13940
44,101436,3917.9186,10244
44,105650,212.8934,11924
44,126650,4985.1440,13722
44,127650,1964.6869,14186
44,128650,3409.7432,12257
45,407,2790.6942,8991
45,4271,318.4474,11609
45,6650,4544.9612,11180
45,10136,2396.0180,10400
45,13932,4254.6460,13912
45,18268,342.5744,8656
45,21407,2759.8676,9455
45,27650,4324.0961,9098
45,34932,1956.8233,14301
45,42407,4323.4547,12185
45,52136,1484.7735,14082
45,63407,2834.0762,7660
45,76932,2559.6349,14031
45,84407,1587.0887,9171
45,102268,3973.6517,10228
45,105407,3265.0587,8481
45,126407,2061.2203,13218
45,127407,1136.1218,11797
45,128407,3007.0081,14228
46,502,427.9680,14461
46,2935,4471.3911,8375
46,7315,693.0151,9267
46,10247,4621.9900,13517
46,15550,438.2324,10237
46,18171,1589.7077,14209
46,21502,1143.3128,14567
46,28315,4356.5038,7384
46,36550,1817.4972,11142
46,42502,855.4816,11833
46,52247,1457.7345,8217
46,63502,4179.2636,9303
46,78550,2122.6428,10460
46,84502,4036.3884,8967
46,102171,4217.7590,9792
46,105502,2419.0344,9912
46,126502,4478.1240,9066
46,127502,1231.0521,10394
46,128502,4273.9030,10160
47,1377,2992.9307,8833
47,3368,573.5297,9670
47,6960,752.2471,13666
47,10265,1408.6564,13052
47,14322,2547.3292,8169
47,18465,3523.0202,9099
47,22377,1625.5944,13233
47,27960,2700.1571,10824
47,35322,2401.5358,7499
47,43377,4998.8242,9057
47,52265,847.2617,12707
47,64377,1027.7349,14359
47,77322,1095.6415,11317
47,85377,3506.7176,14331
47,102465,470.7907,8487
47,106377,2938.8320,7793
47,129377,4489.8332,11448
48,978,2679.9861,13904
48,2959,2717.6945,10476
48,6381,3267.8589,11358
48,12241,2572.7637,8734
48,14116,3983.0512,11108
48,18179,4269.3593,8318
48,21978,1286.5069,13365
48,27381,3178.1426,7836
48,35116,252.1699,12979
48,42978,2666.6353,12142
48,54241,3327.3398,14040
48,63978,1115.9037,11163
48,77116,4059.2332,14429
48,84978,1000.9295,9183
48,102179,731.0688,14502
48,105978,3296.4855,9807
48,126978,759.0029,7562
48,127978,2222.1180,7590
48,128978,3385.8814,10140
49,742,2713.0849,11928
49,2658,4230.1802,9580
49,8056,3171.4947,8241
49,10033,4111.2295,7721
49,14471,4830.4121,11278
49,17879,1648.7476,10670
49,20690,3116.0763,14588
49,21742,4693.0842,13739
49,29056,401.8985,8619
49,35471,2613.7222,9256
49,41690,4211.2974,8787
49,42742,3692.8046,7510
49,52033,549.7054,7608
49,62690,832.1226,8325
49,63742,2859.7342,10733
49,77471,562.9255,14551
49,84742,385.6643,10020
49,101879,2158.0515,13037
49,105742,1402.8176,11691
49,125690,2101.2263,8039
49,126742,3477.6396,12615
49,127742,2808.7821,7372
49,128742,1593.8967,9364
50,958,3717.2262,10156
50,3225,2087.8816,7509
50,7209,1494.0654,12062
50,10849,2688.7936,14530
50,13974,345.9918,7902
50,18435,4047.6574,11204
50,21958,1016.5676,8346
50,28209,4420.6267,7532
50,34974,2671.0882,9181
50,42958,1349.7609,14474
50,52849,1308.4156,14542
50,63958,4093.5660,8187
50,76974,2475.1691,8480
50,84958,4201.2432,10907
50,102435,3077.4732,7759
50,105958,3682.8453,9266
50,126958,2445.1456,10604
50,127958,3174.4606,9246
50,128958,2054.3279,7694
51,1807,4206.7880,10493
51,3519,969.7389,9649
51,7050,1241.3448,12625
51,10457,3660.3190,14434
51,14351,2450.7557,13251
51,18093,3056.0916,9097
51,22807,847.4662,8343
51,28050,1359.7960,9877
51,35351,4448.0092,10831
51,43807,4147.1797,8267
51,52457,4247.9103,8786
51,64807,1367.2083,13812
51,77351,4360.7373,9963
51,85807,4884.8059,10115
51,102093,2448.8471,13135
51,106807,336.3313,11327
51,129807,4631.8815,10988
52,459,1785.4893,9853
52,3545,1311.7346,9590
52,6672,3989.7112,14297
52,11044,3034.0336,8197
52,13699,3584.7013,11381
52,20955,3723.0583,9804
52,21459,2243.4332,14362
52,27672,2791.5121,12648
52,34699,2927.7357,12784
52,42459,4849.8469,13339
52,53044,4153.2833,12698
52,63459,2001.1872,7535
52,76699,3649.2429,11398
52,84459,1517.8439,13698
52,104955,4524.8310,12767
52,105459,2344.0574,11690
52,126459,724.3299,12935
52,127459,2974.6192,13901
52,128459,4557.8336,12656
