rentalNumber,rentalType,rentalDeposit,rentalStartingTime,rentalEndingTime,rentalBranchNumber,rentalRoomNumber,rentalBookingCustomerNum,rentalReservationNumber
33,M,3000,2017-05-20 17:30:05.440,2017-07-09 08:57:18.900,4,103,60,60
34,M,3000,2017-03-15 22:47:32.980,2017-06-01 06:20:45.940,10,304,198,198
35,M,3000,2017-04-15 05:44:05.140,2017-09-20 06:54:56.150,7,204,129,129
36,M,3000,2017-05-07 21:28:28.130,2017-09-19 10:43:37.680,8,205,153,153
37,M,3000,2017-04-13 02:16:24.140,2017-06-28 06:03:07.430,1,202,7,7
38,M,3000,2017-05-26 02:09:15.220,2017-08-31 23:45:49.950,4,305,77,77
39,M,3000,2017-06-26 11:03:36.680,2017-08-17 13:14:37.970,4,205,69,69
40,M,3000,2017-04-08 19:42:23.610,2017-05-10 17:17:30.300,10,205,192,192
41,M,3000,2017-04-19 01:42:26.860,2017-07-01 02:15:28.460,6,101,102,102
42,M,3000,2017-05-20 03:03:24.250,2017-06-19 03:13:37.490,8,105,144,144
43,M,3000,2017-02-14 10:56:35.940,2017-06-25 03:29:26.560,2,101,24,24
44,M,3000,2017-06-20 02:43:56.260,2017-07-26 18:58:51.390,3,205,55,55
45,M,3000,2017-03-01 03:56:47.490,2017-07-18 02:34:08.720,10,102,182,182
46,M,3000,2017-05-12 19:55:28.070,2017-09-04 13:32:59.700,9,102,159,159
47,M,3000,2017-04-07 16:39:10.090,2017-09-03 14:44:20.050,4,205,68,68
48,M,3000,2017-02-22 02:35:42.050,2017-04-16 12:35:27.190,5,206,92,92
49,M,3000,2017-06-20 22:01:16.230,2017-07-26 01:17:50.460,2,201,30,30
50,M,3000,2017-06-20 14:41:30.600,2017-07-30 17:01:33.590,3,103,45,45
51,M,3000,2017-04-16 17:38:10.940,2017-08-18 16:09:39.480,5,102,83,83
52,M,3000,2017-03-09 23:54:53.400,2017-07-24 07:27:44.810,8,106,144,144
53,M,3000,2017-04-30 06:28:47.210,2017-07-17 13:04:42.490,7,201,124,124
54,M,3000,2017-02-22 01:36:31.560,2017-05-15 05:09:01.990,5,304,98,98
55,M,3000,2017-02-26 13:52:31.000,2017-05-23 19:54:13.750,2,304,39,39
56,M,3000,2017-04-20 02:31:54.920,2017-09-19 03:05:55.820,9,303,176,176
57,M,3000,2017-05-28 19:06:11.040,2017-11-13 05:52:53.880,9,201,166,166
58,M,3000,2017-02-15 07:22:14.080,2017-05-23 19:53:10.110,8,201,148,148
59,M,3000,2017-03-19 01:59:18.290,2017-06-21 10:41:27.100,9,301,172,172
60,M,3000,2017-04-14 10:50:43.040,2017-06-27 22:30:22.010,8,101,136,136
61,M,3000,2017-02-13 01:06:16.620,2017-03-28 21:49:45.690,7,201,125,125
62,M,3000,2017-05-06 18:50:02.530,2017-08-15 07:37:09.590,3,103,44,44
63,M,3000,2017-06-30 03:25:35.840,2017-09-02 07:34:12.170,9,305,180,180
64,M,3000,2017-05-25 21:41:21.810,2017-07-07 01:15:05.640,10,101,180,180
65,M,3000,2017-02-08 15:17:05.860,2017-03-17 17:44:04.820,1,303,18,18
66,M,3000,2017-06-17 16:07:48.250,2017-09-14 22:37:31.660,9,203,168,168
67,M,3000,2017-05-16 02:49:13.590,2017-06-26 10:02:51.750,2,204,35,35
68,M,3000,2017-04-10 13:31:40.940,2017-05-28 17:24:20.230,7,204,129,129
69,M,3000,2017-04-10 15:49:39.370,2017-08-14 18:00:08.180,9,201,166,166
70,M,3000,2017-04-19 19:30:57.670,2017-06-15 14:33:31.280,3,103,44,44
71,M,3000,2017-03-17 20:58:56.450,2017-05-01 03:30:53.840,10,305,200,200
72,M,3000,2017-06-03 19:42:43.900,2017-09-27 11:26:16.820,5,303,97,97
73,M,3000,2017-02-27 18:07:38.120,2017-07-03 05:45:50.530,7,301,131,131
74,M,3000,2017-04-01 16:43:26.130,2017-09-09 15:56:49.800,8,106,144,144
75,M,3000,2017-03-29 17:52:32.170,2017-09-28 04:39:14.230,9,104,162,162
76,M,3000,2017-06-02 08:28:43.810,2017-10-12 06:36:41.070,1,305,21,21
77,M,3000,2017-03-13 00:23:22.690,2017-09-02 11:26:36.580,8,107,146,146
78,M,3000,2017-06-23 09:29:57.050,2017-07-24 16:15:08.950,8,106,144,144
79,M,3000,2017-03-29 03:35:55.620,2017-05-27 23:38:50.130,2,102,26,26
80,M,3000,2017-03-14 20:59:54.770,2017-06-28 12:08:11.280,10,102,182,182
81,M,3000,2017-02-27 18:43:27.180,2017-06-10 23:38:58.550,2,303,38,38
82,M,3000,2017-06-22 22:45:04.970,2017-11-21 08:56:11.400,5,302,96,96
83,M,3000,2017-03-14 10:36:44.940,2017-08-13 05:22:21.280,6,202,109,109
84,M,3000,2017-03-15 21:34:54.000,2017-06-19 08:45:32.590,4,203,66,66
85,M,3000,2017-06-06 15:39:32.350,2017-09-25 14:49:41.840,7,303,135,135
86,M,3000,2017-04-21 22:33:56.480,2017-07-29 23:35:27.570,5,301,94,94
87,M,3000,2017-02-12 00:39:03.680,2017-06-14 18:54:39.410,9,202,167,167
88,M,3000,2017-04-30 07:53:33.870,2017-09-27 19:48:16.900,9,104,162,162
89,M,3000,2017-02-19 00:55:01.980,2017-08-12 02:26:32.190,9,102,159,159
90,M,3000,2017-06-25 14:12:10.220,2017-07-31 14:49:00.330,8,205,153,153
91,M,3000,2017-06-09 13:22:17.100,2017-11-05 15:50:43.820,10,202,188,188
92,M,3000,2017-03-30 10:54:10.060,2017-09-08 02:09:57.330,4,103,59,59
93,M,3000,2017-04-10 16:09:56.930,2017-05-14 05:04:22.850,6,104,105,105
94,M,3000,2017-04-15 16:12:53.630,2017-09-23 06:44:15.960,7,302,133,133
95,M,3000,2017-03-28 10:36:06.990,2017-09-15 11:27:44.620,4,204,67,67
96,M,3000,2017-06-12 17:52:24.330,2017-11-15 05:38:18.870,4,102,58,58
97,M,3000,2017-05-20 10:37:48.420,2017-10-16 06:39:25.340,9,105,165,165
98,M,3000,2017-03-22 00:15:14.140,2017-07-18 13:14:20.920,3,103,45,45
99,M,3000,2017-06-13 03:26:50.390,2017-12-12 17:14:46.570,2,303,38,38
100,M,3000,2017-03-13 22:48:59.240,2017-06-01 14:56:37.050,1,301,14,14
101,M,3000,2017-06-27 04:06:14.490,2017-10-08 14:30:07.960,7,201,125,125
102,M,3000,2017-06-27 14:07:29.150,2017-11-05 08:19:59.820,8,102,139,139
103,M,3000,2017-05-13 21:46:02.690,2017-09-01 05:35:19.030,7,202,127,127
104,M,3000,2017-04-04 18:30:18.550,2017-09-13 02:44:19.170,10,201,186,186
105,M,3000,2017-05-07 09:42:34.140,2017-11-02 05:30:39.750,3,103,45,45
106,M,3000,2017-05-13 08:55:27.040,2017-06-20 15:43:22.660,10,201,186,186
107,M,3000,2017-02-11 21:47:15.270,2017-03-24 17:41:54.260,1,206,14,14
108,M,3000,2017-03-02 05:45:21.070,2017-06-10 13:07:52.680,10,101,181,181
109,M,3000,2017-05-25 18:43:59.390,2017-08-16 11:29:47.760,7,304,136,136
110,M,3000,2017-03-26 16:23:47.190,2017-08-11 00:17:32.680,1,304,19,19
111,M,3000,2017-03-11 18:08:32.230,2017-08-20 07:39:19.240,2,201,30,30
112,M,3000,2017-06-04 20:36:14.000,2017-11-19 00:37:44.930,1,306,22,22
113,M,3000,2017-05-19 14:46:18.470,2017-07-26 07:14:19.980,7,103,122,122
114,M,3000,2017-02-05 20:59:23.510,2017-07-27 14:33:15.820,10,204,191,191
115,M,3000,2017-03-19 08:07:15.860,2017-08-20 14:51:23.460,5,304,99,99
116,M,3000,2017-02-20 13:21:11.650,2017-05-06 23:53:34.290,2,201,30,30
117,M,3000,2017-03-27 00:13:17.590,2017-08-05 18:14:48.320,7,304,136,136
118,M,3000,2017-05-18 21:50:41.840,2017-10-17 14:48:39.580,6,302,114,114
119,M,3000,2017-06-18 17:01:49.460,2017-10-10 21:25:23.800,3,104,46,46
120,M,3000,2017-04-19 03:43:09.390,2017-08-18 05:08:37.260,7,104,124,124
121,M,3000,2017-06-07 07:28:44.560,2017-11-03 19:42:52.250,1,101,2,2
122,M,3000,2017-02-17 10:55:39.710,2017-05-02 06:14:34.840,4,302,73,73
123,M,3000,2017-03-24 04:36:38.960,2017-05-20 06:57:48.040,9,204,171,171
124,M,3000,2017-04-15 12:37:29.160,2017-08-13 14:11:07.850,1,206,13,13
125,M,3000,2017-05-10 17:08:40.570,2017-08-09 09:42:47.460,4,101,57,57
126,M,3000,2017-06-17 21:04:46.400,2017-08-22 12:20:56.520,8,104,141,141
127,M,3000,2017-03-27 19:32:46.970,2017-07-17 22:21:53.970,10,205,192,192
128,M,3000,2017-05-14 12:54:44.500,2017-10-09 10:01:34.590,10,304,198,198
129,M,3000,2017-02-05 22:07:19.140,2017-07-28 20:29:05.180,4,305,78,78
130,M,3000,2017-04-16 11:00:07.840,2017-06-12 10:00:55.360,6,104,105,105
131,M,3000,2017-02-14 13:50:55.380,2017-07-30 15:57:15.730,4,101,57,57
132,M,3000,2017-06-21 11:08:08.550,2017-09-14 09:12:15.650,6,101,102,102
133,M,3000,2017-02-11 22:03:06.650,2017-03-15 15:00:22.380,6,201,107,107
134,M,3000,2017-02-16 20:46:56.370,2017-07-30 00:42:13.080,1,205,12,12
135,M,3000,2017-03-18 03:53:40.290,2017-04-19 08:38:03.320,4,101,57,57
136,M,3000,2017-03-02 15:35:58.040,2017-08-05 02:18:58.750,5,305,100,100
137,M,3000,2017-03-13 16:59:02.280,2017-05-23 19:20:52.370,9,204,170,170
138,M,3000,2017-06-09 03:06:26.390,2017-11-29 13:38:02.110,7,104,123,123
139,M,3000,2017-05-08 22:52:19.860,2017-08-16 14:14:52.850,1,305,21,21
140,M,3000,2017-02-25 22:44:05.300,2017-06-08 15:06:19.170,8,202,149,149
141,M,3000,2017-04-11 16:46:41.210,2017-07-08 21:53:33.310,5,101,81,81
142,M,3000,2017-06-12 05:53:42.620,2017-08-03 16:46:46.730,10,202,187,187
143,M,3000,2017-06-05 00:09:34.490,2017-09-10 19:18:29.150,2,103,27,27
144,M,3000,2017-05-25 19:31:14.790,2017-07-31 13:08:59.500,8,103,140,140
145,M,3000,2017-05-18 12:03:37.980,2017-07-14 23:09:41.090,7,104,124,124
146,M,3000,2017-02-06 08:46:03.100,2017-07-21 07:12:58.900,9,202,167,167
147,M,3000,2017-05-11 07:07:51.590,2017-09-12 05:55:37.350,8,101,138,138
148,M,3000,2017-04-06 11:10:33.410,2017-05-21 06:31:07.020,6,302,114,114
149,M,3000,2017-03-01 00:05:37.770,2017-04-06 07:52:52.500,2,301,35,35
150,M,3000,2017-03-09 13:14:55.340,2017-07-13 03:34:10.330,2,302,37,37
151,M,3000,2017-04-20 09:39:06.740,2017-06-13 03:23:30.550,7,103,122,122
152,M,3000,2017-02-03 04:47:06.580,2017-08-02 07:50:45.760,3,202,51,51
153,M,3000,2017-04-02 18:13:24.680,2017-05-07 02:48:57.120,10,305,200,200
154,M,3000,2017-03-28 15:43:41.000,2017-06-28 04:06:09.300,6,302,114,114
155,M,3000,2017-04-06 02:20:14.690,2017-07-28 06:13:44.820,1,206,13,13
156,M,3000,2017-06-11 09:10:34.770,2017-08-10 00:15:33.100,3,204,53,53
157,M,3000,2017-05-08 01:30:50.190,2017-08-19 17:22:11.770,9,203,169,169
158,M,3000,2017-03-02 01:08:33.530,2017-08-22 07:24:11.190,6,302,114,114
159,M,3000,2017-05-25 12:21:37.980,2017-09-03 04:01:31.700,7,204,130,130
160,M,3000,2017-05-19 23:37:47.750,2017-10-10 04:09:43.230,6,103,104,104
161,M,3000,2017-03-20 05:22:40.060,2017-07-07 09:21:28.680,10,301,195,195
162,M,3000,2017-03-30 19:52:30.770,2017-06-14 18:40:19.670,1,302,16,16
163,M,3000,2017-02-25 23:38:01.930,2017-06-16 08:38:47.500,6,102,103,103
164,M,3000,2017-03-12 23:43:51.540,2017-05-07 17:28:52.380,2,202,32,32
165,M,3000,2017-03-13 18:32:51.800,2017-08-15 00:20:16.950,9,105,163,163
166,M,3000,2017-03-20 18:00:23.680,2017-07-05 09:27:03.590,7,204,129,129
167,M,3000,2017-05-25 14:33:07.340,2017-11-07 01:37:22.540,6,303,116,116
168,M,3000,2017-05-04 09:59:22.090,2017-07-30 22:32:06.900,6,204,111,111
169,M,3000,2017-05-21 04:05:43.230,2017-11-06 16:55:12.500,7,304,135,135
170,M,3000,2017-02-18 08:31:17.810,2017-08-19 04:32:24.710,10,305,199,199
171,M,3000,2017-06-09 07:22:09.370,2017-07-13 15:32:41.920,4,104,61,61
172,M,3000,2017-04-17 08:06:51.200,2017-09-05 15:36:46.210,1,206,13,13
173,M,3000,2017-02-11 14:58:21.980,2017-05-04 16:33:46.730,5,301,94,94
174,M,3000,2017-05-25 10:17:44.160,2017-07-05 22:19:04.630,5,303,97,97
175,M,3000,2017-02-09 02:56:28.180,2017-04-12 23:15:03.950,3,102,44,44
176,M,3000,2017-06-25 12:35:01.950,2017-10-30 13:56:05.520,1,301,15,15
177,M,3000,2017-03-14 21:46:05.230,2017-08-20 21:56:05.700,3,104,47,47
178,M,3000,2017-04-28 20:05:24.170,2017-10-19 04:48:48.540,2,202,31,31
179,M,3000,2017-05-28 11:33:51.180,2017-08-29 02:01:26.760,5,204,90,90
180,M,3000,2017-05-06 00:22:37.470,2017-08-22 18:29:48.570,5,205,91,91
181,M,3000,2017-03-11 05:56:54.800,2017-07-13 22:25:19.170,1,103,4,4
182,M,3000,2017-06-20 19:22:13.570,2017-09-26 02:50:46.950,4,306,78,78
183,M,3000,2017-04-17 04:49:06.730,2017-09-05 18:08:42.090,9,105,164,164
184,M,3000,2017-05-29 19:52:23.810,2017-08-15 03:54:54.860,3,101,41,41
185,M,3000,2017-06-26 12:21:01.110,2017-07-29 17:37:24.820,10,103,183,183
186,M,3000,2017-02-13 01:03:48.800,2017-08-01 00:06:29.970,1,201,6,6
187,M,3000,2017-04-22 08:54:43.870,2017-07-11 22:23:18.530,6,102,102,102
188,M,3000,2017-05-16 17:19:25.660,2017-09-16 21:54:13.090,10,301,193,193
189,M,3000,2017-05-13 05:26:41.690,2017-08-01 05:28:28.260,10,305,199,199
190,M,3000,2017-04-06 05:43:05.520,2017-09-08 19:22:30.220,1,103,4,4
191,M,3000,2017-04-25 01:05:07.850,2017-07-15 19:56:46.970,7,301,131,131
192,M,3000,2017-02-13 07:50:28.750,2017-05-05 03:56:41.190,4,101,56,56
193,M,3000,2017-02-16 06:44:48.400,2017-05-30 01:36:30.400,10,301,194,194
194,M,3000,2017-06-19 10:14:32.120,2017-11-05 21:05:09.630,6,304,118,118
195,M,3000,2017-06-08 04:21:25.240,2017-12-01 16:44:50.490,8,206,155,155
196,M,3000,2017-02-13 12:54:10.430,2017-03-27 19:13:13.620,4,203,65,65
197,M,3000,2017-05-18 22:15:40.680,2017-09-21 00:07:59.230,5,201,85,85
198,M,3000,2017-04-26 16:25:42.940,2017-07-07 17:49:36.760,10,302,195,195
199,M,3000,2017-04-15 16:58:22.990,2017-07-20 04:48:42.560,9,304,178,178
200,M,3000,2017-04-01 10:03:14.290,2017-08-13 05:42:37.490,10,302,195,195
201,M,3000,2018-06-11 05:51:53.560,2018-09-09 10:01:58.950,8,107,291,291
202,M,3000,2018-05-11 09:20:04.330,2018-11-03 19:06:54.210,9,105,327,327
203,M,3000,2018-05-09 06:54:57.200,2018-07-31 14:06:08.960,8,205,308,308
204,M,3000,2018-03-11 15:54:41.140,2018-06-21 09:22:38.090,6,204,224,224
205,M,3000,2018-02-15 19:13:20.320,2018-06-09 09:53:40.620,3,101,83,83
206,M,3000,2018-02-25 23:27:03.640,2018-04-02 16:21:24.280,6,204,224,224
207,M,3000,2018-06-07 00:28:03.700,2018-08-20 11:17:21.330,10,102,363,363
208,M,3000,2018-03-05 17:42:00.430,2018-07-23 11:21:18.350,5,204,177,177
209,M,3000,2018-02-16 08:59:05.080,2018-04-21 10:14:26.950,10,302,392,392
210,M,3000,2018-06-04 05:45:55.750,2018-08-02 16:47:17.210,3,205,110,110
211,M,3000,2018-04-27 20:15:39.140,2018-07-14 03:36:53.560,4,103,117,117
212,M,3000,2018-04-05 09:19:19.020,2018-06-05 08:00:10.640,5,301,187,187
213,M,3000,2018-05-22 20:19:13.920,2018-08-26 07:45:06.170,7,202,254,254
214,M,3000,2018-06-22 05:33:44.510,2018-10-01 08:55:04.330,5,301,188,188
215,M,3000,2018-02-25 05:59:25.800,2018-08-05 14:17:08.970,10,303,393,393
216,M,3000,2018-05-27 07:15:20.600,2018-08-25 17:34:01.290,1,202,13,13
217,M,3000,2018-04-29 10:51:59.120,2018-05-30 00:12:06.770,9,301,345,345
218,M,3000,2018-02-23 18:11:14.800,2018-07-21 08:00:28.510,10,305,399,399
219,M,3000,2018-06-06 20:25:49.740,2018-11-16 17:14:20.100,7,304,271,271
220,M,3000,2018-06-14 03:34:59.040,2018-08-25 14:54:42.700,4,202,126,126
221,M,3000,2018-04-22 00:32:08.060,2018-08-31 22:50:18.570,9,105,327,327
222,M,3000,2018-03-25 19:19:58.630,2018-07-24 22:56:03.130,9,204,340,340
223,M,3000,2018-06-13 01:13:53.300,2018-07-21 00:14:00.340,10,304,397,397
224,M,3000,2018-04-25 15:32:43.110,2018-10-11 10:12:58.850,1,202,14,14
225,M,3000,2018-06-23 00:55:22.850,2018-07-30 09:41:10.980,8,103,280,280
226,M,3000,2018-05-03 19:22:37.280,2018-07-11 22:23:18.610,6,104,211,211
227,M,3000,2018-02-14 14:20:47.020,2018-08-08 10:31:38.600,10,202,374,374
228,M,3000,2018-03-04 21:38:01.160,2018-08-08 19:40:11.730,8,102,276,276
229,M,3000,2018-03-06 01:16:24.590,2018-06-19 14:47:06.180,6,203,219,219
230,M,3000,2018-03-23 22:17:43.280,2018-05-14 19:59:21.310,1,302,33,33
231,M,3000,2018-05-28 06:28:49.880,2018-07-19 15:03:12.370,2,303,75,75
232,M,3000,2018-05-10 15:07:50.890,2018-10-28 15:59:21.900,5,205,182,182
233,M,3000,2018-05-20 17:30:05.440,2018-07-09 08:57:18.900,4,103,119,119
234,M,3000,2018-03-15 22:47:32.980,2018-06-01 06:20:45.940,10,304,396,396
235,M,3000,2018-04-15 05:44:05.140,2018-09-20 06:54:56.150,7,204,258,258
236,M,3000,2018-05-07 21:28:28.130,2018-09-19 10:43:37.680,8,205,306,306
237,M,3000,2018-04-13 02:16:24.140,2018-06-28 06:03:07.430,1,202,13,13
238,M,3000,2018-05-26 02:09:15.220,2018-08-31 23:45:49.950,4,305,153,153
239,M,3000,2018-06-26 11:03:36.680,2018-08-17 13:14:37.970,4,205,138,138
240,M,3000,2018-04-08 19:42:23.610,2018-05-10 17:17:30.300,10,205,383,383
241,M,3000,2018-04-19 01:42:26.860,2018-07-01 02:15:28.460,6,101,203,203
242,M,3000,2018-05-20 03:03:24.250,2018-06-19 03:13:37.490,8,105,287,287
243,M,3000,2018-02-14 10:56:35.940,2018-06-25 03:29:26.560,2,101,48,48
244,M,3000,2018-06-20 02:43:56.260,2018-07-26 18:58:51.390,3,205,110,110
245,M,3000,2018-03-01 03:56:47.490,2018-07-18 02:34:08.720,10,102,363,363
246,M,3000,2018-05-12 19:55:28.070,2018-09-04 13:32:59.700,9,102,318,318
247,M,3000,2018-04-07 16:39:10.090,2018-09-03 14:44:20.050,4,205,135,135
248,M,3000,2018-02-22 02:35:42.050,2018-04-16 12:35:27.190,5,206,183,183
249,M,3000,2018-06-20 22:01:16.230,2018-07-26 01:17:50.460,2,201,59,59
250,M,3000,2018-06-20 14:41:30.600,2018-07-30 17:01:33.590,3,103,89,89
251,M,3000,2018-04-16 17:38:10.940,2018-08-18 16:09:39.480,5,102,165,165
252,M,3000,2018-03-09 23:54:53.400,2018-07-24 07:27:44.810,8,106,288,288
253,M,3000,2018-04-30 06:28:47.210,2018-07-17 13:04:42.490,7,201,248,248
254,M,3000,2018-02-22 01:36:31.560,2018-05-15 05:09:01.990,5,304,196,196
255,M,3000,2018-02-26 13:52:31.000,2018-05-23 19:54:13.750,2,304,78,78
256,M,3000,2018-04-20 02:31:54.920,2018-09-19 03:05:55.820,9,303,352,352
257,M,3000,2018-05-28 19:06:11.040,2018-11-13 05:52:53.880,9,201,331,331
258,M,3000,2018-02-15 07:22:14.080,2018-05-23 19:53:10.110,8,201,295,295
259,M,3000,2018-03-19 01:59:18.290,2018-06-21 10:41:27.100,9,301,344,344
260,M,3000,2018-04-14 10:50:43.040,2018-06-27 22:30:22.010,8,101,272,272
261,M,3000,2018-02-13 01:06:16.620,2018-03-28 21:49:45.690,7,201,250,250
262,M,3000,2018-05-06 18:50:02.530,2018-08-15 07:37:09.590,3,103,88,88
263,M,3000,2018-06-30 03:25:35.840,2018-09-02 07:34:12.170,9,305,359,359
264,M,3000,2018-05-25 21:41:21.810,2018-07-07 01:15:05.640,10,101,359,359
265,M,3000,2018-02-08 15:17:05.860,2018-03-17 17:44:04.820,1,303,35,35
266,M,3000,2018-06-17 16:07:48.250,2018-09-14 22:37:31.660,9,203,336,336
267,M,3000,2018-05-16 02:49:13.590,2018-06-26 10:02:51.750,2,204,69,69
268,M,3000,2018-04-10 13:31:40.940,2018-05-28 17:24:20.230,7,204,258,258
269,M,3000,2018-04-10 15:49:39.370,2018-08-14 18:00:08.180,9,201,331,331
270,M,3000,2018-04-19 19:30:57.670,2018-06-15 14:33:31.280,3,103,88,88
271,M,3000,2018-03-17 20:58:56.450,2018-05-01 03:30:53.840,10,305,400,400
272,M,3000,2018-06-03 19:42:43.900,2018-09-27 11:26:16.820,5,303,193,193
273,M,3000,2018-02-27 18:07:38.120,2018-07-03 05:45:50.530,7,301,261,261
274,M,3000,2018-04-01 16:43:26.130,2018-09-09 15:56:49.800,8,106,288,288
275,M,3000,2018-03-29 17:52:32.170,2018-09-28 04:39:14.230,9,104,324,324
276,M,3000,2018-06-02 08:28:43.810,2018-10-12 06:36:41.070,1,305,41,41
277,M,3000,2018-03-13 00:23:22.690,2018-09-02 11:26:36.580,8,107,292,292
278,M,3000,2018-06-23 09:29:57.050,2018-07-24 16:15:08.950,8,106,288,288
279,M,3000,2018-03-29 03:35:55.620,2018-05-27 23:38:50.130,2,102,51,51
280,M,3000,2018-03-14 20:59:54.770,2018-06-28 12:08:11.280,10,102,363,363
281,M,3000,2018-02-27 18:43:27.180,2018-06-10 23:38:58.550,2,303,76,76
282,M,3000,2018-06-22 22:45:04.970,2018-11-21 08:56:11.400,5,302,191,191
283,M,3000,2018-03-14 10:36:44.940,2018-08-13 05:22:21.280,6,202,217,217
284,M,3000,2018-03-15 21:34:54.000,2018-06-19 08:45:32.590,4,203,131,131
285,M,3000,2018-06-06 15:39:32.350,2018-09-25 14:49:41.840,7,303,269,269
286,M,3000,2018-04-21 22:33:56.480,2018-07-29 23:35:27.570,5,301,188,188
287,M,3000,2018-02-12 00:39:03.680,2018-06-14 18:54:39.410,9,202,334,334
288,M,3000,2018-04-30 07:53:33.870,2018-09-27 19:48:16.900,9,104,324,324
289,M,3000,2018-02-19 00:55:01.980,2018-08-12 02:26:32.190,9,102,318,318
290,M,3000,2018-06-25 14:12:10.220,2018-07-31 14:49:00.330,8,205,306,306
291,M,3000,2018-06-09 13:22:17.100,2018-11-05 15:50:43.820,10,202,376,376
292,M,3000,2018-03-30 10:54:10.060,2018-09-08 02:09:57.330,4,103,118,118
293,M,3000,2018-04-10 16:09:56.930,2018-05-14 05:04:22.850,6,104,210,210
294,M,3000,2018-04-15 16:12:53.630,2018-09-23 06:44:15.960,7,302,266,266
295,M,3000,2018-03-28 10:36:06.990,2018-09-15 11:27:44.620,4,204,134,134
296,M,3000,2018-06-12 17:52:24.330,2018-11-15 05:38:18.870,4,102,115,115
297,M,3000,2018-05-20 10:37:48.420,2018-10-16 06:39:25.340,9,105,329,329
298,M,3000,2018-03-22 00:15:14.140,2018-07-18 13:14:20.920,3,103,90,90
299,M,3000,2018-06-13 03:26:50.390,2018-12-12 17:14:46.570,2,303,75,75
300,M,3000,2018-03-13 22:48:59.240,2018-06-01 14:56:37.050,1,301,28,28
301,M,3000,2018-06-27 04:06:14.490,2018-10-08 14:30:07.960,7,201,250,250
302,M,3000,2018-06-27 14:07:29.150,2018-11-05 08:19:59.820,8,102,278,278
303,M,3000,2018-05-13 21:46:02.690,2018-09-01 05:35:19.030,7,202,253,253
304,M,3000,2018-04-04 18:30:18.550,2018-09-13 02:44:19.170,10,201,372,372
305,M,3000,2018-05-07 09:42:34.140,2018-11-02 05:30:39.750,3,103,89,89
306,M,3000,2018-05-13 08:55:27.040,2018-06-20 15:43:22.660,10,201,372,372
307,M,3000,2018-02-11 21:47:15.270,2018-03-24 17:41:54.260,1,206,27,27
