recordInventoryEntryNumber,recordEmployeeNum,entryRecordTimestamp
132,7,2019-07-16 09:40:51.900
133,7,2018-07-25 18:07:30.450
134,7,2018-11-21 12:18:51.640
135,7,2017-11-16 16:00:57.270
136,7,2019-02-01 16:50:11.270
137,7,2019-12-01 03:16:50.690
138,7,2018-07-18 14:36:32.180
139,7,2019-07-22 07:20:10.390
140,7,2017-05-06 21:46:12.120
141,8,2019-05-08 10:01:29.220
142,8,2017-09-16 00:35:34.680
143,8,2017-11-15 22:11:09.950
144,8,2019-08-20 16:23:06.810
145,8,2019-03-20 03:12:33.160
146,8,2017-12-05 00:39:57.020
147,8,2018-02-21 08:30:21.120
148,8,2018-11-20 03:39:22.450
149,8,2018-10-01 19:19:02.340
150,8,2019-11-02 15:43:10.920
151,8,2018-09-22 19:41:56.200
152,8,2017-11-20 22:53:58.660
153,8,2019-07-08 18:48:05.360
154,8,2018-09-22 21:43:48.260
155,8,2017-07-16 11:47:26.720
156,8,2018-08-23 14:54:28.110
157,8,2018-03-07 08:28:24.460
158,8,2017-10-24 11:50:51.720
159,8,2018-12-05 12:38:53.590
160,8,2019-11-28 20:43:12.860
161,9,2019-11-10 00:13:20.400
162,9,2019-05-16 10:01:58.730
163,9,2018-07-10 11:25:24.780
164,9,2018-07-07 00:49:46.290
165,9,2018-10-23 01:49:56.170
166,9,2018-09-22 09:50:34.660
167,9,2018-05-17 17:52:11.450
168,9,2018-12-06 04:24:04.260
169,9,2017-09-11 03:56:33.590
170,9,2017-11-12 10:55:19.490
171,9,2017-08-07 23:57:15.690
172,9,2017-11-14 02:16:29.980
173,9,2017-02-15 04:19:41.660
174,9,2019-12-24 11:51:32.510
175,9,2017-05-23 12:13:02.220
176,9,2018-12-01 12:24:31.230
177,9,2018-02-25 22:56:57.360
178,9,2019-02-28 04:03:30.740
179,9,2019-11-09 15:12:53.830
180,9,2017-01-10 23:32:00.620
181,10,2018-04-28 00:11:07.750
182,10,2018-08-30 20:15:16.560
183,10,2019-03-02 09:10:03.200
184,10,2018-04-01 21:51:54.820
185,10,2019-03-15 05:17:50.070
186,10,2017-01-25 19:08:42.540
187,10,2019-11-26 23:48:43.210
188,10,2019-11-08 23:35:00.700
189,10,2017-11-18 07:37:56.440
190,10,2017-04-01 23:29:11.910
191,10,2017-05-20 06:05:34.510
192,10,2017-12-25 16:17:17.550
193,10,2018-02-06 20:50:02.490
194,10,2018-06-24 17:51:38.180
195,10,2018-08-22 16:04:38.520
196,10,2017-08-29 08:12:28.730
197,10,2019-11-16 15:49:35.530
198,10,2019-05-25 09:09:09.890
199,10,2018-08-07 10:03:45.530
200,10,2019-09-12 05:25:10.650
201,11,2017-04-22 23:15:18.840
202,11,2019-05-24 09:30:28.680
203,11,2018-04-01 03:55:08.080
204,11,2018-09-11 23:19:35.470
205,11,2017-10-19 06:22:01.540
206,11,2019-12-01 07:32:50.160
207,11,2019-05-13 03:21:04.730
208,11,2019-09-16 22:15:08.430
209,11,2019-03-14 23:12:05.080
210,11,2018-08-02 08:01:26.930
211,11,2017-01-25 17:04:02.600
212,11,2017-11-27 18:30:23.310
213,11,2019-01-01 07:21:27.910
214,11,2019-12-07 17:35:09.280
215,11,2017-07-07 05:05:39.830
216,11,2017-01-24 06:54:27.220
217,11,2018-11-20 00:37:12.990
218,11,2019-05-28 07:57:14.350
219,11,2019-06-24 23:00:58.450
220,11,2017-06-12 13:22:25.100
221,12,2019-02-11 05:49:23.760
222,12,2019-02-12 09:23:11.150
223,12,2018-07-09 13:43:38.380
224,12,2019-03-01 11:22:17.310
225,12,2019-06-15 20:55:17.520
226,12,2019-11-24 21:54:39.320
227,12,2018-11-27 13:03:26.590
228,12,2019-12-21 03:27:13.900
229,12,2018-11-05 22:21:42.070
230,12,2017-05-21 08:19:33.930
231,12,2018-08-02 19:26:34.440
232,12,2019-02-26 23:38:28.550
233,12,2019-01-01 08:41:27.330
234,12,2018-04-20 08:02:45.610
235,12,2017-05-01 13:48:50.090
236,12,2018-12-23 12:27:17.370
237,12,2018-02-04 17:12:13.760
238,12,2017-11-29 10:09:56.900
239,12,2017-07-03 09:47:30.480
240,12,2017-06-20 11:50:44.630
241,13,2018-10-22 02:58:30.560
242,13,2019-12-18 23:24:00.900
243,13,2019-09-16 01:55:03.570
244,13,2018-05-09 01:18:28.790
245,13,2018-11-10 19:16:36.440
246,13,2018-07-25 04:26:45.990
247,13,2019-05-24 18:21:07.250
248,13,2018-06-03 12:44:39.290
249,13,2017-07-18 20:15:07.440
250,13,2019-02-17 11:54:48.490
251,13,2017-12-17 06:51:41.860
252,13,2018-09-23 11:23:27.620
253,13,2019-07-14 00:50:18.530
254,13,2017-09-24 12:35:19.520
255,13,2019-01-31 07:50:37.210
256,13,2019-01-09 04:00:06.120
257,13,2017-06-21 00:55:42.300
258,13,2017-12-28 13:29:34.710
259,13,2017-10-15 10:05:26.830
260,13,2018-12-06 23:12:28.700
261,14,2017-04-15 10:41:02.390
262,14,2018-06-18 09:15:23.370
263,14,2018-12-12 07:13:42.230
264,14,2018-10-02 23:59:38.070
265,14,2019-11-14 02:17:26.180
266,14,2019-05-04 01:59:25.410
267,14,2018-03-19 20:27:20.850
268,14,2018-02-10 05:16:02.620
269,14,2017-07-14 05:23:20.930
270,14,2019-04-20 11:49:16.870
271,14,2018-07-23 01:33:05.540
272,14,2017-05-21 00:03:06.960
273,14,2019-03-15 08:57:22.960
274,14,2017-09-25 16:59:31.270
275,14,2019-06-13 11:15:59.580
276,14,2018-11-17 04:04:31.780
277,14,2019-08-29 00:40:49.620
278,14,2017-06-17 19:31:05.000
279,14,2019-06-10 09:55:10.880
280,14,2019-02-02 10:26:20.280
281,15,2019-05-02 09:33:21.150
282,15,2019-11-04 14:14:14.680
283,15,2017-07-31 21:01:58.330
284,15,2018-01-23 11:44:47.820
285,15,2018-10-05 02:35:08.110
286,15,2019-05-02 12:42:51.000
287,15,2018-06-03 23:41:18.420
288,15,2017-01-07 03:19:15.240
289,15,2018-04-09 22:51:31.240
290,15,2019-02-02 19:16:01.210
291,15,2018-10-14 12:40:19.740
292,15,2019-09-03 19:47:21.060
293,15,2018-10-21 15:38:22.440
294,15,2017-02-05 13:41:24.890
295,15,2018-08-26 20:38:10.480
296,15,2019-02-21 16:06:46.480
297,15,2018-08-26 05:19:04.780
298,15,2017-02-01 10:07:01.650
299,15,2018-09-29 17:27:46.240
300,15,2018-07-26 07:33:42.380
301,16,2017-01-16 09:25:58.950
302,16,2017-11-16 09:51:35.700
303,16,2017-08-23 12:29:28.780
304,16,2019-11-04 09:16:26.300
305,16,2018-02-22 23:08:24.080
306,16,2018-09-03 13:37:17.590
307,16,2017-11-01 06:46:33.200
308,16,2018-11-30 07:39:57.430
309,16,2019-08-19 08:02:39.800
310,16,2017-12-22 05:50:35.030
311,16,2018-05-05 14:08:04.520
312,16,2019-12-13 03:26:54.260
313,16,2018-12-06 10:37:44.300
314,16,2018-04-29 08:44:37.270
315,16,2018-08-05 18:19:03.470
316,16,2019-04-06 21:00:29.800
317,16,2019-10-21 06:27:22.870
318,16,2019-06-07 05:16:05.700
319,16,2018-01-22 04:16:51.200
320,16,2019-11-28 16:28:53.720
321,17,2017-07-18 16:12:58.210
322,17,2018-05-28 21:00:23.880
323,17,2017-03-27 00:03:22.150
324,17,2019-06-27 05:06:32.420
325,17,2018-08-16 15:19:35.410
326,17,2017-05-28 23:06:49.140
327,17,2018-03-23 18:58:35.650
328,17,2018-04-03 23:50:41.440
329,17,2019-12-03 06:02:26.890
330,17,2018-07-19 04:50:59.370
331,17,2019-02-12 20:36:56.300
332,17,2017-11-14 00:10:40.900
333,17,2017-12-14 08:36:52.400
334,17,2018-09-20 15:26:10.830
335,17,2019-03-17 12:45:41.730
336,17,2018-02-23 06:18:53.770
337,17,2019-10-13 19:46:00.920
338,17,2018-05-18 16:15:34.880
339,17,2018-11-18 07:31:50.890
340,17,2019-05-09 19:48:08.380
341,18,2017-10-28 16:43:05.800
342,18,2017-07-16 20:14:49.250
343,18,2018-12-04 07:10:44.850
344,18,2018-05-20 04:03:05.610
345,18,2017-06-26 18:22:19.680
346,18,2019-01-07 06:12:15.280
347,18,2017-07-06 14:23:38.170
348,18,2017-04-24 14:31:10.240
349,18,2019-12-17 05:27:26.930
350,18,2017-01-15 17:00:36.360
351,18,2019-05-20 16:01:26.300
352,18,2017-11-05 03:05:21.400
353,18,2018-04-04 15:28:44.700
354,18,2017-03-31 22:14:48.530
355,18,2017-12-14 16:34:16.100
356,18,2019-06-19 15:44:09.220
357,18,2018-12-02 23:05:57.520
358,18,2017-06-15 22:40:10.480
359,18,2018-12-28 23:59:54.620
360,18,2019-11-28 17:42:46.490
361,19,2019-02-17 12:16:56.930
362,19,2018-11-09 08:00:23.150
363,19,2017-01-21 15:49:11.160
364,19,2018-03-23 15:42:27.130
365,19,2018-04-16 02:42:57.460
366,19,2018-06-26 14:36:37.950
367,19,2019-10-02 06:59:13.270
368,19,2017-03-23 13:28:46.690
369,19,2018-12-11 19:40:48.050
370,19,2017-03-31 17:55:16.570
371,19,2019-03-05 18:21:53.510
372,19,2018-05-11 21:54:23.100
373,19,2018-12-29 22:02:38.570
374,19,2017-08-16 06:30:39.570
375,19,2017-04-02 00:49:37.870
376,19,2017-10-11 08:17:07.320
377,19,2019-08-28 11:43:30.230
378,19,2018-01-06 11:01:18.440
379,19,2019-02-11 14:36:35.020
380,19,2019-08-13 05:49:14.070
381,20,2019-09-18 05:18:56.760
382,20,2019-06-22 00:39:36.690
383,20,2018-09-27 16:42:09.320
384,20,2017-10-13 03:08:04.450
385,20,2017-04-18 15:40:37.970
386,20,2019-07-28 00:49:12.180
387,20,2017-04-10 19:56:19.420
388,20,2017-06-13 17:12:58.150
389,20,2018-01-14 23:15:25.900
390,20,2018-09-02 23:28:27.870
391,20,2017-06-10 23:06:56.940
392,20,2018-08-21 07:57:51.090
393,20,2019-06-06 18:07:23.360
394,20,2018-04-03 21:29:21.320
395,20,2019-11-22 23:13:56.020
396,20,2017-11-25 00:10:19.940
397,20,2019-05-18 03:04:43.730
398,20,2019-02-09 07:31:30.490
399,20,2017-09-20 15:20:03.080
400,20,2017-08-04 12:29:00.140
401,21,2019-01-28 04:06:30.260
402,21,2017-11-25 15:05:32.520
403,21,2019-05-27 16:26:43.490
404,21,2018-10-07 14:35:48.980
405,21,2017-09-04 01:59:06.320
406,21,2019-04-11 05:28:14.370
407,21,2019-07-23 15:24:08.100
408,21,2017-04-10 04:50:43.870
409,21,2018-09-13 21:57:52.600
410,21,2019-11-19 00:46:08.410
411,21,2019-04-24 09:52:34.800
412,21,2017-10-07 16:47:09.470
413,21,2017-02-05 22:22:43.840
414,21,2018-12-16 05:36:35.100
415,21,2019-04-08 10:50:03.340
416,21,2018-02-23 19:48:36.790
417,21,2017-03-27 04:36:03.640
418,21,2017-07-08 12:00:17.970
419,21,2017-08-06 14:08:05.490
420,21,2017-01-20 00:01:22.050
421,22,2017-12-23 18:01:50.710
422,22,2017-10-22 23:43:35.990
423,22,2019-01-03 23:55:44.490
424,22,2019-10-25 13:55:46.310
425,22,2018-02-26 22:24:30.910
426,22,2018-12-21 19:48:30.120
427,22,2018-12-11 16:08:57.220
428,22,2018-12-14 07:51:39.250
429,22,2019-03-27 02:51:32.880
430,22,2019-06-13 05:08:10.000
431,22,2019-04-16 04:28:31.140
432,22,2018-10-15 21:26:45.060
433,22,2018-06-09 22:09:34.410
434,22,2019-01-16 11:37:49.910
435,22,2018-06-08 01:06:14.490
436,22,2017-11-01 15:56:02.760
437,22,2018-09-15 06:50:08.420
438,22,2018-12-25 13:03:30.330
439,22,2019-09-02 04:06:28.600
440,22,2018-11-09 10:39:20.040
441,23,2017-05-23 12:47:24.740
442,23,2019-09-16 10:59:32.120
443,23,2017-01-22 16:28:55.880
444,23,2017-01-08 03:52:00.190
445,23,2018-06-14 19:30:21.820
446,23,2019-11-19 05:13:40.630
447,23,2019-10-22 09:27:56.610
448,23,2019-06-28 17:55:15.660
449,23,2017-11-25 07:31:26.710
450,23,2018-11-03 21:34:28.680
451,23,2017-11-08 14:14:46.620
452,23,2019-09-02 04:12:34.850
453,23,2018-06-06 12:11:26.580
454,23,2018-12-17 04:27:15.400
455,23,2019-12-02 07:32:46.160
456,23,2017-08-18 11:49:53.690
457,23,2018-05-14 15:20:12.030
458,23,2018-11-11 11:15:35.860
459,23,2018-03-14 11:25:25.530
460,23,2019-02-23 23:34:42.130
461,24,2017-12-30 06:11:07.120
462,24,2018-03-14 13:23:46.800
463,24,2019-07-21 16:32:02.040
464,24,2018-11-16 05:58:22.450
465,24,2017-11-04 11:12:08.190
466,24,2018-06-08 15:26:39.020
467,24,2018-08-25 18:24:31.760
468,24,2017-09-04 02:04:17.350
469,24,2018-02-07 17:41:45.060
470,24,2018-08-03 17:02:02.880
471,24,2019-08-27 09:32:56.110
472,24,2019-07-03 22:07:54.440
473,24,2018-03-01 00:30:16.900
474,24,2018-11-19 23:24:03.120
475,24,2019-07-16 23:13:03.030
476,24,2017-03-06 13:01:32.580
477,24,2019-06-14 02:49:04.330
478,24,2018-11-21 08:22:48.260
479,24,2017-07-29 10:17:26.440
480,24,2019-07-22 03:43:54.940
481,25,2019-12-09 22:27:23.250
482,25,2019-11-26 01:19:13.270
483,25,2019-10-10 17:51:33.480
484,25,2017-10-20 11:43:38.420
485,25,2017-01-07 08:02:59.270
486,25,2017-05-08 23:40:30.660
487,25,2019-07-12 21:25:03.560
488,25,2018-08-13 22:26:42.880
489,25,2017-09-07 10:20:01.480
490,25,2019-10-03 14:14:09.480
491,25,2017-07-10 12:07:06.010
492,25,2019-02-04 19:18:49.380
493,25,2017-05-12 04:06:25.920
494,25,2019-11-29 18:30:57.400
495,25,2017-02-07 22:16:23.670
496,25,2019-10-20 17:41:47.650
497,25,2017-04-08 15:00:18.180
498,25,2018-04-29 18:28:38.740
499,25,2017-01-23 12:36:28.150
500,25,2018-02-24 14:49:40.620
501,26,2019-09-23 06:51:09.610
502,26,2019-04-08 11:14:08.120
503,26,2018-07-16 20:41:58.670
504,26,2017-08-11 20:59:41.950
505,26,2017-09-21 04:03:41.090
506,26,2017-11-26 06:42:16.870
507,26,2019-10-14 01:36:39.180
508,26,2018-06-16 08:21:23.060
509,26,2019-05-13 12:12:06.330
510,26,2018-03-06 01:47:40.100
511,26,2017-06-08 20:36:24.280
512,26,2017-08-22 23:34:11.260
513,26,2019-07-30 10:03:12.610
514,26,2019-04-17 17:11:23.090
515,26,2017-10-31 04:05:20.640
516,26,2019-10-27 05:00:09.690
517,26,2019-11-22 22:37:42.780
518,26,2018-10-04 20:24:15.910
519,26,2019-10-24 12:46:56.980
520,26,2018-03-16 21:07:29.150
521,27,2018-02-16 21:47:37.860
522,27,2017-05-06 22:32:10.730
523,27,2017-05-22 18:26:17.880
524,27,2017-04-05 19:52:18.840
525,27,2017-01-12 05:15:12.860
526,27,2019-02-07 18:29:09.830
527,27,2018-08-13 07:44:46.800
528,27,2019-09-02 03:11:27.830
529,27,2019-03-08 10:43:26.480
530,27,2017-04-05 08:18:09.960
531,27,2018-06-05 00:40:06.640
532,27,2019-04-07 15:04:56.890
533,27,2018-05-23 20:31:35.890
534,27,2018-02-02 07:23:55.060
535,27,2018-12-24 06:16:37.970
536,27,2017-10-04 22:16:32.160
537,27,2018-03-28 05:05:35.190
538,27,2018-04-24 16:16:53.010
539,27,2019-08-16 07:31:08.650
540,27,2018-08-25 15:15:52.180
541,28,2018-06-01 14:15:43.660
542,28,2019-01-05 05:58:11.370
543,28,2017-03-31 21:30:51.000
544,28,2017-10-14 08:20:48.170
545,28,2019-12-28 01:18:36.490
546,28,2019-09-18 18:47:58.600
547,28,2019-07-06 00:30:00.300
548,28,2019-11-10 15:53:12.590
549,28,2018-02-09 04:25:24.050
550,28,2018-11-24 20:51:05.170
551,28,2017-11-27 01:47:37.070
552,28,2017-09-17 04:45:58.950
553,28,2017-06-22 05:27:13.550
554,28,2017-08-31 03:14:57.130
555,28,2019-10-03 03:09:27.100
556,28,2017-03-24 01:09:08.630
557,28,2017-11-30 17:15:00.370
558,28,2019-09-25 13:47:34.300
559,28,2017-10-10 13:51:39.920
560,28,2017-05-19 04:19:52.240
561,29,2019-10-25 19:43:23.170
562,29,2018-06-16 05:01:51.970
563,29,2019-09-16 23:36:09.220
564,29,2017-12-13 00:16:57.550
565,29,2018-11-12 22:35:00.760
566,29,2019-07-12 06:03:06.520
567,29,2018-02-07 13:04:54.310
568,29,2018-10-23 14:23:40.090
569,29,2017-02-22 00:05:57.690
570,29,2017-02-26 16:52:06.440
571,29,2019-12-15 03:18:55.690
572,29,2018-01-22 16:20:15.790
573,29,2018-03-13 21:47:38.200
574,29,2019-02-02 21:59:30.560
575,29,2018-05-12 13:51:03.940
576,29,2018-03-01 06:01:33.710
577,29,2018-10-26 07:21:54.690
578,29,2017-12-20 19:26:02.290
579,29,2019-12-04 07:10:35.470
580,29,2017-12-11 01:24:53.650
581,30,2019-02-20 09:29:31.510
582,30,2018-11-09 10:25:00.240
583,30,2019-09-19 08:11:54.630
584,30,2019-12-24 06:40:39.910
585,30,2017-09-15 03:54:36.870
586,30,2018-01-06 06:37:51.300
587,30,2017-11-18 04:30:32.840
588,30,2018-10-29 10:47:44.650
589,30,2019-10-16 05:34:28.740
590,30,2019-06-03 12:40:09.900
591,30,2018-03-31 10:00:14.660
592,30,2017-05-28 01:16:51.170
593,30,2018-01-01 09:49:20.330
594,30,2018-04-08 11:32:25.630
595,30,2019-01-12 11:30:59.860
596,30,2017-05-18 18:48:48.980
597,30,2017-06-28 14:40:08.670
598,30,2019-11-22 16:58:47.860
599,30,2018-08-22 19:08:50.200
600,30,2019-03-05 19:25:59.110
601,31,2018-10-24 03:49:15.570
602,31,2017-04-20 04:08:59.620
603,31,2017-09-21 11:37:07.870
604,31,2018-08-09 09:13:40.900
605,31,2018-05-05 12:43:50.630
606,31,2019-10-24 17:26:19.030
607,31,2018-08-30 20:03:51.300
608,31,2019-12-07 16:38:48.670
609,31,2018-12-04 01:47:23.340
610,31,2019-08-17 21:03:26.480
611,31,2017-11-21 15:30:14.490
612,31,2018-02-10 10:48:01.810
613,31,2019-01-10 23:02:34.520
614,31,2017-09-20 19:07:47.640
615,31,2019-01-10 07:41:44.600
616,31,2017-05-02 08:21:25.320
617,31,2018-04-27 11:53:08.740
618,31,2017-04-09 07:39:38.380
619,31,2019-10-10 07:42:45.520
620,31,2018-05-27 21:06:01.320
621,32,2017-08-23 06:13:56.920
622,32,2018-01-12 07:21:50.150
623,32,2017-08-28 18:50:26.400
624,32,2017-07-04 01:57:43.440
625,32,2018-03-15 06:08:06.660
626,32,2019-07-17 14:02:49.500
627,32,2018-11-14 14:56:08.740
628,32,2017-06-21 10:24:18.120
629,32,2018-04-12 10:22:36.690
630,32,2017-08-28 15:48:17.810
631,32,2018-07-29 17:21:37.690
632,32,2018-03-18 18:40:46.110
633,32,2018-12-19 21:17:26.670
634,32,2018-06-21 09:12:56.910
635,32,2018-03-01 09:17:01.080
636,32,2019-08-19 04:04:56.980
637,32,2019-04-10 16:11:39.070
638,32,2017-12-20 15:17:39.920
639,32,2018-06-25 00:25:29.360
640,32,2017-09-22 04:28:51.010
641,33,2018-11-09 13:25:11.570
642,33,2017-01-21 19:26:23.410
643,33,2018-04-20 23:08:04.710
644,33,2018-05-08 02:30:50.060
645,33,2018-05-25 07:46:41.140
646,33,2017-11-12 04:53:41.330
647,33,2018-04-11 02:01:14.760
648,33,2019-02-05 22:51:16.140
649,33,2019-03-26 21:17:43.980
650,33,2019-04-07 22:19:50.040
651,33,2017-01-23 04:31:39.550
652,33,2018-08-25 09:51:57.550
653,33,2018-07-24 11:17:03.090
654,33,2019-09-23 00:51:58.590
655,33,2018-02-16 21:00:48.410
656,33,2018-12-23 12:32:35.630
657,33,2017-04-05 03:06:37.000
658,33,2018-10-23 22:48:47.500
659,33,2017-11-13 14:43:17.990
660,33,2019-05-18 05:07:25.710
661,34,2019-07-17 08:08:49.410
662,34,2019-10-27 05:49:12.150
663,34,2019-01-14 07:43:13.970
664,34,2017-08-20 08:26:47.680
665,34,2017-02-24 03:48:45.340
666,34,2019-08-21 17:17:17.430
667,34,2019-11-02 23:17:34.630
668,34,2017-08-16 11:30:32.360
669,34,2017-07-30 01:32:29.160
670,34,2017-02-23 18:18:19.580
671,34,2019-08-15 10:14:48.360
672,34,2018-07-09 02:44:22.420
673,34,2019-07-22 19:40:52.980
674,34,2019-11-06 11:12:28.980
675,34,2019-06-16 08:33:31.930
676,34,2017-08-27 15:40:48.400
677,34,2019-05-13 14:02:12.960
678,34,2017-07-13 08:34:49.620
679,34,2017-12-04 10:49:56.280
680,34,2017-10-05 03:36:17.930
681,35,2017-09-24 22:28:09.510
682,35,2019-05-16 13:29:01.790
683,35,2017-09-07 18:23:58.540
684,35,2019-11-09 23:03:10.220
685,35,2017-07-24 10:09:37.010
686,35,2019-01-09 15:34:44.000
687,35,2019-09-22 12:00:27.900
688,35,2019-07-18 14:46:04.780
689,35,2019-11-09 17:57:46.570
690,35,2018-02-10 04:36:50.920
691,35,2018-05-10 08:55:40.810
692,35,2018-10-25 02:26:23.390
693,35,2017-01-27 12:17:49.760
694,35,2019-12-25 00:28:53.740
695,35,2017-01-09 04:24:46.720
696,35,2017-12-31 21:04:03.580
697,35,2017-04-30 15:41:38.940
698,35,2017-08-25 23:22:25.760
699,35,2017-12-28 08:47:06.580
700,35,2018-09-05 15:38:21.120
701,36,2018-06-24 08:59:11.090
702,36,2017-11-15 07:35:42.930
703,36,2019-11-04 23:19:29.770
704,36,2018-12-04 05:58:34.330
705,36,2018-10-16 15:03:38.950
706,36,2017-01-11 20:02:49.060
707,36,2019-09-30 20:27:14.140
708,36,2019-11-10 19:16:38.120
709,36,2019-07-25 01:42:23.920
710,36,2018-03-25 03:37:44.880
711,36,2018-07-29 19:13:03.670
712,36,2017-12-25 02:23:16.540
713,36,2019-12-29 16:44:15.450
714,36,2017-10-14 14:14:30.220
715,36,2019-09-30 05:36:06.160
716,36,2018-08-22 15:42:43.900
717,36,2018-12-15 23:53:05.170
718,36,2018-03-21 16:50:28.360
719,36,2018-10-06 13:53:15.630
720,36,2018-05-22 17:49:50.560
721,37,2018-12-30 20:51:45.080
722,37,2019-12-15 14:43:30.750
723,37,2019-04-11 10:13:38.590
724,37,2019-01-08 12:12:14.770
