rentalPeriodRentalNumber,rentalPeriodStartingTime,rentalPeriodEndingTime,periodCategory,rentalFee,rentalPeriodBillingNumber,rentalPeriodLineNumber
5,2017-10-31 08:30:42.220,2018-04-11 08:17:41.290,M,8000.0000,99,24405
5,2018-01-13 05:41:20.550,2018-07-04 06:03:13.520,M,6000.0000,302,3823
5,2018-02-26 20:38:56.650,2018-04-20 20:25:35.970,M,6000.0000,406,109456
5,2018-04-04 22:14:00.630,2018-09-19 11:50:43.020,M,6000.0000,719,10732
5,2018-07-20 10:25:33.570,2018-12-08 14:42:42.470,M,6000.0000,1,14858
5,2018-11-30 21:52:26.570,2019-01-27 01:46:20.660,M,6000.0000,511,126467
5,2019-03-15 20:11:44.930,2019-07-19 20:47:28.810,M,6000.0000,199,6646
6,2017-01-16 16:14:30.220,2017-06-25 00:28:23.580,M,8000.0000,302,6721
6,2017-08-12 02:13:36.380,2018-01-19 17:23:24.270,M,6000.0000,615,63513
6,2018-03-25 15:55:41.260,2018-08-31 14:33:08.590,M,6000.0000,199,10692
6,2018-12-06 07:03:01.740,2019-05-08 02:31:39.370,M,6000.0000,719,11783
6,2019-02-19 06:24:18.090,2019-04-29 00:34:04.030,M,8000.0000,406,132456
6,2019-05-14 19:24:27.260,2019-11-08 06:49:17.140,M,8000.0000,1,17171
6,2019-06-07 14:31:09.220,2019-09-12 15:55:33.400,M,6000.0000,99,29767
6,2019-08-20 02:53:31.600,2019-11-08 16:27:16.600,M,6000.0000,511,127467
7,2017-01-04 13:40:28.460,2017-05-29 14:01:00.280,M,6000.0000,302,12871
7,2017-10-15 06:40:21.550,2018-01-22 08:53:58.630,M,6000.0000,99,34509
7,2018-04-21 09:46:53.970,2018-09-11 11:57:42.050,M,8000.0000,1,21836
7,2018-07-27 08:32:10.470,2019-01-22 06:55:40.710,M,6000.0000,615,77326
7,2018-09-08 16:52:59.550,2018-12-17 14:32:02.030,M,6000.0000,199,15251
7,2018-10-15 18:07:02.980,2018-12-26 13:26:19.410,M,6000.0000,511,128467
7,2019-06-08 18:02:47.380,2019-09-26 23:35:54.310,M,6000.0000,407,1133
7,2019-07-31 07:42:03.180,2019-11-04 09:39:30.560,M,6000.0000,719,14398
8,2017-06-23 04:52:54.390,2017-12-07 18:11:35.970,M,6000.0000,99,45405
8,2017-07-07 04:11:00.840,2017-11-09 14:42:10.360,M,6000.0000,199,17544
8,2018-01-03 04:15:56.480,2018-02-09 11:10:39.240,M,6000.0000,615,84513
8,2018-01-24 19:26:40.180,2018-04-13 15:29:03.710,M,8000.0000,407,3435
8,2018-11-12 11:52:58.710,2019-05-05 03:45:30.750,M,6000.0000,1,27306
8,2019-06-15 23:55:49.400,2019-11-08 17:36:30.450,M,6000.0000,302,14485
8,2019-07-03 01:53:42.890,2019-12-01 21:11:21.950,M,6000.0000,512,1355
9,2017-01-09 04:08:13.130,2017-03-09 03:26:12.490,M,6000.0000,615,102644
9,2017-05-28 01:07:37.330,2017-10-15 12:09:26.040,M,6000.0000,407,6920
9,2017-10-08 03:39:15.090,2018-02-20 15:58:52.380,M,6000.0000,302,18816
9,2018-04-29 18:12:56.090,2018-06-26 16:24:40.980,M,6000.0000,512,3555
9,2018-11-21 07:55:25.970,2019-04-08 00:23:48.700,M,6000.0000,719,21052
9,2019-03-07 15:42:10.110,2019-06-15 07:42:26.620,M,6000.0000,199,22147
9,2019-05-20 10:32:09.960,2019-07-07 20:17:24.890,M,6000.0000,99,53635
9,2019-07-08 02:03:30.300,2019-12-29 06:06:01.780,M,6000.0000,1,35858
10,2017-08-26 11:54:52.620,2018-01-27 04:27:15.120,M,6000.0000,99,66405
10,2017-09-01 04:32:51.470,2017-12-09 00:55:50.690,M,6000.0000,615,105513
10,2017-11-30 19:40:59.080,2018-04-01 22:36:05.860,M,8000.0000,1,42836
10,2018-06-21 13:09:10.050,2018-11-04 07:48:51.820,M,6000.0000,407,10295
10,2018-10-12 08:31:31.890,2019-03-02 04:27:36.520,M,8000.0000,512,7025
10,2018-10-20 07:02:38.270,2019-01-22 08:36:17.560,M,8000.0000,199,27646
10,2019-04-18 19:59:26.230,2019-09-02 04:18:33.640,M,6000.0000,302,21171
10,2019-06-18 09:11:56.740,2019-10-12 00:48:23.400,M,6000.0000,719,31732
11,2017-10-02 16:40:39.870,2018-01-10 00:00:57.310,M,6000.0000,719,35398
11,2018-01-17 09:27:33.820,2018-06-16 11:23:55.500,M,6000.0000,615,126513
11,2018-06-05 20:19:13.680,2018-07-11 22:44:05.020,M,6000.0000,99,76509
11,2018-06-19 01:53:48.050,2018-10-30 04:56:09.430,M,6000.0000,199,36251
11,2018-12-07 06:12:06.500,2019-02-22 20:07:28.690,M,6000.0000,407,14155
11,2019-03-25 08:35:33.500,2019-08-26 11:53:18.720,M,8000.0000,512,10765
11,2019-05-14 20:41:18.320,2019-07-25 03:33:17.030,M,6000.0000,302,27721
11,2019-07-29 03:31:17.540,2019-09-25 17:12:59.830,M,6000.0000,1,53244
12,2017-01-05 21:46:36.040,2017-04-27 23:08:51.080,M,6000.0000,302,35485
12,2017-04-28 01:36:11.760,2017-06-12 14:45:08.350,M,6000.0000,512,14801
12,2017-04-30 10:29:07.650,2017-09-09 11:17:34.340,M,6000.0000,199,43147
12,2017-12-25 20:16:48.210,2018-05-10 16:02:29.130,M,6000.0000,1,63836
12,2018-04-11 23:36:02.840,2018-08-10 17:58:44.560,M,8000.0000,407,22133
12,2018-06-22 06:31:07.880,2018-10-16 17:05:01.090,M,6000.0000,99,87405
12,2018-11-27 23:04:39.280,2019-01-02 23:19:55.580,M,6000.0000,615,127513
12,2019-03-04 13:45:45.130,2019-04-30 07:24:40.040,M,6000.0000,719,42052
13,2017-07-31 23:24:31.350,2018-01-19 06:21:36.830,M,6000.0000,512,17621
13,2017-10-04 05:41:42.760,2018-01-26 15:47:25.780,M,6000.0000,99,102247
13,2017-10-22 11:49:11.630,2018-01-19 19:11:20.070,M,6000.0000,302,42171
13,2017-11-02 22:04:39.890,2018-03-25 05:56:13.260,M,6000.0000,407,27920
13,2018-03-31 10:47:02.030,2018-07-12 16:07:20.560,M,6000.0000,1,77858
13,2018-05-05 19:16:35.170,2018-09-12 08:54:20.680,M,6000.0000,199,52692
13,2019-06-23 23:41:55.000,2019-10-18 00:16:27.430,M,6000.0000,615,128513
14,2017-05-01 02:12:57.460,2017-07-18 12:44:09.320,M,6000.0000,302,54871
14,2017-06-19 12:53:22.160,2017-07-29 04:03:22.060,M,6000.0000,99,108405
14,2018-07-11 16:04:24.400,2018-08-17 17:18:01.700,M,6000.0000,407,35155
14,2018-10-02 23:40:27.720,2019-01-22 05:57:48.370,M,8000.0000,512,22355
14,2019-02-08 17:36:28.330,2019-04-07 05:48:20.840,M,6000.0000,1,84836
14,2019-02-28 13:11:18.680,2019-06-15 21:05:12.540,M,6000.0000,199,64147
14,2019-05-27 08:00:02.900,2019-09-18 10:03:17.960,M,8000.0000,616,145
14,2019-08-07 20:53:27.120,2019-10-24 06:45:50.680,M,8000.0000,719,63052
15,2017-01-04 00:56:29.550,2017-04-09 02:06:07.360,M,6000.0000,99,131405
15,2017-12-12 13:08:57.030,2018-05-27 16:39:00.340,M,6000.0000,512,28025
15,2018-01-15 23:52:02.050,2018-05-26 23:27:23.320,M,6000.0000,719,77398
15,2018-05-22 14:45:38.450,2018-09-30 14:41:22.930,M,6000.0000,407,43133
15,2019-02-06 22:58:41.870,2019-05-06 19:09:23.320,M,8000.0000,302,63171
15,2019-06-26 05:55:16.140,2019-08-18 07:32:34.230,M,6000.0000,616,3873
15,2019-07-25 07:51:08.890,2020-01-17 10:14:24.220,M,6000.0000,1,101171
15,2019-08-23 03:42:27.250,2019-11-15 07:53:09.500,M,6000.0000,199,78251
16,2017-01-03 05:23:40.750,2017-04-02 22:55:44.420,M,6000.0000,302,77485
16,2017-01-04 00:54:54.940,2017-06-11 19:46:22.180,M,6000.0000,199,85147
16,2017-01-05 03:53:06.920,2017-05-08 19:09:40.030,M,6000.0000,616,7132
16,2018-05-23 10:24:20.500,2018-08-04 23:50:58.040,M,6000.0000,100,1141
16,2018-08-05 00:45:26.330,2018-10-08 14:45:30.490,M,6000.0000,407,52295
16,2019-06-07 04:15:31.670,2019-08-20 05:39:29.530,M,6000.0000,512,35801
16,2019-08-20 23:06:16.510,2019-09-25 12:02:24.620,M,6000.0000,1,105836
17,2017-07-10 12:05:24.000,2017-08-17 17:39:03.690,M,6000.0000,302,84171
17,2018-02-27 01:59:40.910,2018-06-01 01:21:39.630,M,6000.0000,1,126836
17,2018-10-05 15:59:39.080,2019-02-01 17:06:10.180,M,6000.0000,100,2911
17,2019-01-26 19:54:07.570,2019-06-11 15:03:30.930,M,6000.0000,199,101544
17,2019-04-16 18:10:27.880,2019-06-20 23:08:37.710,M,6000.0000,719,101902
17,2019-05-06 22:39:41.710,2019-08-29 06:20:01.840,M,6000.0000,512,43355
17,2019-05-28 10:45:14.150,2019-09-18 01:30:14.710,M,6000.0000,616,11492
17,2019-08-04 23:26:19.620,2020-01-23 10:56:40.370,M,6000.0000,407,64133
18,2017-03-29 22:43:26.820,2017-06-07 00:48:08.570,M,6000.0000,512,52765
18,2017-04-02 21:22:16.350,2017-07-01 23:24:21.140,M,6000.0000,1,127836
18,2017-05-27 08:05:35.570,2017-10-15 07:36:24.930,M,8000.0000,199,106147
18,2017-05-27 14:29:43.330,2017-10-18 20:17:41.350,M,6000.0000,100,7256
18,2018-08-28 09:08:00.830,2018-11-27 04:00:31.940,M,6000.0000,302,102816
18,2019-03-03 19:24:20.980,2019-05-26 15:37:12.180,M,6000.0000,407,77155
18,2019-06-09 01:17:40.650,2019-09-14 11:21:19.700,M,6000.0000,616,14073
19,2017-01-09 05:08:04.540,2017-06-06 03:22:17.890,M,8000.0000,199,129147
19,2017-01-23 16:10:19.810,2017-06-14 23:16:03.490,M,8000.0000,512,64355
19,2017-08-11 01:29:39.900,2018-01-14 13:52:59.920,M,6000.0000,1,128836
19,2017-11-29 01:29:40.660,2018-02-24 21:49:01.320,M,6000.0000,616,18339
19,2017-12-22 06:10:52.910,2018-04-02 04:33:12.650,M,6000.0000,719,126052
19,2018-05-24 23:40:36.250,2018-07-23 00:22:40.900,M,6000.0000,100,10721
19,2018-12-10 03:40:44.050,2019-04-25 00:42:12.800,M,6000.0000,407,85133
19,2019-07-20 17:07:52.910,2019-11-25 12:11:29.300,M,6000.0000,302,105171
20,2017-06-01 19:59:56.940,2017-10-30 20:48:32.500,M,6000.0000,100,15158
20,2018-02-26 04:34:35.770,2018-04-22 21:33:58.940,M,8000.0000,719,127052
20,2018-03-30 08:20:18.250,2018-05-24 13:39:14.390,M,6000.0000,616,21145
20,2018-04-12 23:04:50.420,2018-07-04 23:31:17.730,M,6000.0000,407,106133
20,2018-05-10 21:58:06.520,2018-08-27 18:18:33.310,M,6000.0000,2,244
20,2018-05-13 20:22:27.640,2018-09-09 21:59:56.890,M,6000.0000,200,840
20,2018-11-22 05:32:29.970,2019-04-02 14:28:14.830,M,6000.0000,302,126171
21,2017-07-29 18:51:54.760,2017-11-29 11:51:55.800,M,6000.0000,719,128052
21,2017-09-26 20:34:13.570,2018-02-02 04:13:18.080,M,8000.0000,200,3103
21,2017-10-16 17:33:49.830,2018-04-14 12:48:11.390,M,6000.0000,2,3203
21,2018-01-31 01:44:20.470,2018-07-23 06:14:39.610,M,6000.0000,512,85355
21,2018-09-08 07:31:54.540,2019-02-07 00:14:02.210,M,6000.0000,302,127171
21,2018-10-24 16:45:03.490,2019-02-27 22:30:23.010,M,6000.0000,100,17929
21,2019-05-14 18:07:35.140,2019-09-06 02:35:21.300,M,6000.0000,407,129133
21,2019-08-17 10:50:42.090,2019-10-11 02:34:43.760,M,6000.0000,616,28132
22,2017-01-13 18:42:00.900,2017-04-06 21:17:14.810,M,6000.0000,616,35073
22,2017-07-13 20:38:18.840,2017-11-05 07:58:05.920,M,6000.0000,2,6583
22,2017-09-17 06:50:01.470,2017-12-31 23:37:37.480,M,6000.0000,512,101621
22,2018-12-24 09:48:46.560,2019-02-08 13:07:23.690,M,8000.0000,408,3241
22,2018-12-31 21:04:42.260,2019-03-13 01:37:29.260,M,6000.0000,302,128171
22,2019-03-26 11:35:37.450,2019-05-19 17:28:34.560,M,6000.0000,720,74
22,2019-04-02 06:08:40.900,2019-06-26 18:09:28.120,M,6000.0000,100,20909
22,2019-08-09 16:20:14.220,2019-11-16 04:21:10.250,M,6000.0000,200,8701
23,2017-02-09 17:32:46.370,2017-06-18 03:40:59.980,M,6000.0000,512,106355
23,2017-02-13 19:17:59.120,2017-03-17 16:26:39.620,M,6000.0000,303,971
23,2017-08-09 06:24:54.330,2017-10-01 18:21:09.090,M,8000.0000,616,42145
23,2017-09-19 00:51:25.540,2017-12-05 05:58:52.340,M,6000.0000,2,10986
23,2018-01-03 07:26:14.260,2018-03-24 08:04:50.300,M,6000.0000,408,4291
23,2018-04-26 06:05:43.250,2018-09-13 23:01:52.060,M,6000.0000,100,22141
23,2019-08-01 21:27:00.350,2019-11-17 03:10:19.780,M,6000.0000,200,11201
24,2017-10-02 19:02:16.650,2017-11-24 22:14:57.330,M,6000.0000,303,3484
24,2018-04-15 00:04:09.000,2018-07-31 13:44:54.010,M,6000.0000,720,8167
24,2018-06-23 04:43:15.560,2018-10-23 09:27:12.330,M,6000.0000,408,8219
24,2018-10-14 05:35:17.390,2019-01-13 08:24:52.180,M,6000.0000,200,15628
24,2019-01-26 05:41:53.900,2019-06-21 19:43:42.360,M,6000.0000,2,14614
24,2019-07-08 07:47:59.890,2019-12-09 15:36:01.290,M,6000.0000,616,53492
24,2019-08-25 17:35:48.410,2019-09-26 10:50:20.400,M,8000.0000,512,129355
24,2019-08-31 06:13:55.490,2019-10-13 16:54:30.630,M,6000.0000,100,28256
25,2017-01-08 13:21:05.950,2017-04-21 04:40:30.640,M,6000.0000,513,163
25,2017-04-06 04:25:29.260,2017-09-15 18:34:11.580,M,6000.0000,200,18447
25,2017-04-18 16:44:38.410,2017-06-18 06:20:09.570,M,6000.0000,100,36158
25,2017-07-10 14:24:09.420,2017-12-15 03:25:12.340,M,6000.0000,2,17030
25,2018-07-18 10:10:46.070,2019-01-15 01:07:53.300,M,8000.0000,303,6892
25,2018-08-07 22:17:37.090,2018-12-15 03:49:51.780,M,6000.0000,616,63145
25,2018-10-02 09:09:32.880,2018-11-06 10:08:42.940,M,6000.0000,408,12828
26,2017-02-13 14:19:10.240,2017-03-26 14:18:22.320,M,6000.0000,100,41909
26,2017-09-04 08:20:06.770,2018-01-25 12:20:45.900,M,6000.0000,2,20874
26,2017-10-10 11:59:51.900,2018-03-13 13:03:40.740,M,6000.0000,303,10205
26,2018-03-23 09:21:12.380,2018-08-31 10:33:37.250,M,8000.0000,408,15694
26,2019-04-02 09:26:49.720,2019-07-22 19:30:04.100,M,6000.0000,513,5653
26,2019-05-12 22:50:55.930,2019-09-06 08:22:00.290,M,6000.0000,200,21840
26,2019-06-18 03:53:05.620,2019-11-06 11:06:12.470,M,6000.0000,616,77073
27,2017-09-23 05:27:57.020,2018-02-28 12:46:20.580,M,6000.0000,408,20224
27,2017-11-04 11:21:31.700,2018-01-29 04:07:03.200,M,6000.0000,100,43141
27,2017-12-27 15:21:20.000,2018-02-14 10:59:38.780,M,6000.0000,200,29701
27,2018-09-12 22:40:44.070,2019-03-12 21:10:38.900,M,6000.0000,303,14924
27,2018-12-14 08:18:30.970,2019-02-07 22:41:51.760,M,8000.0000,2,21244
27,2019-08-24 06:36:22.270,2020-01-24 15:07:15.080,M,6000.0000,513,7131
28,2017-01-28 03:44:23.910,2017-07-20 15:05:14.360,M,6000.0000,303,17482
28,2017-03-03 17:15:57.920,2017-04-14 06:32:06.780,M,6000.0000,513,11092
28,2017-03-20 20:09:15.860,2017-05-29 12:15:51.050,M,6000.0000,408,25291
28,2017-04-07 03:28:39.640,2017-07-24 12:12:45.930,M,6000.0000,616,102339
28,2017-05-24 07:29:21.400,2017-09-17 17:05:06.260,M,6000.0000,2,27583
28,2017-12-25 23:30:22.820,2018-03-13 22:04:58.870,M,6000.0000,200,36628
28,2019-06-28 01:32:23.830,2019-12-19 08:30:17.330,M,6000.0000,100,52721
29,2017-01-05 07:03:12.950,2017-07-02 23:19:25.070,M,6000.0000,720,29167
29,2017-06-21 20:41:41.730,2017-10-29 08:43:31.460,M,6000.0000,303,20939
29,2017-08-06 05:07:41.540,2017-10-16 01:28:33.220,M,6000.0000,616,105145
29,2018-02-01 18:07:07.590,2018-07-31 19:05:38.050,M,6000.0000,513,14030
29,2018-04-21 00:25:22.910,2018-07-31 02:01:20.670,M,6000.0000,100,62909
29,2018-11-14 00:57:39.810,2019-04-01 21:50:31.160,M,6000.0000,200,42840
29,2019-08-05 02:06:47.640,2019-09-07 17:20:06.990,M,6000.0000,408,29219
29,2019-08-05 07:47:20.080,2019-09-07 17:39:47.360,M,6000.0000,2,35614
30,2017-03-13 23:40:39.360,2017-04-19 10:51:28.040,M,6000.0000,2,41874
30,2017-05-01 21:42:11.420,2017-10-11 05:37:54.860,M,8000.0000,303,21971
30,2017-08-31 00:28:15.480,2017-12-23 16:06:44.950,M,6000.0000,408,36694
30,2017-12-01 23:19:48.510,2018-03-14 04:52:05.020,M,6000.0000,720,36051
30,2018-01-04 01:39:08.150,2018-07-05 21:27:15.470,M,6000.0000,513,17944
30,2018-01-20 15:54:38.080,2018-03-09 00:43:38.300,M,6000.0000,100,64141
30,2018-03-04 09:37:42.900,2018-05-19 16:20:08.770,M,6000.0000,200,53201
30,2019-08-21 07:47:21.810,2019-10-31 15:31:33.990,M,6000.0000,616,126145
31,2017-05-27 16:02:03.160,2017-09-18 11:03:12.540,M,6000.0000,100,78158
31,2017-06-08 22:06:27.020,2017-11-08 09:09:43.430,M,8000.0000,200,63840
31,2017-07-21 11:16:04.370,2017-12-04 18:02:12.150,M,8000.0000,616,127145
31,2017-07-24 18:21:19.080,2017-11-16 21:49:38.150,M,6000.0000,303,27892
31,2018-03-30 09:57:46.290,2018-08-09 03:51:57.040,M,6000.0000,2,42244
31,2018-08-09 03:44:47.360,2018-09-14 15:23:37.070,M,8000.0000,408,46291
31,2019-08-11 00:01:41.660,2019-09-28 16:45:00.270,M,6000.0000,513,21163
32,2017-04-07 07:26:38.270,2017-07-05 08:55:35.390,M,6000.0000,303,35924
32,2017-08-22 08:20:38.470,2018-02-11 05:54:39.530,M,8000.0000,616,128145
32,2018-05-28 06:58:23.060,2018-08-17 08:52:15.140,M,6000.0000,513,28131
32,2018-06-01 19:55:01.960,2018-09-29 23:06:05.770,M,6000.0000,2,52986
32,2018-07-21 00:36:50.890,2018-09-25 02:37:31.540,M,6000.0000,200,78628
32,2019-01-03 23:52:06.440,2019-05-03 13:55:18.450,M,8000.0000,100,85141
32,2019-02-04 02:39:07.280,2019-03-25 13:20:25.440,M,6000.0000,408,54828
33,2017-07-15 12:50:30.200,2017-11-05 23:03:38.310,M,8000.0000,617,724
33,2017-07-27 05:15:49.570,2017-12-01 16:58:43.280,M,8000.0000,303,41939
33,2017-10-04 22:36:22.190,2018-01-18 21:47:28.190,M,6000.0000,200,84840
33,2017-11-12 20:21:37.350,2018-05-05 12:46:58.230,M,8000.0000,513,35030
33,2018-05-06 03:02:35.840,2018-06-16 04:10:09.070,M,6000.0000,2,62874
33,2018-12-15 14:00:26.550,2019-06-06 16:27:53.690,M,6000.0000,408,67291
33,2019-07-22 19:00:17.360,2019-10-11 04:11:11.090,M,8000.0000,100,101929
34,2017-05-20 05:54:10.540,2017-10-25 22:23:28.270,M,6000.0000,200,102447
34,2017-08-18 03:13:02.780,2018-01-14 22:32:21.250,M,8000.0000,617,5667
34,2017-08-28 22:47:02.780,2018-02-01 11:46:10.370,M,6000.0000,2,63244
34,2017-11-15 17:55:20.750,2018-02-17 06:37:20.050,M,6000.0000,100,106141
34,2018-12-19 20:23:53.890,2019-05-07 08:35:04.910,M,6000.0000,408,78694
34,2018-12-29 10:48:22.280,2019-04-26 01:25:13.970,M,6000.0000,513,42163
34,2019-08-09 05:11:11.160,2019-10-01 20:28:04.830,M,6000.0000,303,42971
35,2017-03-27 01:00:20.000,2017-05-06 16:13:41.950,M,6000.0000,617,7010
35,2017-04-11 03:17:59.130,2017-06-14 08:50:24.160,M,6000.0000,2,77614
35,2017-10-26 22:37:39.350,2018-04-22 23:58:26.470,M,6000.0000,408,88291
35,2018-01-12 01:05:04.090,2018-03-03 20:36:08.460,M,6000.0000,513,53092
35,2018-03-18 23:45:51.700,2018-06-12 14:09:40.820,M,6000.0000,200,105840
35,2019-02-04 07:22:34.890,2019-04-08 09:21:25.840,M,6000.0000,303,52205
35,2019-03-19 10:32:13.920,2019-04-26 18:40:40.870,M,6000.0000,100,125909
35,2019-07-24 12:39:10.750,2020-01-15 03:36:10.010,M,6000.0000,720,84074
36,2017-01-02 17:30:28.480,2017-02-10 08:25:05.040,M,6000.0000,100,129141
36,2017-08-02 08:26:27.220,2017-10-27 01:05:48.080,M,6000.0000,200,126840
36,2017-08-29 09:58:45.050,2017-11-03 21:31:37.010,M,6000.0000,2,84244
36,2017-11-14 22:45:59.320,2018-03-18 00:22:03.780,M,6000.0000,408,104224
36,2018-05-09 23:49:21.030,2018-10-25 05:38:44.860,M,6000.0000,513,63163
36,2018-05-23 04:06:33.690,2018-07-29 17:13:12.610,M,6000.0000,617,11252
36,2018-06-16 01:37:20.740,2018-08-31 19:49:30.800,M,6000.0000,303,62939
36,2019-01-02 12:08:54.640,2019-02-10 23:59:34.720,M,6000.0000,720,102527
37,2017-04-21 14:20:05.940,2017-07-04 10:09:33.750,M,6000.0000,408,109291
37,2017-11-26 11:34:14.550,2018-05-26 07:59:21.360,M,6000.0000,200,127840
37,2018-02-18 13:38:19.750,2018-08-19 04:22:15.770,M,6000.0000,303,63971
37,2018-02-22 05:07:02.340,2018-05-07 19:43:21.580,M,8000.0000,617,14177
37,2019-01-15 16:48:41.770,2019-03-13 10:29:58.200,M,8000.0000,101,76
37,2019-04-22 11:19:15.290,2019-10-02 02:21:34.780,M,8000.0000,2,101030
37,2019-08-26 06:00:52.530,2019-11-25 22:03:53.820,M,6000.0000,513,77030
38,2017-01-22 10:53:52.830,2017-04-24 21:54:19.240,M,6000.0000,303,77924
38,2018-03-27 19:26:57.080,2018-07-21 11:03:19.040,M,6000.0000,408,132291
38,2018-05-18 08:23:10.130,2018-09-26 12:37:57.650,M,6000.0000,200,128840
38,2018-05-28 01:25:35.660,2018-10-30 09:04:36.980,M,6000.0000,2,105244
38,2018-09-21 00:08:51.260,2019-02-27 00:16:26.370,M,8000.0000,720,126074
38,2018-10-02 15:49:12.700,2019-03-09 21:07:18.600,M,6000.0000,513,84163
38,2019-05-15 09:45:18.550,2019-09-05 23:54:03.550,M,6000.0000,617,19345
38,2019-06-02 14:48:45.870,2019-11-12 16:17:44.600,M,6000.0000,101,3045
39,2017-02-14 23:53:00.250,2017-04-23 06:39:43.900,M,6000.0000,2,125874
39,2017-05-03 20:57:27.030,2017-10-31 08:41:30.520,M,6000.0000,617,21724
39,2017-07-18 00:16:09.820,2017-12-27 17:03:57.090,M,6000.0000,513,101944
39,2018-10-24 15:09:04.800,2018-12-11 11:16:13.510,M,8000.0000,409,4629
39,2018-10-27 16:17:20.450,2019-03-19 10:38:05.450,M,6000.0000,303,84971
39,2019-01-05 06:58:45.670,2019-06-28 09:25:03.970,M,6000.0000,201,1529
39,2019-08-25 23:31:13.240,2019-12-08 06:55:14.850,M,6000.0000,101,6690
40,2017-04-14 18:15:22.800,2017-05-22 16:01:31.060,M,6000.0000,409,5079
40,2017-06-19 08:15:58.110,2017-09-25 13:27:03.780,M,6000.0000,303,101482
40,2018-05-19 08:43:24.510,2018-09-01 05:37:55.280,M,6000.0000,617,28010
40,2018-11-23 21:45:29.670,2019-05-20 16:14:47.810,M,8000.0000,201,2990
40,2019-02-04 22:37:53.270,2019-07-28 08:18:30.460,M,6000.0000,101,10343
40,2019-02-28 16:45:30.200,2019-07-01 03:11:56.110,M,6000.0000,2,126244
40,2019-03-17 19:54:17.550,2019-06-23 20:31:52.280,M,8000.0000,513,105163
40,2019-07-30 20:48:53.200,2019-11-24 06:21:48.850,M,6000.0000,720,128074
41,2017-11-30 01:05:59.310,2018-03-09 01:47:30.740,M,8000.0000,303,105971
41,2018-01-07 04:22:36.240,2018-02-20 12:26:12.400,M,6000.0000,721,420
41,2018-04-10 05:38:06.090,2018-06-02 02:13:57.540,M,6000.0000,2,127244
41,2018-10-16 00:00:53.420,2019-03-27 08:18:04.330,M,6000.0000,201,7037
41,2019-02-27 16:34:13.060,2019-05-07 20:07:58.890,M,6000.0000,513,126163
41,2019-05-06 10:50:41.420,2019-06-19 05:48:41.220,M,6000.0000,101,14085
