workAttendanceTime,workGetOffTime,workHourEmployeeNum
2017-01-02 07:45:47.340,2017-01-10 07:45:48.340,24
2017-01-02 07:58:07.650,2017-01-10 07:58:08.650,44
2017-01-02 08:02:10.240,2017-01-10 08:02:11.240,12
2017-01-02 08:24:42.170,2017-01-10 08:24:43.170,20
2017-01-02 08:43:09.280,2017-01-10 08:43:10.280,48
2017-01-02 09:00:48.680,2017-01-10 09:00:49.680,36
2017-01-02 09:56:32.500,2017-01-10 09:56:33.500,15
2017-01-02 10:25:22.260,2017-01-10 10:25:23.260,2
2017-01-02 11:25:42.570,2017-01-10 11:25:43.570,38
2017-01-02 11:45:06.600,2017-01-10 11:45:07.600,23
2017-01-02 12:12:01.710,2017-01-10 12:12:02.710,38
2017-01-02 12:23:32.280,2017-01-10 12:23:33.280,23
2017-01-02 13:37:45.740,2017-01-10 13:37:46.740,20
2017-01-02 14:28:01.480,2017-01-10 14:28:02.480,11
2017-01-02 15:03:39.460,2017-01-10 15:03:40.460,1
2017-01-02 15:33:23.550,2017-01-10 15:33:24.550,41
2017-01-02 16:54:34.100,2017-01-10 16:54:35.100,10
2017-01-02 17:02:58.180,2017-01-10 17:02:59.180,15
2017-01-02 17:26:19.140,2017-01-10 17:26:20.140,5
2017-01-02 18:08:49.090,2017-01-10 18:08:50.090,35
2017-01-02 18:11:33.140,2017-01-10 18:11:34.140,35
2017-01-02 19:19:43.770,2017-01-10 19:19:44.770,10
2017-01-02 20:16:30.320,2017-01-10 20:16:31.320,4
2017-01-02 20:26:33.630,2017-01-10 20:26:34.630,45
2017-01-02 20:38:56.240,2017-01-10 20:38:57.240,41
2017-01-02 21:04:00.610,2017-01-10 21:04:01.610,26
2017-01-02 21:20:42.790,2017-01-10 21:20:43.790,37
2017-01-02 21:57:45.990,2017-01-10 21:57:46.990,13
2017-01-02 22:10:29.560,2017-01-10 22:10:30.560,15
2017-01-02 22:41:55.160,2017-01-10 22:41:56.160,4
2017-01-02 23:00:37.080,2017-01-10 23:00:38.080,36
2017-01-02 23:07:06.740,2017-01-10 23:07:07.740,50
2017-01-03 00:39:20.880,2017-01-11 00:39:21.880,43
2017-01-03 00:42:23.350,2017-01-11 00:42:24.350,43
2017-01-03 00:53:50.020,2017-01-11 00:53:51.020,13
2017-01-03 01:19:15.420,2017-01-11 01:19:16.420,8
2017-01-03 01:37:48.320,2017-01-11 01:37:49.320,5
2017-01-03 02:01:40.880,2017-01-11 02:01:41.880,37
2017-01-03 02:03:48.030,2017-01-11 02:03:49.030,45
2017-01-03 02:06:17.290,2017-01-11 02:06:18.290,11
2017-01-03 02:21:13.430,2017-01-11 02:21:14.430,4
2017-01-03 02:40:59.930,2017-01-11 02:41:00.930,31
2017-01-03 02:43:15.340,2017-01-11 02:43:16.340,3
2017-01-03 02:46:22.810,2017-01-11 02:46:23.810,37
2017-01-03 02:50:50.000,2017-01-11 02:50:51.000,21
2017-01-03 03:26:10.590,2017-01-11 03:26:11.590,1
2017-01-03 04:16:31.100,2017-01-11 04:16:32.100,48
2017-01-03 04:34:21.280,2017-01-11 04:34:22.280,5
2017-01-03 04:49:48.380,2017-01-11 04:49:49.380,4
2017-01-03 04:55:37.280,2017-01-11 04:55:38.280,6
2017-01-03 04:59:32.640,2017-01-11 04:59:33.640,42
2017-01-03 05:20:39.910,2017-01-11 05:20:40.910,9
2017-01-03 06:18:09.180,2017-01-11 06:18:10.180,31
2017-01-03 06:38:13.340,2017-01-11 06:38:14.340,50
2017-01-03 06:56:13.370,2017-01-11 06:56:14.370,11
2017-01-03 07:45:31.220,2017-01-11 07:45:32.220,16
2017-01-03 08:57:12.010,2017-01-11 08:57:13.010,36
2017-01-03 09:11:50.920,2017-01-11 09:11:51.920,49
2017-01-03 09:14:47.190,2017-01-11 09:14:48.190,40
2017-01-03 09:58:44.670,2017-01-11 09:58:45.670,25
2017-01-03 10:46:09.460,2017-01-11 10:46:10.460,15
2017-01-03 11:01:16.730,2017-01-11 11:01:17.730,33
2017-01-03 11:23:45.670,2017-01-11 11:23:46.670,35
2017-01-03 11:28:50.340,2017-01-11 11:28:51.340,6
2017-01-03 11:43:51.690,2017-01-11 11:43:52.690,42
2017-01-03 12:40:00.430,2017-01-11 12:40:01.430,16
2017-01-03 13:12:22.460,2017-01-11 13:12:23.460,20
2017-01-03 13:14:15.350,2017-01-11 13:14:16.350,20
2017-01-03 13:17:47.270,2017-01-11 13:17:48.270,11
2017-01-03 13:20:16.810,2017-01-11 13:20:17.810,39
2017-01-03 13:29:18.570,2017-01-11 13:29:19.570,27
2017-01-03 13:55:06.900,2017-01-11 13:55:07.900,40
2017-01-03 14:22:53.830,2017-01-11 14:22:54.830,6
2017-01-03 14:36:17.180,2017-01-11 14:36:18.180,5
2017-01-03 14:55:33.470,2017-01-11 14:55:34.470,41
2017-01-03 15:28:18.350,2017-01-11 15:28:19.350,19
2017-01-03 16:14:56.760,2017-01-11 16:14:57.760,3
2017-01-03 16:20:22.650,2017-01-11 16:20:23.650,40
2017-01-03 16:27:28.590,2017-01-11 16:27:29.590,39
2017-01-03 17:16:15.620,2017-01-11 17:16:16.620,33
2017-01-03 17:19:27.610,2017-01-11 17:19:28.610,10
2017-01-03 17:28:22.140,2017-01-11 17:28:23.140,8
2017-01-03 17:34:42.560,2017-01-11 17:34:43.560,44
2017-01-03 17:36:45.890,2017-01-11 17:36:46.890,30
2017-01-03 17:40:22.800,2017-01-11 17:40:23.800,45
2017-01-03 17:44:38.210,2017-01-11 17:44:39.210,29
2017-01-03 18:44:29.790,2017-01-11 18:44:30.790,41
2017-01-03 18:49:37.620,2017-01-11 18:49:38.620,15
2017-01-03 18:53:58.990,2017-01-11 18:53:59.990,39
2017-01-03 20:40:20.530,2017-01-11 20:40:21.530,34
2017-01-03 20:44:01.950,2017-01-11 20:44:02.950,22
2017-01-03 22:26:36.030,2017-01-11 22:26:37.030,29
2017-01-03 22:41:43.480,2017-01-11 22:41:44.480,21
2017-01-03 23:01:42.520,2017-01-11 23:01:43.520,23
2017-01-03 23:38:48.870,2017-01-11 23:38:49.870,13
2017-01-03 23:50:53.950,2017-01-11 23:50:54.950,13
2017-01-04 00:11:44.160,2017-01-12 00:11:45.160,12
2017-01-04 00:19:00.840,2017-01-12 00:19:01.840,17
2017-01-04 00:37:39.220,2017-01-12 00:37:40.220,36
2017-01-04 02:17:36.370,2017-01-12 02:17:37.370,5
2017-01-04 02:47:22.440,2017-01-12 02:47:23.440,19
2017-01-04 04:11:29.750,2017-01-12 04:11:30.750,34
2017-01-04 05:56:35.820,2017-01-12 05:56:36.820,40
2017-01-04 06:03:30.180,2017-01-12 06:03:31.180,40
2017-01-04 06:35:20.280,2017-01-12 06:35:21.280,2
2017-01-04 07:09:51.960,2017-01-12 07:09:52.960,43
2017-01-04 07:22:53.460,2017-01-12 07:22:54.460,16
2017-01-04 07:28:51.320,2017-01-12 07:28:52.320,41
2017-01-04 08:06:56.840,2017-01-12 08:06:57.840,21
2017-01-04 08:16:12.960,2017-01-12 08:16:13.960,2
2017-01-04 08:41:13.220,2017-01-12 08:41:14.220,14
2017-01-04 08:43:47.940,2017-01-12 08:43:48.940,47
2017-01-04 10:06:20.830,2017-01-12 10:06:21.830,12
2017-01-04 10:19:33.810,2017-01-12 10:19:34.810,9
2017-01-04 11:09:28.650,2017-01-12 11:09:29.650,45
2017-01-04 11:13:33.780,2017-01-12 11:13:34.780,32
2017-01-04 12:11:16.800,2017-01-12 12:11:17.800,50
2017-01-04 13:07:57.070,2017-01-12 13:07:58.070,6
2017-01-04 13:55:28.270,2017-01-12 13:55:29.270,16
2017-01-04 13:56:06.460,2017-01-12 13:56:07.460,33
2017-01-04 14:15:58.940,2017-01-12 14:15:59.940,36
2017-01-04 14:32:41.490,2017-01-12 14:32:42.490,11
2017-01-04 14:43:37.120,2017-01-12 14:43:38.120,22
2017-01-04 16:52:24.310,2017-01-12 16:52:25.310,49
2017-01-04 17:45:47.360,2017-01-12 17:45:48.360,46
2017-01-04 18:08:01.280,2017-01-12 18:08:02.280,9
2017-01-04 18:41:47.810,2017-01-12 18:41:48.810,26
2017-01-04 19:07:25.730,2017-01-12 19:07:26.730,27
2017-01-04 19:24:01.800,2017-01-12 19:24:02.800,18
2017-01-04 19:33:23.670,2017-01-12 19:33:24.670,33
2017-01-04 20:09:37.800,2017-01-12 20:09:38.800,38
2017-01-04 20:20:32.210,2017-01-12 20:20:33.210,50
2017-01-04 21:50:28.520,2017-01-12 21:50:29.520,25
2017-01-04 22:29:02.970,2017-01-12 22:29:03.970,10
2017-01-04 23:20:29.700,2017-01-12 23:20:30.700,42
2017-01-05 00:02:20.390,2017-01-13 00:02:21.390,49
2017-01-05 00:07:16.170,2017-01-13 00:07:17.170,34
2017-01-05 00:16:17.640,2017-01-13 00:16:18.640,20
2017-01-05 00:56:21.760,2017-01-13 00:56:22.760,32
2017-01-05 01:07:00.170,2017-01-13 01:07:01.170,50
2017-01-05 01:20:20.280,2017-01-13 01:20:21.280,16
2017-01-05 01:55:32.760,2017-01-13 01:55:33.760,2
2017-01-05 01:57:06.450,2017-01-13 01:57:07.450,38
2017-01-05 01:58:04.270,2017-01-13 01:58:05.270,37
2017-01-05 02:21:05.450,2017-01-13 02:21:06.450,35
2017-01-05 02:43:38.780,2017-01-13 02:43:39.780,31
2017-01-05 02:57:28.760,2017-01-13 02:57:29.760,30
2017-01-05 03:13:20.380,2017-01-13 03:13:21.380,28
2017-01-05 04:00:56.730,2017-01-13 04:00:57.730,38
2017-01-05 05:52:47.580,2017-01-13 05:52:48.580,14
2017-01-05 06:22:58.060,2017-01-13 06:22:59.060,22
2017-01-05 07:06:40.460,2017-01-13 07:06:41.460,26
2017-01-05 07:11:05.650,2017-01-13 07:11:06.650,29
2017-01-05 07:30:27.520,2017-01-13 07:30:28.520,36
2017-01-05 07:41:56.360,2017-01-13 07:41:57.360,48
2017-01-05 08:31:36.060,2017-01-13 08:31:37.060,43
2017-01-05 08:54:08.370,2017-01-13 08:54:09.370,22
2017-01-05 09:16:24.330,2017-01-13 09:16:25.330,20
2017-01-05 09:19:22.320,2017-01-13 09:19:23.320,36
2017-01-05 10:03:37.820,2017-01-13 10:03:38.820,21
2017-01-05 10:11:20.030,2017-01-13 10:11:21.030,38
2017-01-05 10:28:03.030,2017-01-13 10:28:04.030,37
2017-01-05 12:13:01.140,2017-01-13 12:13:02.140,5
2017-01-05 12:13:30.140,2017-01-13 12:13:31.140,10
2017-01-05 13:05:53.150,2017-01-13 13:05:54.150,8
2017-01-05 14:13:33.250,2017-01-13 14:13:34.250,32
2017-01-05 15:01:26.310,2017-01-13 15:01:27.310,34
2017-01-05 15:37:48.820,2017-01-13 15:37:49.820,34
2017-01-05 16:42:23.930,2017-01-13 16:42:24.930,16
2017-01-05 18:57:07.070,2017-01-13 18:57:08.070,2
2017-01-05 21:13:04.270,2017-01-13 21:13:05.270,34
2017-01-05 21:15:04.580,2017-01-13 21:15:05.580,22
2017-01-05 21:36:05.870,2017-01-13 21:36:06.870,43
2017-01-05 21:46:38.860,2017-01-13 21:46:39.860,25
2017-01-05 22:02:10.740,2017-01-13 22:02:11.740,24
2017-01-05 22:12:28.140,2017-01-13 22:12:29.140,48
2017-01-06 00:02:33.490,2017-01-14 00:02:34.490,19
2017-01-06 00:30:00.880,2017-01-14 00:30:01.880,40
2017-01-06 00:49:45.790,2017-01-14 00:49:46.790,13
2017-01-06 01:21:55.390,2017-01-14 01:21:56.390,10
2017-01-06 02:25:02.110,2017-01-14 02:25:03.110,29
2017-01-06 02:51:01.340,2017-01-14 02:51:02.340,36
2017-01-06 03:47:03.630,2017-01-14 03:47:04.630,10
2017-01-06 03:47:11.040,2017-01-14 03:47:12.040,16
2017-01-06 03:47:43.850,2017-01-14 03:47:44.850,20
2017-01-06 04:49:00.770,2017-01-14 04:49:01.770,37
2017-01-06 04:52:13.420,2017-01-14 04:52:14.420,15
2017-01-06 04:53:25.390,2017-01-14 04:53:26.390,1
2017-01-06 04:58:02.700,2017-01-14 04:58:03.700,19
2017-01-06 05:06:14.320,2017-01-14 05:06:15.320,36
2017-01-06 05:07:05.160,2017-01-14 05:07:06.160,37
2017-01-06 05:10:31.390,2017-01-14 05:10:32.390,33
2017-01-06 05:24:52.550,2017-01-14 05:24:53.550,34
2017-01-06 05:36:25.570,2017-01-14 05:36:26.570,26
2017-01-06 06:22:00.920,2017-01-14 06:22:01.920,28
2017-01-06 06:31:08.000,2017-01-14 06:31:09.000,39
2017-01-06 06:31:39.440,2017-01-14 06:31:40.440,21
2017-01-06 07:21:43.550,2017-01-14 07:21:44.550,43
2017-01-06 08:02:37.540,2017-01-14 08:02:38.540,18
2017-01-06 08:03:55.830,2017-01-14 08:03:56.830,39
2017-01-06 08:42:47.230,2017-01-14 08:42:48.230,12
2017-01-06 09:09:23.520,2017-01-14 09:09:24.520,45
2017-01-06 09:45:12.080,2017-01-14 09:45:13.080,2
2017-01-06 10:35:04.260,2017-01-14 10:35:05.260,4
2017-01-06 10:53:34.150,2017-01-14 10:53:35.150,24
2017-01-06 11:18:06.880,2017-01-14 11:18:07.880,34
2017-01-06 11:34:02.070,2017-01-14 11:34:03.070,3
2017-01-06 11:47:21.190,2017-01-14 11:47:22.190,29
2017-01-06 12:36:26.590,2017-01-14 12:36:27.590,20
2017-01-06 12:39:16.960,2017-01-14 12:39:17.960,14
2017-01-06 13:54:25.410,2017-01-14 13:54:26.410,41
2017-01-06 14:14:00.350,2017-01-14 14:14:01.350,36
2017-01-06 14:50:35.670,2017-01-14 14:50:36.670,25
2017-01-06 15:33:38.870,2017-01-14 15:33:39.870,3
2017-01-06 15:43:33.320,2017-01-14 15:43:34.320,16
2017-01-06 16:33:40.360,2017-01-14 16:33:41.360,6
2017-01-06 16:48:00.850,2017-01-14 16:48:01.850,27
2017-01-06 18:04:25.330,2017-01-14 18:04:26.330,40
2017-01-06 19:23:35.750,2017-01-14 19:23:36.750,45
2017-01-06 19:36:25.740,2017-01-14 19:36:26.740,34
2017-01-06 19:51:30.250,2017-01-14 19:51:31.250,16
2017-01-06 21:00:08.340,2017-01-14 21:00:09.340,13
2017-01-06 21:50:59.460,2017-01-14 21:51:00.460,20
2017-01-06 22:02:52.310,2017-01-14 22:02:53.310,12
2017-01-06 23:13:30.960,2017-01-14 23:13:31.960,33
2017-01-07 00:15:53.750,2017-01-15 00:15:54.750,36
2017-01-07 00:17:30.850,2017-01-15 00:17:31.850,47
2017-01-07 00:30:44.700,2017-01-15 00:30:45.700,3
2017-01-07 01:18:26.200,2017-01-15 01:18:27.200,12
2017-01-07 02:48:35.550,2017-01-15 02:48:36.550,50
2017-01-07 02:52:51.470,2017-01-15 02:52:52.470,40
2017-01-07 02:57:01.370,2017-01-15 02:57:02.370,28
2017-01-07 02:57:50.990,2017-01-15 02:57:51.990,21
2017-01-07 03:30:47.530,2017-01-15 03:30:48.530,26
2017-01-07 04:16:21.180,2017-01-15 04:16:22.180,6
2017-01-07 05:04:36.490,2017-01-15 05:04:37.490,3
2017-01-07 05:38:28.300,2017-01-15 05:38:29.300,3
2017-01-07 05:41:39.220,2017-01-15 05:41:40.220,49
2017-01-07 05:57:15.300,2017-01-15 05:57:16.300,16
2017-01-07 05:58:52.700,2017-01-15 05:58:53.700,50
2017-01-07 06:51:46.140,2017-01-15 06:51:47.140,41
2017-01-07 06:54:57.910,2017-01-15 06:54:58.910,15
2017-01-07 07:23:14.240,2017-01-15 07:23:15.240,9
2017-01-07 07:26:38.990,2017-01-15 07:26:39.990,22
2017-01-07 07:41:12.590,2017-01-15 07:41:13.590,9
2017-01-07 07:51:46.920,2017-01-15 07:51:47.920,48
2017-01-07 08:05:50.610,2017-01-15 08:05:51.610,23
2017-01-07 08:08:19.620,2017-01-15 08:08:20.620,31
2017-01-07 08:11:09.260,2017-01-15 08:11:10.260,25
2017-01-07 08:19:48.590,2017-01-15 08:19:49.590,47
2017-01-07 09:27:51.450,2017-01-15 09:27:52.450,8
2017-01-07 09:34:30.410,2017-01-15 09:34:31.410,15
2017-01-07 10:13:49.970,2017-01-15 10:13:50.970,9
2017-01-07 11:02:40.790,2017-01-15 11:02:41.790,49
2017-01-07 11:22:11.150,2017-01-15 11:22:12.150,30
2017-01-07 11:48:14.310,2017-01-15 11:48:15.310,18
2017-01-07 12:37:08.030,2017-01-15 12:37:09.030,43
2017-01-07 13:36:39.710,2017-01-15 13:36:40.710,29
2017-01-07 13:37:27.760,2017-01-15 13:37:28.760,36
2017-01-07 13:43:45.790,2017-01-15 13:43:46.790,2
2017-01-07 14:21:00.670,2017-01-15 14:21:01.670,5
2017-01-07 15:08:09.890,2017-01-15 15:08:10.890,28
2017-01-07 15:14:55.830,2017-01-15 15:14:56.830,31
2017-01-07 15:40:39.040,2017-01-15 15:40:40.040,36
2017-01-07 15:55:00.190,2017-01-15 15:55:01.190,49
2017-01-07 16:10:18.590,2017-01-15 16:10:19.590,42
2017-01-07 16:31:51.430,2017-01-15 16:31:52.430,14
2017-01-07 16:52:13.550,2017-01-15 16:52:14.550,11
2017-01-07 17:07:10.670,2017-01-15 17:07:11.670,31
2017-01-07 18:16:10.550,2017-01-15 18:16:11.550,38
2017-01-07 19:29:09.860,2017-01-15 19:29:10.860,8
2017-01-07 20:11:56.770,2017-01-15 20:11:57.770,24
2017-01-07 21:12:25.470,2017-01-15 21:12:26.470,10
2017-01-07 21:25:54.810,2017-01-15 21:25:55.810,10
2017-01-07 21:34:17.860,2017-01-15 21:34:18.860,26
2017-01-07 21:41:14.230,2017-01-15 21:41:15.230,50
2017-01-07 22:47:50.630,2017-01-15 22:47:51.630,24
2017-01-07 23:16:10.770,2017-01-15 23:16:11.770,15
2017-01-07 23:50:46.420,2017-01-15 23:50:47.420,48
2017-01-08 00:12:48.890,2017-01-16 00:12:49.890,17
2017-01-08 00:39:04.990,2017-01-16 00:39:05.990,30
2017-01-08 00:53:36.880,2017-01-16 00:53:37.880,36
2017-01-08 01:33:10.060,2017-01-16 01:33:11.060,11
2017-01-08 02:40:58.720,2017-01-16 02:40:59.720,1
2017-01-08 03:14:14.960,2017-01-16 03:14:15.960,17
2017-01-08 03:22:30.320,2017-01-16 03:22:31.320,12
2017-01-08 03:47:00.380,2017-01-16 03:47:01.380,40
2017-01-08 03:55:55.820,2017-01-16 03:55:56.820,25
2017-01-08 04:20:54.830,2017-01-16 04:20:55.830,19
2017-01-08 04:41:47.640,2017-01-16 04:41:48.640,46
2017-01-08 05:35:47.890,2017-01-16 05:35:48.890,48
2017-01-08 06:12:23.430,2017-01-16 06:12:24.430,29
2017-01-08 06:23:48.510,2017-01-16 06:23:49.510,29
2017-01-08 06:42:24.380,2017-01-16 06:42:25.380,34
2017-01-08 07:23:05.620,2017-01-16 07:23:06.620,28
2017-01-08 07:24:22.700,2017-01-16 07:24:23.700,28
2017-01-08 07:46:19.790,2017-01-16 07:46:20.790,20
2017-01-08 07:49:33.010,2017-01-16 07:49:34.010,39
2017-01-08 07:52:08.760,2017-01-16 07:52:09.760,19
2017-01-08 07:53:09.480,2017-01-16 07:53:10.480,40
2017-01-08 08:03:57.900,2017-01-16 08:03:58.900,42
2017-01-08 08:11:02.470,2017-01-16 08:11:03.470,38
2017-01-08 08:24:03.420,2017-01-16 08:24:04.420,15
2017-01-08 08:50:41.260,2017-01-16 08:50:42.260,17
2017-01-08 08:56:03.640,2017-01-16 08:56:04.640,2
2017-01-08 09:04:49.360,2017-01-16 09:04:50.360,19
2017-01-08 11:21:02.210,2017-01-16 11:21:03.210,2
2017-01-08 11:59:25.880,2017-01-16 11:59:26.880,34
2017-01-08 12:02:52.790,2017-01-16 12:02:53.790,39
2017-01-08 12:42:02.170,2017-01-16 12:42:03.170,46
2017-01-08 14:39:03.490,2017-01-16 14:39:04.490,22
2017-01-08 14:58:12.270,2017-01-16 14:58:13.270,7
2017-01-08 15:24:10.110,2017-01-16 15:24:11.110,30
2017-01-08 15:25:29.970,2017-01-16 15:25:30.970,8
2017-01-08 15:50:12.820,2017-01-16 15:50:13.820,10
2017-01-08 15:55:13.960,2017-01-16 15:55:14.960,42
2017-01-08 17:07:17.630,2017-01-16 17:07:18.630,15
2017-01-08 18:07:33.860,2017-01-16 18:07:34.860,34
2017-01-08 18:29:16.660,2017-01-16 18:29:17.660,34
2017-01-08 19:24:52.520,2017-01-16 19:24:53.520,6
2017-01-08 19:43:05.520,2017-01-16 19:43:06.520,27
2017-01-08 20:13:34.610,2017-01-16 20:13:35.610,8
2017-01-08 20:25:22.900,2017-01-16 20:25:23.900,46
2017-01-08 20:56:25.520,2017-01-16 20:56:26.520,26
2017-01-08 21:29:50.410,2017-01-16 21:29:51.410,44
2017-01-08 21:53:58.280,2017-01-16 21:53:59.280,10
2017-01-08 22:16:06.120,2017-01-16 22:16:07.120,5
2017-01-08 22:17:39.240,2017-01-16 22:17:40.240,13
2017-01-08 23:42:21.440,2017-01-16 23:42:22.440,40
2017-01-09 01:08:55.170,2017-01-17 01:08:56.170,38
2017-01-09 01:29:08.390,2017-01-17 01:29:09.390,30
2017-01-09 02:09:40.800,2017-01-17 02:09:41.800,47
2017-01-09 03:23:49.410,2017-01-17 03:23:50.410,44
2017-01-09 03:57:10.710,2017-01-17 03:57:11.710,4
2017-01-09 04:24:44.590,2017-01-17 04:24:45.590,25
2017-01-09 04:59:00.480,2017-01-17 04:59:01.480,3
2017-01-09 05:26:01.320,2017-01-17 05:26:02.320,11
2017-01-09 05:32:31.530,2017-01-17 05:32:32.530,37
2017-01-09 06:03:23.120,2017-01-17 06:03:24.120,5
2017-01-09 06:18:49.030,2017-01-17 06:18:50.030,19
2017-01-09 06:27:53.770,2017-01-17 06:27:54.770,46
2017-01-09 06:36:17.050,2017-01-17 06:36:18.050,17
2017-01-09 07:12:01.910,2017-01-17 07:12:02.910,30
2017-01-09 07:24:10.640,2017-01-17 07:24:11.640,50
2017-01-09 07:45:31.600,2017-01-17 07:45:32.600,6
2017-01-09 09:03:09.390,2017-01-17 09:03:10.390,4
2017-01-09 10:04:44.010,2017-01-17 10:04:45.010,2
2017-01-09 10:38:53.440,2017-01-17 10:38:54.440,49
2017-01-09 10:55:30.540,2017-01-17 10:55:31.540,29
2017-01-09 11:01:02.660,2017-01-17 11:01:03.660,27
2017-01-09 11:08:17.640,2017-01-17 11:08:18.640,42
2017-01-09 12:02:31.330,2017-01-17 12:02:32.330,42
2017-01-09 13:32:54.450,2017-01-17 13:32:55.450,24
2017-01-09 13:56:13.790,2017-01-17 13:56:14.790,42
2017-01-09 14:54:42.450,2017-01-17 14:54:43.450,15
2017-01-09 14:59:25.270,2017-01-17 14:59:26.270,27
2017-01-09 15:02:15.340,2017-01-17 15:02:16.340,26
2017-01-09 15:02:16.340,2017-01-17 15:02:17.340,41
2017-01-09 15:08:28.710,2017-01-17 15:08:29.710,46
2017-01-09 15:37:50.730,2017-01-17 15:37:51.730,24
2017-01-09 15:58:31.520,2017-01-17 15:58:32.520,23
2017-01-09 15:58:45.210,2017-01-17 15:58:46.210,26
2017-01-09 16:33:55.630,2017-01-17 16:33:56.630,19
2017-01-09 16:58:46.590,2017-01-17 16:58:47.590,23
2017-01-09 17:18:20.000,2017-01-17 17:18:21.000,33
2017-01-09 18:25:56.100,2017-01-17 18:25:57.100,10
2017-01-09 18:30:39.580,2017-01-17 18:30:40.580,13
2017-01-09 18:42:42.510,2017-01-17 18:42:43.510,13
2017-01-09 18:48:12.660,2017-01-17 18:48:13.660,38
2017-01-09 18:53:52.700,2017-01-17 18:53:53.700,38
2017-01-09 19:09:20.750,2017-01-17 19:09:21.750,35
2017-01-09 19:14:18.460,2017-01-17 19:14:19.460,9
2017-01-09 19:22:40.870,2017-01-17 19:22:41.870,25
2017-01-09 21:24:39.140,2017-01-17 21:24:40.140,33
2017-01-09 22:47:52.270,2017-01-17 22:47:53.270,35
2017-01-09 22:50:08.500,2017-01-17 22:50:09.500,41
2017-01-09 23:38:23.300,2017-01-17 23:38:24.300,16
2017-01-09 23:52:10.870,2017-01-17 23:52:11.870,16
2017-01-10 00:13:53.130,2017-01-18 00:13:54.130,12
2017-01-10 02:55:21.000,2017-01-18 02:55:22.000,36
2017-01-10 03:24:50.810,2017-01-18 03:24:51.810,31
2017-01-10 03:41:28.060,2017-01-18 03:41:29.060,47
2017-01-10 03:53:52.430,2017-01-18 03:53:53.430,5
2017-01-10 05:07:33.490,2017-01-18 05:07:34.490,13
2017-01-10 06:27:40.960,2017-01-18 06:27:41.960,41
