utilityCostNumber,electricityUnitRate,waterUnitRate,utilityTimeCreated,utilityRentalNumber,utilityStartingTime,utilityBillingNumber,utilityLineNumber
20,7.0000,1.0000,2017-01-28 02:11:45.640,42,2018-06-09 09:58:02.140,16,127312
21,7.0000,1.0000,2019-08-18 19:44:48.060,109,2019-06-01 07:07:31.560,42,105494
22,7.0000,1.0000,2019-01-15 11:01:54.340,114,2017-08-01 06:16:24.570,44,63650
23,7.0000,1.0000,2018-02-10 11:02:55.420,133,2017-08-30 23:12:48.810,52,6672
24,7.0000,1.0000,2017-11-16 20:21:23.430,5,2018-01-13 05:41:20.550,2,62874
25,7.0000,1.0000,2019-11-20 10:20:06.400,94,2018-01-10 18:02:46.060,36,22292
26,7.0000,1.0000,2018-05-12 09:02:07.500,70,2019-01-31 16:59:13.920,27,54225
27,7.0000,1.0000,2017-03-10 15:10:42.990,125,2019-02-20 03:31:27.490,49,14471
28,7.0000,1.0000,2019-03-02 10:13:38.980,92,2018-11-02 05:00:58.300,35,84388
29,7.0000,1.0000,2018-07-24 01:41:16.340,73,2018-03-19 05:11:27.690,28,44230
30,7.0000,1.0000,2019-04-14 08:28:37.560,11,2018-12-07 06:12:06.500,5,18614
31,7.0000,1.0000,2018-06-24 12:43:26.610,25,2017-07-10 14:24:09.420,10,27248
32,7.0000,1.0000,2017-05-04 03:37:11.790,61,2018-05-28 07:16:26.570,23,43478
33,7.0000,1.0000,2018-01-02 05:55:39.720,40,2019-02-04 22:37:53.270,16,312
34,7.0000,1.0000,2017-05-15 10:51:46.360,132,2019-07-26 05:36:26.880,51,129807
35,7.0000,1.0000,2018-06-08 15:26:00.900,86,2018-06-13 16:28:16.200,33,21024
36,7.0000,1.0000,2019-06-12 05:38:16.130,102,2018-12-29 12:09:15.470,39,101477
37,7.0000,1.0000,2018-11-23 04:28:21.860,136,2018-01-05 04:54:20.260,53,21442
38,7.0000,1.0000,2018-06-14 15:33:16.370,51,2017-12-18 13:27:57.990,20,6575
39,7.0000,1.0000,2017-11-05 14:01:35.950,46,2018-12-27 16:31:16.750,18,14260
40,7.0000,1.0000,2017-02-15 06:02:49.660,128,2018-05-31 20:37:47.960,50,13974
41,7.0000,1.0000,2019-03-25 11:25:11.950,68,2017-04-07 21:29:35.030,26,35089
42,7.0000,1.0000,2018-04-08 21:37:22.930,96,2018-01-09 21:19:28.310,37,17425
43,7.0000,1.0000,2019-07-18 15:44:06.270,16,2017-01-05 03:53:06.920,7,6448
44,7.0000,1.0000,2018-01-20 19:49:56.720,135,2019-04-05 02:28:45.900,53,3486
45,7.0000,1.0000,2017-01-10 19:57:25.020,121,2018-06-23 03:17:59.310,47,85377
46,7.0000,1.0000,2019-02-24 05:46:43.210,107,2017-04-18 02:47:27.750,41,78274
47,7.0000,1.0000,2018-12-04 15:12:06.280,45,2018-08-26 17:20:24.970,17,127190
48,7.0000,1.0000,2019-07-19 04:34:53.920,61,2019-02-09 19:19:05.740,23,85478
49,7.0000,1.0000,2019-07-06 13:53:22.800,20,2017-06-01 19:59:56.940,8,62637
50,7.0000,1.0000,2019-05-14 09:27:44.860,30,2017-08-31 00:28:15.480,12,6325
51,7.0000,1.0000,2017-12-30 10:02:22.430,55,2018-08-04 09:29:03.270,21,27444
52,7.0000,1.0000,2019-08-07 16:34:48.430,96,2019-08-02 21:16:39.700,37,35142
53,7.0000,1.0000,2019-11-14 15:27:10.440,83,2018-06-17 08:58:55.810,32,2440
54,7.0000,1.0000,2018-10-28 23:38:35.530,65,2018-09-09 17:08:11.780,25,28243
55,7.0000,1.0000,2018-01-01 09:26:42.780,26,2018-03-23 09:21:12.380,10,79722
56,7.0000,1.0000,2017-07-13 19:49:59.440,117,2018-12-08 07:22:56.650,46,10247
57,7.0000,1.0000,2018-08-21 07:50:19.400,110,2018-03-22 23:39:02.920,43,20856
58,7.0000,1.0000,2019-01-09 01:48:31.560,99,2017-10-05 11:46:05.550,38,21860
59,7.0000,1.0000,2019-11-25 23:28:41.450,115,2017-05-30 05:26:19.240,45,6650
60,7.0000,1.0000,2017-06-09 00:06:00.120,91,2019-05-21 09:21:35.540,35,18720
61,7.0000,1.0000,2019-01-03 01:42:00.850,84,2017-09-14 21:31:38.680,32,17355
62,7.0000,1.0000,2018-04-09 12:18:08.230,29,2019-08-05 07:47:20.080,11,128929
63,7.0000,1.0000,2019-05-19 06:07:13.050,120,2017-06-22 16:54:23.800,47,3368
64,7.0000,1.0000,2019-01-11 06:49:14.320,120,2017-12-15 11:14:39.700,47,6960
65,7.0000,1.0000,2017-03-10 16:45:43.020,12,2017-04-28 01:36:11.760,5,41668
66,7.0000,1.0000,2017-10-27 09:29:10.940,112,2018-08-09 04:10:35.170,44,3181
67,7.0000,1.0000,2018-12-19 01:43:19.370,23,2017-02-13 19:17:59.120,9,63575
68,7.0000,1.0000,2019-08-20 14:59:09.790,86,2019-01-08 15:30:09.860,33,34623
69,7.0000,1.0000,2019-08-26 11:40:20.080,111,2017-04-11 19:05:28.070,43,22444
70,7.0000,1.0000,2019-04-27 05:30:26.140,30,2017-03-13 23:40:39.360,12,610
71,7.0000,1.0000,2017-07-02 08:26:41.290,134,2017-06-16 17:57:30.980,52,53044
72,7.0000,1.0000,2018-07-28 06:33:29.090,64,2019-05-12 04:11:33.200,25,4358
73,7.0000,1.0000,2019-05-20 19:42:47.730,87,2019-05-31 01:15:47.150,33,126024
74,7.0000,1.0000,2018-03-27 16:19:40.830,97,2017-08-10 16:28:27.740,37,42386
75,7.0000,1.0000,2017-10-27 14:46:33.690,108,2019-08-06 02:15:31.940,42,36066
76,7.0000,1.0000,2018-05-21 22:07:25.120,14,2017-05-01 02:12:57.460,6,10662
77,7.0000,1.0000,2019-06-21 19:17:48.080,98,2018-09-26 17:49:10.690,38,860
78,7.0000,1.0000,2017-01-30 15:12:58.690,141,2017-06-30 17:51:13.490,55,6477
79,7.0000,1.0000,2017-11-16 00:23:58.410,17,2018-10-05 15:59:39.080,7,43195
80,7.0000,1.0000,2017-10-06 04:33:23.180,121,2017-12-10 21:35:51.300,47,64377
81,7.0000,1.0000,2019-05-30 17:50:01.220,25,2018-08-07 22:17:37.090,10,41811
82,7.0000,1.0000,2017-08-14 10:35:49.070,64,2017-11-04 09:03:00.610,24,105226
83,7.0000,1.0000,2019-08-18 20:20:16.180,72,2019-07-12 23:32:20.060,28,17562
84,7.0000,1.0000,2019-03-03 16:13:31.490,44,2017-06-14 08:59:04.070,17,35095
85,7.0000,1.0000,2018-04-24 22:26:15.130,90,2018-05-06 08:02:30.890,34,126211
86,7.0000,1.0000,2018-11-08 20:08:38.190,63,2017-10-02 10:09:06.670,24,27443
87,7.0000,1.0000,2017-06-11 12:10:01.350,112,2017-01-26 23:23:57.150,43,85444
88,7.0000,1.0000,2019-02-26 06:17:04.200,144,2017-05-10 01:19:20.440,56,27458
89,7.0000,1.0000,2019-05-06 01:25:03.590,106,2019-08-11 11:14:58.040,41,63424
90,7.0000,1.0000,2017-12-05 19:36:01.450,103,2017-07-07 02:57:25.570,39,131081
91,7.0000,1.0000,2017-10-31 21:47:56.730,126,2017-01-07 20:08:50.220,49,21742
92,7.0000,1.0000,2019-11-06 02:39:50.300,40,2017-06-19 08:15:58.110,15,101078
93,7.0000,1.0000,2018-07-11 16:04:34.930,70,2017-12-23 11:48:17.770,27,29006
94,7.0000,1.0000,2017-06-08 13:55:35.820,89,2017-09-04 05:05:13.000,34,34749
95,7.0000,1.0000,2018-02-04 04:20:48.810,45,2017-01-16 06:30:58.370,17,84190
96,7.0000,1.0000,2017-12-25 23:07:03.720,39,2017-02-14 23:53:00.250,15,23003
97,7.0000,1.0000,2018-11-12 15:30:09.890,110,2017-08-01 14:37:02.400,43,1444
98,7.0000,1.0000,2017-07-17 08:54:51.940,30,2017-12-01 23:19:48.510,12,10231
99,7.0000,1.0000,2017-11-22 03:04:13.700,25,2017-04-18 16:44:38.410,10,22363
100,7.0000,1.0000,2019-03-08 10:28:14.090,9,2019-07-08 02:03:30.300,4,45251
101,7.0000,1.0000,2017-03-18 04:03:23.840,142,2017-04-24 21:14:57.960,55,52289
102,7.0000,1.0000,2019-04-08 00:12:56.500,93,2018-04-15 20:14:10.360,36,1292
103,7.0000,1.0000,2019-11-14 16:54:33.850,84,2019-04-06 07:23:34.480,32,65440
104,7.0000,1.0000,2017-03-21 08:22:56.660,124,2018-03-05 02:16:52.610,48,126978
105,7.0000,1.0000,2018-11-22 01:01:03.560,140,2019-03-10 03:04:57.320,54,128933
106,7.0000,1.0000,2019-05-27 03:28:53.340,124,2018-07-09 02:45:22.410,48,127978
107,7.0000,1.0000,2017-03-29 20:52:00.690,9,2019-03-07 15:42:10.110,4,28377
108,7.0000,1.0000,2018-08-29 23:07:29.610,120,2018-10-03 17:07:26.850,47,22377
109,7.0000,1.0000,2018-01-11 08:52:01.830,91,2019-04-07 09:02:45.890,35,16007
110,7.0000,1.0000,2019-08-04 11:19:17.660,13,2017-07-31 23:24:31.350,5,102614
111,7.0000,1.0000,2018-01-14 00:32:11.370,20,2018-04-12 23:04:50.420,8,84964
112,7.0000,1.0000,2018-07-31 16:37:20.700,14,2019-05-27 08:00:02.900,6,42121
113,7.0000,1.0000,2018-03-05 01:24:33.150,82,2017-05-08 02:17:25.510,31,62663
114,7.0000,1.0000,2019-03-01 18:55:18.260,128,2017-02-10 15:49:28.280,50,958
115,7.0000,1.0000,2018-01-01 06:15:58.910,66,2018-04-14 18:02:54.950,25,51998
116,7.0000,1.0000,2018-05-31 15:06:11.770,20,2018-03-30 08:20:18.250,8,76860
117,7.0000,1.0000,2018-08-13 15:57:52.050,136,2019-01-27 15:11:23.200,53,41930
118,7.0000,1.0000,2017-03-27 13:53:41.550,76,2019-08-22 23:08:31.300,29,62664
119,7.0000,1.0000,2017-09-28 08:22:59.180,30,2018-03-04 09:37:42.900,12,21610
120,7.0000,1.0000,2018-04-23 20:37:04.830,83,2018-05-23 14:21:46.840,31,128016
121,7.0000,1.0000,2017-05-27 21:19:09.580,1,2019-06-28 06:14:33.880,1,17171
122,7.0000,1.0000,2019-10-14 19:26:15.170,48,2019-03-07 15:44:21.560,18,127506
123,7.0000,1.0000,2017-04-26 13:34:06.200,114,2018-05-09 17:42:50.290,44,84650
124,7.0000,1.0000,2018-09-30 16:04:18.630,9,2017-05-28 01:07:37.330,4,9818
125,7.0000,1.0000,2018-07-06 07:42:29.410,38,2018-05-28 01:25:35.660,15,2619
126,7.0000,1.0000,2017-08-18 05:46:51.000,94,2019-07-09 02:31:49.120,36,64292
127,7.0000,1.0000,2017-01-26 14:28:54.160,128,2019-05-03 13:11:11.510,50,18435
128,7.0000,1.0000,2018-12-22 05:47:11.900,138,2017-11-29 05:06:39.420,54,6315
129,7.0000,1.0000,2017-03-02 11:58:52.010,52,2017-07-01 17:44:08.620,20,27575
130,7.0000,1.0000,2019-10-24 15:39:29.980,146,2018-07-18 00:08:19.600,57,22492
131,7.0000,1.0000,2019-07-01 06:37:15.230,38,2018-05-18 08:23:10.130,15,2003
132,7.0000,1.0000,2018-12-15 10:22:56.130,68,2017-07-03 01:58:24.180,26,43962
133,7.0000,1.0000,2019-03-02 12:08:45.000,71,2018-06-26 12:51:37.420,27,101792
134,7.0000,1.0000,2018-09-01 13:55:44.330,8,2018-01-24 19:26:40.180,3,107114
135,7.0000,1.0000,2017-07-31 00:29:59.340,151,2018-01-29 22:51:11.070,59,37563
136,7.0000,1.0000,2017-03-03 17:37:04.720,66,2019-04-17 07:08:22.650,25,129402
137,7.0000,1.0000,2017-09-21 17:41:15.230,113,2017-08-02 00:57:04.470,44,42650
138,7.0000,1.0000,2019-06-09 11:57:19.510,82,2019-02-07 02:30:56.460,31,102008
139,7.0000,1.0000,2017-04-21 15:12:27.920,14,2019-02-08 17:36:28.330,6,27474
140,7.0000,1.0000,2018-11-20 18:57:21.790,100,2017-03-29 02:43:35.800,38,84860
141,7.0000,1.0000,2018-08-21 23:16:37.500,54,2017-09-09 14:06:50.560,20,128181
142,7.0000,1.0000,2018-10-04 13:02:31.750,125,2018-12-13 15:58:42.590,49,10033
143,7.0000,1.0000,2018-02-24 21:25:02.360,17,2019-08-04 23:26:19.620,7,101602
144,7.0000,1.0000,2019-09-23 14:05:45.930,137,2018-07-04 09:54:33.110,53,84442
145,7.0000,1.0000,2019-11-13 19:03:50.090,83,2017-05-13 13:51:39.070,31,125663
146,7.0000,1.0000,2019-03-25 05:10:36.030,111,2017-11-27 09:12:39.260,43,53739
147,7.0000,1.0000,2018-09-13 01:15:17.150,92,2018-04-28 12:25:20.370,35,63388
148,7.0000,1.0000,2019-05-03 21:09:16.670,149,2018-11-13 08:13:39.460,58,102154
149,7.0000,1.0000,2019-05-30 07:39:36.920,23,2017-09-19 00:51:25.540,9,84575
150,7.0000,1.0000,2019-08-28 13:14:37.040,25,2017-01-08 13:21:05.950,10,17094
151,7.0000,1.0000,2019-05-06 07:09:11.670,149,2017-06-13 14:10:41.290,58,42134
152,7.0000,1.0000,2018-08-28 01:36:28.340,34,2017-08-28 22:47:02.780,13,81634
153,7.0000,1.0000,2019-10-11 00:31:52.760,133,2019-08-28 17:08:28.660,52,34699
154,7.0000,1.0000,2019-07-23 06:27:08.870,76,2019-02-07 11:27:20.180,29,51972
155,7.0000,1.0000,2018-10-21 13:09:04.500,9,2017-10-08 03:39:15.090,4,13481
156,7.0000,1.0000,2017-05-26 08:37:08.670,36,2017-01-02 17:30:28.480,14,20772
157,7.0000,1.0000,2018-12-22 10:38:50.290,113,2017-04-06 16:56:34.910,44,17436
158,7.0000,1.0000,2018-02-24 00:50:15.210,154,2018-03-22 21:53:57.200,60,63522
159,7.0000,1.0000,2018-09-07 00:40:27.260,86,2019-06-01 23:20:49.010,33,42024
160,7.0000,1.0000,2018-04-15 19:14:12.560,69,2018-10-07 10:21:52.220,27,8006
161,7.0000,1.0000,2019-05-10 12:59:59.180,130,2018-04-01 18:54:51.650,50,127958
162,7.0000,1.0000,2018-03-30 15:04:48.800,11,2017-10-02 16:40:39.870,5,3563
163,7.0000,1.0000,2018-07-09 11:08:37.590,69,2017-04-18 13:36:37.750,26,106962
164,7.0000,1.0000,2018-03-11 17:12:31.860,21,2017-10-16 17:33:49.830,8,128964
165,7.0000,1.0000,2017-02-13 04:42:02.430,109,2018-03-21 16:17:08.890,42,78066
166,7.0000,1.0000,2019-01-21 14:09:15.240,138,2018-12-24 02:02:48.340,54,9861
167,7.0000,1.0000,2019-05-23 04:28:35.700,77,2018-12-04 22:50:21.280,29,125664
168,7.0000,1.0000,2019-06-25 11:28:48.820,74,2018-05-30 21:41:38.830,28,101562
169,7.0000,1.0000,2018-08-11 18:25:18.920,90,2018-09-21 10:06:30.170,34,127211
170,7.0000,1.0000,2017-11-09 12:38:54.190,133,2018-04-19 14:59:28.320,52,20955
171,7.0000,1.0000,2017-09-18 21:24:56.540,41,2017-11-30 01:05:59.310,16,14940
172,7.0000,1.0000,2019-02-26 04:00:32.540,9,2018-04-29 18:12:56.090,4,18312
173,7.0000,1.0000,2019-11-27 22:41:13.640,62,2019-02-18 09:25:06.870,24,13459
174,7.0000,1.0000,2018-10-30 13:25:37.400,65,2017-08-17 12:47:50.300,25,9998
175,7.0000,1.0000,2019-08-24 21:20:27.340,29,2018-11-14 00:57:39.810,11,126929
176,7.0000,1.0000,2018-08-15 08:16:37.830,10,2017-11-30 19:40:59.080,4,76481
177,7.0000,1.0000,2018-08-29 22:01:12.810,31,2017-07-24 18:21:19.080,12,63610
178,7.0000,1.0000,2017-07-25 23:28:20.280,20,2018-05-10 21:58:06.520,8,101185
179,7.0000,1.0000,2018-11-08 21:00:28.540,60,2017-05-07 20:17:52.140,23,7326
180,7.0000,1.0000,2019-04-05 02:31:53.380,60,2019-06-21 04:52:37.550,23,28326
181,7.0000,1.0000,2018-11-27 04:31:33.850,3,2019-01-27 15:39:08.010,2,244
182,7.0000,1.0000,2017-09-16 17:19:37.490,52,2017-10-12 12:17:40.190,20,35253
183,7.0000,1.0000,2019-07-16 22:07:34.990,137,2017-03-20 03:15:54.520,53,51865
184,7.0000,1.0000,2017-06-26 22:44:14.980,27,2018-12-14 08:18:30.970,11,6223
185,7.0000,1.0000,2017-06-30 08:30:18.300,122,2018-12-29 00:18:50.800,48,6381
186,7.0000,1.0000,2017-11-13 05:00:46.890,4,2019-06-09 14:32:35.910,2,41874
187,7.0000,1.0000,2019-02-26 09:51:03.370,68,2018-06-22 08:50:14.820,26,77089
188,7.0000,1.0000,2019-08-02 05:41:36.140,129,2017-03-10 00:37:18.440,50,42958
189,7.0000,1.0000,2019-11-03 00:46:39.830,133,2018-01-31 23:59:46.460,52,13699
190,7.0000,1.0000,2017-03-16 15:52:50.660,3,2018-04-05 11:39:24.210,1,126836
191,7.0000,1.0000,2018-03-04 06:58:14.430,88,2017-07-06 01:43:03.420,33,127024
192,7.0000,1.0000,2019-07-20 16:51:00.020,38,2017-01-22 10:53:52.830,14,127879
193,7.0000,1.0000,2017-10-12 11:16:52.250,129,2019-07-22 17:14:55.720,50,102435
194,7.0000,1.0000,2018-12-28 19:58:15.370,79,2018-08-25 19:40:29.840,30,52155
195,7.0000,1.0000,2019-07-05 05:57:22.610,104,2017-11-15 20:52:13.300,40,27589
196,7.0000,1.0000,2017-06-03 08:11:48.690,43,2019-05-31 22:22:58.690,17,28892
197,7.0000,1.0000,2017-04-07 01:53:54.160,56,2018-02-12 05:22:44.850,21,105546
198,7.0000,1.0000,2019-12-08 04:12:30.500,130,2019-02-01 02:48:44.140,51,7050
199,7.0000,1.0000,2019-08-20 09:23:43.500,118,2019-03-12 10:04:37.080,46,52247
200,7.0000,1.0000,2017-11-02 04:54:34.850,130,2018-10-23 11:29:35.810,51,1807
201,7.0000,1.0000,2019-10-25 00:42:00.330,35,2017-03-27 01:00:20.000,13,127323
202,7.0000,1.0000,2019-03-12 13:46:28.330,18,2017-04-02 21:22:16.350,7,129195
203,7.0000,1.0000,2017-10-02 02:43:57.750,120,2018-04-19 12:16:55.610,47,10265
204,7.0000,1.0000,2018-07-30 19:00:42.720,24,2018-06-23 04:43:15.560,9,128575
205,7.0000,1.0000,2018-12-19 15:49:40.500,118,2018-04-01 22:39:28.350,46,28315
206,7.0000,1.0000,2017-03-20 03:08:39.130,73,2017-07-27 02:44:48.890,28,37639
207,7.0000,1.0000,2018-09-22 02:55:14.700,105,2018-07-09 10:54:09.430,41,10095
208,7.0000,1.0000,2017-12-21 11:06:15.360,69,2018-04-11 19:30:58.610,27,1899
209,7.0000,1.0000,2019-11-20 09:06:41.530,47,2018-12-15 05:39:27.000,18,62844
210,7.0000,1.0000,2017-03-18 04:52:26.670,137,2017-10-25 01:30:10.300,53,63442
211,7.0000,1.0000,2018-09-18 10:35:55.870,5,2018-02-26 20:38:56.650,2,63244
212,7.0000,1.0000,2018-06-08 11:10:30.010,93,2017-01-16 04:31:11.090,35,127388
213,7.0000,1.0000,2019-04-09 03:49:46.680,16,2019-06-07 04:15:31.670,7,17602
214,7.0000,1.0000,2019-05-26 22:08:33.880,141,2018-07-24 20:31:30.330,55,16185
215,7.0000,1.0000,2019-05-11 14:42:38.710,152,2017-06-01 19:04:17.230,59,85580
216,7.0000,1.0000,2018-09-02 19:40:21.680,78,2017-12-26 05:16:43.300,30,15276
217,7.0000,1.0000,2018-09-05 16:57:13.810,35,2019-03-19 10:32:13.920,14,13772
218,7.0000,1.0000,2018-01-22 12:24:22.610,42,2017-06-01 16:40:47.710,16,84312
219,7.0000,1.0000,2017-09-21 08:42:13.560,33,2017-07-27 05:15:49.570,13,17754
220,7.0000,1.0000,2019-03-24 23:41:15.540,105,2018-02-10 23:06:15.770,41,7068
221,7.0000,1.0000,2019-11-17 04:18:11.870,18,2017-05-27 08:05:35.570,8,964
222,7.0000,1.0000,2019-10-12 22:46:59.570,82,2018-06-19 20:47:44.500,31,84016
223,7.0000,1.0000,2019-08-14 10:42:09.000,75,2018-09-13 21:39:52.050,29,9972
224,7.0000,1.0000,2018-06-07 02:32:28.260,88,2017-12-05 03:50:56.500,34,211
225,7.0000,1.0000,2019-08-30 05:40:39.770,46,2018-07-27 04:46:58.940,18,6775
226,7.0000,1.0000,2018-02-21 04:33:56.520,4,2017-08-12 14:37:48.360,2,14614
227,7.0000,1.0000,2018-05-26 16:43:40.290,13,2018-03-31 10:47:02.030,6,121
228,7.0000,1.0000,2017-12-10 02:42:58.260,117,2018-11-07 15:42:54.360,46,7315
229,7.0000,1.0000,2019-04-19 07:28:14.790,95,2018-12-28 06:48:35.670,37,386
230,7.0000,1.0000,2019-04-02 13:08:38.640,119,2018-04-25 06:07:24.360,46,127502
231,7.0000,1.0000,2018-05-20 06:22:43.660,87,2019-04-07 08:45:45.910,33,105024
232,7.0000,1.0000,2018-09-13 17:48:42.310,161,2017-05-08 05:14:15.550,63,124
233,7.0000,1.0000,2017-11-27 14:04:36.780,36,2017-08-02 08:26:27.220,14,21879
234,7.0000,1.0000,2018-01-16 16:05:53.690,63,2019-05-07 15:16:53.030,24,84226
235,7.0000,1.0000,2019-06-03 01:49:53.050,26,2019-04-02 09:26:49.720,10,85363
236,7.0000,1.0000,2019-09-08 14:45:05.520,119,2017-02-25 01:05:12.400,46,78550
237,7.0000,1.0000,2019-12-07 14:35:39.750,66,2018-06-02 23:51:28.630,25,64402
238,7.0000,1.0000,2017-12-27 03:06:52.260,85,2019-05-25 23:29:26.760,33,2662
239,7.0000,1.0000,2018-06-30 06:54:34.480,43,2017-10-05 09:42:13.190,17,11818
240,7.0000,1.0000,2017-04-22 05:21:39.170,49,2019-07-25 15:28:23.730,19,22001
241,7.0000,1.0000,2019-02-13 02:05:32.190,33,2017-11-12 20:21:37.350,13,21323
242,7.0000,1.0000,2018-03-17 22:44:48.010,136,2018-09-30 22:49:31.550,53,35709
243,7.0000,1.0000,2019-09-03 20:34:54.610,82,2017-11-04 15:07:48.610,31,63016
244,7.0000,1.0000,2019-08-27 19:54:13.150,1,2017-10-15 20:03:21.900,1,6306
245,7.0000,1.0000,2018-06-20 05:16:54.790,132,2017-07-08 12:40:55.200,51,64807
246,7.0000,1.0000,2019-09-17 19:47:44.420,129,2017-02-10 14:03:22.850,50,34974
247,7.0000,1.0000,2017-04-22 13:01:13.340,21,2018-09-08 07:31:54.540,9,5494
248,7.0000,1.0000,2018-05-10 13:08:18.370,160,2017-12-12 15:35:56.240,62,84675
249,7.0000,1.0000,2019-08-11 05:15:36.660,12,2018-11-27 23:04:39.280,5,76724
250,7.0000,1.0000,2017-11-11 10:17:00.930,25,2018-10-02 09:09:32.880,10,43363
251,7.0000,1.0000,2018-09-19 15:14:34.890,150,2019-01-29 23:06:48.390,59,2698
252,7.0000,1.0000,2019-03-07 13:29:31.550,15,2018-01-15 23:52:02.050,6,84121
253,7.0000,1.0000,2019-03-28 19:30:16.940,98,2019-03-19 13:33:47.600,38,10442
254,7.0000,1.0000,2017-06-07 09:42:27.950,14,2017-06-19 12:53:22.160,6,15061
255,7.0000,1.0000,2017-12-08 00:36:22.980,112,2019-04-05 06:10:06.370,44,6886
256,7.0000,1.0000,2017-01-22 01:55:00.760,156,2017-02-11 18:37:26.850,61,9973
257,7.0000,1.0000,2019-07-21 03:04:19.340,77,2018-02-22 23:57:41.750,29,87032
258,7.0000,1.0000,2019-04-19 00:11:29.490,33,2017-07-15 12:50:30.200,13,9880
259,7.0000,1.0000,2018-11-22 13:20:02.960,112,2018-07-17 14:21:33.590,44,650
260,7.0000,1.0000,2017-11-07 11:15:43.970,115,2018-03-10 21:43:37.170,45,10136
261,7.0000,1.0000,2018-10-16 10:24:58.840,60,2018-04-19 08:13:19.740,23,12830
262,7.0000,1.0000,2017-10-23 00:12:16.430,140,2017-04-27 00:19:54.060,54,84933
263,7.0000,1.0000,2018-08-26 03:38:00.570,108,2017-10-08 23:53:49.350,42,7430
264,7.0000,1.0000,2017-08-29 19:58:02.890,62,2017-04-01 12:21:03.410,23,129478
265,7.0000,1.0000,2018-10-20 22:29:43.010,46,2017-05-31 05:05:27.180,18,4469
266,7.0000,1.0000,2017-01-14 16:47:13.550,105,2017-01-29 01:03:29.370,40,85482
267,7.0000,1.0000,2017-07-21 21:05:53.220,57,2018-07-11 17:33:36.340,22,2776
268,7.0000,1.0000,2018-04-02 11:43:52.980,87,2017-10-09 19:35:28.640,33,63024
269,7.0000,1.0000,2019-12-15 20:18:40.840,143,2019-02-06 03:07:45.610,56,10686
270,7.0000,1.0000,2019-08-24 23:57:33.200,82,2017-04-26 10:53:20.890,31,52126
271,7.0000,1.0000,2018-09-18 05:04:41.940,12,2018-04-11 23:36:02.840,5,62668
272,7.0000,1.0000,2017-09-19 13:50:21.550,84,2017-04-06 14:57:28.970,32,13690
273,7.0000,1.0000,2019-07-17 05:29:48.130,133,2017-07-11 15:42:33.230,52,3545
274,7.0000,1.0000,2017-06-11 03:20:34.380,117,2017-09-26 20:09:11.990,45,127407
275,7.0000,1.0000,2017-02-18 21:35:43.340,72,2018-05-26 10:19:11.840,28,16639
276,7.0000,1.0000,2018-09-11 05:33:23.860,18,2019-06-09 01:17:40.650,8,13860
277,7.0000,1.0000,2017-02-18 02:12:04.960,167,2017-05-25 17:50:42.200,65,18309
278,7.0000,1.0000,2019-12-09 14:47:55.860,75,2017-10-06 06:27:30.450,29,4041
279,7.0000,1.0000,2019-12-09 21:15:33.470,156,2017-11-17 01:05:52.420,61,21981
280,7.0000,1.0000,2019-12-04 09:52:55.350,51,2017-07-13 04:40:51.450,20,181
281,7.0000,1.0000,2017-11-10 15:32:43.180,116,2017-11-18 11:15:27.430,45,52136
282,7.0000,1.0000,2017-01-26 03:35:21.910,145,2018-09-19 00:56:17.860,56,126449
